Country	SurveyYear	Regulationsandtax	ID	id_row
Afghanistan	2014	13.7	Q889	0
Albania	2019	10.9	Q222	1
Algeria	2007	19.3	Q262	2
Angola	2010	34.7	Q916	3
Antigua and Barbuda	2010	2.9	Q781	4
Argentina	2017	88.2	Q414	5
Armenia	2013	20.0	Q399	6
Azerbaijan	2013	5.0	Q227	7
Bahamas, The	2010	17.4	Q778	8
Bangladesh	2013	33.5	Q902	9
Barbados	2010	49.3	Q244	10
Belarus	2018	38.0	Q184	11
Belize	2010	1.9	Q242	12
Benin	2016	30.7	Q962	13
Bhutan	2015	1.2	Q917	14
Bolivia	2017	26.6	Q750	15
Bosnia and Herzegovina	2019	15.9	Q225	16
Botswana	2010	27.2	Q963	17
Brazil	2009	79.7	Q155	18
Bulgaria	2019	20.8	Q219	19
Burkina Faso	2009	35.8	Q965	20
Burundi	2014	10.1	Q967	21
Cambodia	2016	33.0	Q424	22
Cameroon	2016	35.4	Q1009	23
Cabo Verde	2009	39.2	Q1011	24
Central African Republic	2011	14.5	Q929	25
Chad	2018	34.1	Q657	26
Chile	2010	68.5	Q298	27
China	2012	27.5	Q148	28
Colombia	2017	45.1	Q739	29
Congo, Dem. Rep.	2013	24.1	Q974	30
Costa Rica	2010	35.6	Q800	31
Cote d'Ivoire	2016	43.9	Q1008	32
Croatia	2019	35.6	Q224	33
Cyprus	2019	35.3	Q229	34
Czech Republic	2019	33.1	Q213	35
Djibouti	2013	8.8	Q977	36
Dominica	2010	2.6	Q784	37
Dominican Republic	2016	41.3	Q786	38
Ecuador	2017	29.2	Q736	39
Egypt, Arab Rep.	2016	31.9	Q79	40
El Salvador	2016	30.9	Q792	41
Estonia	2019	25.4	Q191	42
Ethiopia	2015	5.4	Q115	43
Fiji	2009	6.5	Q712	44
Gabon	2009	12.1	Q1000	45
Gambia, The	2018	5.4	Q1005	46
Georgia	2019	4.5	Q230	47
Ghana	2013	24.5	Q117	48
Greece	2018	35.5	Q41	49
Grenada	2010	22.2	Q769	50
Guatemala	2017	37.5	Q774	51
Guinea	2016	13.0	Q1006	52
Guinea-Bissau	2006	30.4	Q1007	53
Guyana	2010	22.4	Q734	54
Honduras	2016	48.9	Q783	55
Hungary	2019	13.1	Q28	56
India	2014	17.8	Q668	57
Indonesia	2015	6.0	Q252	58
Iraq	2011	19.4	Q796	59
Italy	2019	32.7	Q38	60
Jamaica	2010	9.3	Q766	61
Jordan	2019	2.8	Q810	62
Kazakhstan	2019	26.0	Q232	63
Kenya	2018	11.4	Q114	64
Kosovo	2019	19.4	Q1246	65
Kyrgyz Republic	2019	23.9	Q813	66
Lao PDR	2018	27.0	Q819	67
Latvia	2019	18.1	Q211	68
Lebanon	2019	7.3	Q822	69
Lesotho	2016	1.9	Q1013	70
Liberia	2017	10.4	Q1014	71
Lithuania	2019	14.8	Q37	72
North Macedonia	2019	6.4	Q221	73
Madagascar	2013	14.3	Q1019	74
Malawi	2014	19.0	Q1020	75
Malaysia	2015	3.8	Q833	76
Mali	2016	44.2	Q912	77
Malta	2019	98.8	Q233	78
Mauritania	2014	64.6	Q1025	79
Mauritius	2009	19.1	Q1027	80
Mexico	2010	54.0	Q96	81
Micronesia, Fed. Sts.	2009	7.3	Q702	82
Moldova	2019	11.1	Q217	83
Mongolia	2019	42.0	Q711	84
Montenegro	2019	6.0	Q236	85
Morocco	2019	7.5	Q1028	86
Mozambique	2018	24.9	Q1029	87
Myanmar	2016	39.2	Q836	88
Namibia	2014	24.4	Q1030	89
Nepal	2013	9.8	Q837	90
Nicaragua	2016	27.3	Q811	91
Niger	2017	39.7	Q1032	92
Nigeria	2014	14.4	Q1033	93
Pakistan	2013	10.4	Q843	94
Panama	2010	66.3	Q804	95
Papua New Guinea	2015	20.9	Q691	96
Paraguay	2017	32.4	Q733	97
Peru	2017	91.9	Q419	98
Philippines	2015	17.8	Q928	99
Poland	2019	1.2	Q36	100
Romania	2013	23.2	Q218	101
Russian Federation	2019	22.5	Q159	102
Rwanda	2019	11.8	Q1037	103
Samoa	2009	4.8	Q683	104
Senegal	2014	27.8	Q1041	105
Serbia	2019	92.8	Q403	106
Sierra Leone	2017	15.3	Q1044	107
Slovak Republic	2019	23.5	Q214	108
Slovenia	2019	78.5	Q215	109
Solomon Islands	2015	11.7	Q685	110
South Africa	2007	36.2	Q258	111
South Sudan	2014	9.2	Q958	112
Sri Lanka	2011	16.7	Q854	113
St. Kitts and Nevis	2010	1.9	Q763	114
St. Lucia	2010	1.9	Q760	115
St. Vincent and the Grenadines	2010	7.3	Q757	116
Sudan	2014	4.7	Q1049	117
Suriname	2018	125.2	Q730	118
Eswatini	2016	5.3	Q1050	119
Sweden	2014	26.2	Q34	120
Syrian Arab Republic	2009	169.2	Q858	121
Tajikistan	2019	15.9	Q863	122
Tanzania	2013	18.8	Q924	123
Thailand	2016	2.5	Q869	124
Timor-Leste	2015	17.1	Q574	125
Togo	2016	78.4	Q945	126
Tonga	2009	3.2	Q678	127
Trinidad and Tobago	2010	28.7	Q754	128
Tunisia	2013	39.2	Q948	129
Turkey	2019	17.9	Q43	130
Uganda	2013	10.4	Q1036	131
Ukraine	2019	21.5	Q212	132
Uruguay	2017	176.0	Q77	133
Uzbekistan	2019	15.7	Q265	134
Vanuatu	2009	17.8	Q686	135
Venezuela, RB	2010	117.2	Q717	136
Vietnam	2015	11.4	Q881	137
West Bank and Gaza	2019	16.4	Q407199	138
Yemen, Rep.	2013	7.0	Q805	139
Zambia	2019	20.0	Q953	140
Zimbabwe	2016	8.1	Q954	141
