Country	Depositorswithcommercialbanks	Borrowersfromcommercialbanks	Commercialbankbranches	Automatedtellermachines	ID	id_row
Afghanistan	173.0	3.0	2.2	1.6	Q889	0
Albania	1034.0	138.0	19.4	30.43	Q222	1
Argentina	1210.0	407.0	13.5	58.93	Q414	2
Bangladesh	794.0	83.0	9.0	8.87	Q902	3
Belize	657.0	154.0	19.3	44.95	Q242	4
Botswana	718.0	185.0	8.9	42.6	Q963	5
Brazil	665.0	549.0	19.0	104.79	Q155	6
Brunei Darussalam	1498.0	344.0	17.2	74.13	Q921	7
Cameroon	132.0	32.0	2.2	4.8	Q1009	8
Cabo Verde	2153.0	184.0	33.0	50.03	Q1011	9
Central African Republic	52.0	15.0	0.7	1.32	Q929	10
Chad	30.0	10.0	1.0	1.54	Q657	11
China	29.0	469.0	8.8	96.82	Q148	12
Colombia	1549.0	243.0	14.9	42.34	Q739	13
Comoros	127.0	15.0	3.2	4.97	Q970	14
Costa Rica	1339.0	266.0	19.7	74.41	Q800	15
Croatia	1445.0	575.0	30.1	147.65	Q224	16
Djibouti	148.0	41.0	7.3	12.13	Q977	17
Dominican Republic	885.0	194.0	12.7	37.39	Q786	18
Ecuador	815.0	206.0	10.1	34.6	Q736	19
Egypt, Arab Rep.	511.0	116.0	5.0	18.59	Q79	20
Equatorial Guinea	302.0	33.0	6.4	10.43	Q983	21
Estonia	2148.0	524.0	9.7	68.14	Q191	22
Georgia	1176.0	643.0	31.3	77.16	Q230	23
Ghana	734.0	41.0	8.6	11.65	Q117	24
Guinea	83.0	12.0	2.7	2.42	Q1006	25
Haiti	272.0	2.0	2.7	2.09	Q790	26
Hungary	1092.0	467.0	14.2	60.52	Q28	27
Italy	721.0	530.0	40.9	91.14	Q38	28
Kosovo	884.0	216.0	16.2	35.32	Q1246	29
Kuwait	1279.0	223.0	14.7	72.96	Q817	30
Kyrgyz Republic	591.0	110.0	8.1	36.92	Q813	31
Lao PDR	599.0	28.0	3.2	25.71	Q819	32
Latvia	1338.0	397.0	14.7	61.05	Q211	33
Lebanon	534.0	215.0	21.3	37.67	Q822	34
Lesotho	430.0	44.0	3.9	14.95	Q1013	35
North Macedonia	1025.0	345.0	24.2	59.85	Q221	36
Madagascar	86.0	63.0	2.4	2.94	Q1019	37
Malaysia	744.0	324.0	10.2	46.63	Q833	38
Maldives	1012.0	151.0	13.7	33.14	Q826	39
Mauritania	167.0	79.0	10.9	10.4	Q1025	40
Mauritius	1878.0	260.0	17.1	43.2	Q1027	41
Moldova	955.0	75.0	27.0	38.1	Q217	42
Myanmar	240.0	4.0	5.1	5.63	Q836	43
Namibia	1063.0	300.0	11.3	71.95	Q1030	44
Nigeria	1013.0	19.0	4.3	16.92	Q1033	45
Pakistan	361.0	17.0	10.2	10.36	Q843	46
Paraguay	532.0	269.0	10.1	29.07	Q733	47
Peru	927.0	151.0	7.4	114.66	Q419	48
Poland	1109.0	458.0	29.7	70.78	Q36	49
Qatar	756.0	235.0	7.2	55.77	Q846	50
Rwanda	265.0	27.0	5.8	5.17	Q1037	51
Samoa	1079.0	144.0	23.2	52.07	Q683	52
San Marino	1695.0	561.0	181.2	191.64	Q238	53
Sao Tome and Principe	792.0	128.0	20.6	26.35	Q1039	54
Saudi Arabia	1073.0	178.0	8.3	73.79	Q851	55
Seychelles	1819.0	259.0	50.6	82.55	Q1042	56
Singapore	2334.0	1119.0	8.4	66.46	Q334	57
Solomon Islands	518.0	27.0	4.3	12.04	Q685	58
South Sudan	81.0	1.0	1.4	0.48	Q958	59
Suriname	1292.0	195.0	11.5	47.51	Q730	60
Eswatini	464.0	227.0	6.8	40.09	Q1050	61
Thailand	1280.0	363.0	11.7	115.12	Q869	62
Timor-Leste	563.0	42.0	7.0	12.85	Q574	63
Tonga	761.0	163.0	33.0	40.48	Q678	64
Tunisia	1067.0	228.0	22.0	30.67	Q948	65
Turkey	1462.0	778.0	16.8	78.21	Q43	66
Uganda	295.0	70.0	2.6	4.18	Q1036	67
United Arab Emirates	1074.0	536.0	10.6	63.94	Q878	68
Uruguay	1048.0	547.0	10.1	120.51	Q77	69
Uzbekistan	853.0	113.0	36.1	27.78	Q265	70
Vanuatu	567.0	93.0	19.7	45.75	Q686	71
West Bank and Gaza	590.0	151.0	13.2	34.64	Q407199	72
Zambia	295.0	22.0	3.9	11.46	Q953	73
Zimbabwe	568.0	139.0	5.3	6.46	Q954	74
