Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Afghanistan	2015	16.0	11.0	Q889	0
Albania	2018	2.0	2.0	Q222	1
Algeria	2013	7.0	4.0	Q262	2
Angola	2016	4.0	3.0	Q916	3
Argentina	2012	12.0	11.0	Q414	4
Armenia	2016	2.0	0.0	Q399	5
Bangladesh	2014	7.0	3.0	Q902	6
Belize	2016	6.0	2.0	Q242	7
Benin	2018	3.0	1.0	Q962	8
Bhutan	2010	10.0	4.0	Q917	9
Bolivia	2008	24.0	17.0	Q750	10
Bosnia and Herzegovina	2012	5.0	3.0	Q225	11
Burkina Faso	2010	1.0	3.0	Q965	12
Burundi	2017	9.0	5.0	Q967	13
Cambodia	2014	7.0	4.0	Q424	14
Cameroon	2014	5.0	3.0	Q1009	15
Central African Republic	2010	7.0	6.0	Q929	16
Chad	2015	9.0	7.0	Q657	17
Colombia	2010	7.0	4.0	Q739	18
Comoros	2012	3.0	3.0	Q970	19
Congo, Dem. Rep.	2014	7.0	5.0	Q974	20
Congo, Rep.	2016	8.0	3.0	Q971	21
Costa Rica	2011	12.0	3.0	Q800	22
Cote d'Ivoire	2016	1.0	2.0	Q1008	23
Dominican Republic	2014	6.0	5.0	Q786	24
Egypt, Arab Rep.	2014	16.0	9.0	Q79	25
El Salvador	2014	7.0	6.0	Q792	26
Eswatini	2014	11.0	11.0	Q1050	27
Ethiopia	2016	5.0	4.0	Q115	28
Gabon	2012	9.0	10.0	Q1000	29
Gambia, The	2018	5.0	7.0	Q1005	30
Ghana	2014	3.0	2.0	Q117	31
Guatemala	2015	12.0	7.0	Q774	32
Guinea	2018	2.0	2.0	Q1006	33
Guinea-Bissau	2014	2.0	3.0	Q1007	34
Guyana	2014	3.0	1.0	Q734	35
Haiti	2017	10.0	12.0	Q790	36
Honduras	2012	16.0	9.0	Q783	37
India	2016	3.0	2.0	Q668	38
Indonesia	2017	6.0	3.0	Q252	39
Iraq	2018	4.0	3.0	Q796	40
Jamaica	2011	6.0	4.0	Q766	41
Jordan	2018	6.0	5.0	Q810	42
Kenya	2014	9.0	6.0	Q114	43
Kosovo	2014	12.0	3.0	Q1246	44
Kyrgyz Republic	2018	0.0	2.0	Q813	45
Lao PDR	2017	1.0	1.0	Q819	46
Lesotho	2018	5.0	1.0	Q1013	47
Liberia	2013	8.0	7.0	Q1014	48
Madagascar	2009	3.0	3.0	Q1019	49
Malawi	2016	6.0	4.0	Q1020	50
Maldives	2017	1.0	0.0	Q826	51
Mali	2018	3.0	2.0	Q912	52
Mauritania	2015	3.0	5.0	Q1025	53
Mexico	2015	4.0	1.0	Q96	54
Mongolia	2018	2.0	1.0	Q711	55
Montenegro	2013	1.0	1.0	Q236	56
Mozambique	2015	6.0	5.0	Q1029	57
Myanmar	2016	4.0	2.0	Q836	58
Namibia	2013	7.0	6.0	Q1030	59
Nepal	2016	3.0	1.0	Q837	60
Niger	2012	4.0	4.0	Q1032	61
Nigeria	2018	4.0	1.0	Q1033	62
Pakistan	2018	15.0	12.0	Q843	63
Papua New Guinea	2018	2.0	3.0	Q691	64
Paraguay	2016	15.0	8.0	Q733	65
Peru	2012	6.0	6.0	Q419	66
Philippines	2017	2.0	1.0	Q928	67
Rwanda	2015	6.0	4.0	Q1037	68
Sao Tome and Principe	2014	7.0	7.0	Q1039	69
Senegal	2017	3.0	5.0	Q1041	70
Serbia	2010	7.0	7.0	Q403	71
Sierra Leone	2017	3.0	1.0	Q1044	72
South Africa	2016	3.0	3.0	Q258	73
Sudan	2014	20.0	15.0	Q1049	74
Suriname	2018	2.0	0.0	Q730	75
Tajikistan	2017	1.0	0.0	Q863	76
Tanzania	2016	3.0	5.0	Q924	77
Thailand	2016	2.0	1.0	Q869	78
Timor-Leste	2016	2.0	3.0	Q574	79
Togo	2014	5.0	3.0	Q945	80
Tunisia	2018	8.0	4.0	Q948	81
Turkmenistan	2016	0.0	1.0	Q874	82
Uganda	2016	13.0	6.0	Q1036	83
Vietnam	2014	5.0	2.0	Q881	84
West Bank and Gaza	2014	12.0	8.0	Q407199	85
Yemen, Rep.	2013	14.0	9.0	Q805	86
Zambia	2014	4.0	3.0	Q953	87
Zimbabwe	2015	4.0	3.0	Q954	88
