Country	SurveyYear	Trade	ID	id_row
Afghanistan	2014	8.1	Q889	0
Albania	2019	1.1	Q222	1
Algeria	2007	14.1	Q262	2
Angola	2010	6.7	Q916	3
Antigua and Barbuda	2010	6.4	Q781	4
Argentina	2017	6.5	Q414	5
Armenia	2013	7.3	Q399	6
Azerbaijan	2013	1.9	Q227	7
Bahamas, The	2010	6.1	Q778	8
Bangladesh	2013	7.0	Q902	9
Barbados	2010	6.5	Q244	10
Belarus	2018	1.4	Q184	11
Belize	2010	6.2	Q242	12
Benin	2016	17.9	Q962	13
Bhutan	2015	12.7	Q917	14
Bolivia	2017	9.7	Q750	15
Bosnia and Herzegovina	2019	1.3	Q225	16
Botswana	2010	6.2	Q963	17
Brazil	2009	16.4	Q155	18
Bulgaria	2019	4.8	Q219	19
Burkina Faso	2009	7.4	Q965	20
Burundi	2014	20.6	Q967	21
Cambodia	2016	4.9	Q424	22
Cameroon	2016	6.7	Q1009	23
Central African Republic	2011	9.5	Q929	24
Chad	2018	11.9	Q657	25
Chile	2010	10.8	Q298	26
China	2012	7.6	Q148	27
Colombia	2017	12.5	Q739	28
Congo, Dem. Rep.	2013	6.3	Q974	29
Costa Rica	2010	10.0	Q800	30
Cote d'Ivoire	2016	19.6	Q1008	31
Croatia	2019	2.1	Q224	32
Cyprus	2019	14.1	Q229	33
Czech Republic	2019	3.8	Q213	34
Djibouti	2013	10.4	Q977	35
Dominica	2010	4.8	Q784	36
Dominican Republic	2016	9.4	Q786	37
Ecuador	2017	9.2	Q736	38
Egypt, Arab Rep.	2016	7.5	Q79	39
El Salvador	2016	2.9	Q792	40
Eritrea	2009	9.6	Q986	41
Estonia	2019	1.8	Q191	42
Ethiopia	2015	7.7	Q115	43
Fiji	2009	11.6	Q712	44
Gabon	2009	3.8	Q1000	45
Gambia, The	2018	4.8	Q1005	46
Georgia	2019	2.5	Q230	47
Germany	2005	4.7	Q183	48
Ghana	2013	7.8	Q117	49
Greece	2018	2.4	Q41	50
Grenada	2010	9.3	Q769	51
Guatemala	2017	4.5	Q774	52
Guinea	2016	4.3	Q1006	53
Guinea-Bissau	2006	5.6	Q1007	54
Guyana	2010	11.5	Q734	55
Honduras	2016	3.8	Q783	56
Hungary	2019	1.9	Q28	57
India	2014	5.8	Q668	58
Indonesia	2015	8.3	Q252	59
Iraq	2011	11.8	Q796	60
Ireland	2005	2.6	Q27	61
Israel	2013	4.6	Q801	62
Italy	2019	5.5	Q38	63
Jamaica	2010	13.1	Q766	64
Jordan	2019	4.7	Q810	65
Kazakhstan	2019	9.0	Q232	66
Kenya	2018	9.7	Q114	67
Korea, Rep.	2005	7.2	Q884	68
Kosovo	2019	2.8	Q1246	69
Kyrgyz Republic	2019	1.8	Q813	70
Lao PDR	2018	7.2	Q819	71
Latvia	2019	2.1	Q211	72
Lebanon	2019	12.3	Q822	73
Lesotho	2016	4.0	Q1013	74
Liberia	2017	10.0	Q1014	75
Lithuania	2019	4.0	Q37	76
North Macedonia	2019	4.4	Q221	77
Madagascar	2013	8.6	Q1019	78
Malawi	2014	11.4	Q1020	79
Malaysia	2015	6.3	Q833	80
Mali	2016	16.5	Q912	81
Malta	2019	3.5	Q233	82
Mauritania	2014	26.0	Q1025	83
Mauritius	2009	10.3	Q1027	84
Mexico	2010	7.0	Q96	85
Micronesia, Fed. Sts.	2009	18.3	Q702	86
Moldova	2019	2.3	Q217	87
Mongolia	2019	4.6	Q711	88
Montenegro	2019	1.3	Q236	89
Morocco	2019	6.7	Q1028	90
Mozambique	2018	39.3	Q1029	91
Myanmar	2016	10.2	Q836	92
Namibia	2014	8.2	Q1030	93
Nepal	2013	8.5	Q837	94
Nicaragua	2016	5.2	Q811	95
Niger	2017	2.6	Q1032	96
Nigeria	2014	6.0	Q1033	97
Pakistan	2013	11.4	Q843	98
Panama	2010	7.6	Q804	99
Paraguay	2017	8.6	Q733	100
Peru	2017	8.4	Q419	101
Philippines	2015	14.5	Q928	102
Poland	2019	3.1	Q36	103
Portugal	2019	13.7	Q45	104
Romania	2013	1.1	Q218	105
Russian Federation	2019	15.6	Q159	106
Rwanda	2019	8.0	Q1037	107
Samoa	2009	10.4	Q683	108
Senegal	2014	7.1	Q1041	109
Serbia	2019	1.6	Q403	110
Slovak Republic	2019	2.5	Q214	111
Slovenia	2019	4.7	Q215	112
Solomon Islands	2015	6.3	Q685	113
South Africa	2007	4.5	Q258	114
Spain	2005	4.9	Q29	115
Sri Lanka	2011	7.6	Q854	116
St. Kitts and Nevis	2010	6.7	Q763	117
St. Lucia	2010	4.9	Q760	118
St. Vincent and the Grenadines	2010	4.2	Q757	119
Suriname	2018	17.7	Q730	120
Eswatini	2016	4.1	Q1050	121
Sweden	2014	2.4	Q34	122
Syrian Arab Republic	2009	5.1	Q858	123
Tajikistan	2019	2.1	Q863	124
Tanzania	2013	12.4	Q924	125
Thailand	2016	1.9	Q869	126
Timor-Leste	2015	6.3	Q574	127
Togo	2016	8.2	Q945	128
Tonga	2009	2.3	Q678	129
Trinidad and Tobago	2010	7.3	Q754	130
Tunisia	2013	3.0	Q948	131
Turkey	2019	2.6	Q43	132
Uganda	2013	10.0	Q1036	133
Ukraine	2019	3.9	Q212	134
Uruguay	2017	2.1	Q77	135
Uzbekistan	2019	3.7	Q265	136
Venezuela, RB	2010	18.4	Q717	137
Vietnam	2015	6.9	Q881	138
West Bank and Gaza	2019	5.3	Q407199	139
Yemen, Rep.	2013	11.2	Q805	140
Zambia	2019	10.8	Q953	141
Zimbabwe	2016	5.9	Q954	142
