Country	ReferenceYear	Percentage	ID	id_row
Afghanistan	2016	54.5	Q889	0
Albania	2012	14.3	Q222	1
Algeria	2011	5.5	Q262	2
Angola	2008	36.6	Q916	3
Argentina	2018	32.0	Q414	4
Armenia	2018	23.5	Q399	5
Azerbaijan	2012	6.0	Q227	6
Bangladesh	2016	24.3	Q902	7
Belarus	2018	5.6	Q184	8
Benin	2015	40.1	Q962	9
Bhutan	2017	8.2	Q917	10
Bolivia	2018	34.6	Q750	11
Bosnia and Herzegovina	2015	16.9	Q225	12
Botswana	2009	19.3	Q963	13
Bulgaria	2017	22.0	Q219	14
Burkina Faso	2014	40.1	Q965	15
Burundi	2013	64.9	Q967	16
Cabo Verde	2015	35.0	Q1011	17
Cambodia	2012	17.7	Q424	18
Cameroon	2014	37.5	Q1009	19
Central African Republic	2008	62.0	Q929	20
Chad	2011	46.7	Q657	21
Chile	2017	8.6	Q298	22
China	2018	1.7	Q148	23
Colombia	2018	27.0	Q739	24
Comoros	2013	42.4	Q970	25
Congo, Dem. Rep.	2012	63.9	Q974	26
Congo, Rep.	2011	40.9	Q971	27
Costa Rica	2019	21.0	Q800	28
Cote d'Ivoire	2015	46.3	Q1008	29
Croatia	2017	19.4	Q224	30
Czech Republic	2013	9.7	Q213	31
Djibouti	2017	21.1	Q977	32
Dominican Republic	2018	22.8	Q786	33
Ecuador	2019	25.0	Q736	34
Egypt, Arab Rep.	2017	32.5	Q79	35
El Salvador	2017	29.2	Q792	36
Equatorial Guinea	2006	76.8	Q983	37
Eritrea	1993	69.0	Q986	38
Estonia	2013	21.8	Q191	39
Eswatini	2017	58.9	Q1050	40
Ethiopia	2015	23.5	Q115	41
Fiji	2013	34.0	Q712	42
Gabon	2017	33.4	Q1000	43
Gambia, The	2015	48.6	Q1005	44
Georgia	2018	20.1	Q230	45
Ghana	2016	23.4	Q117	46
Guatemala	2014	59.3	Q774	47
Guinea	2012	55.2	Q1006	48
Guinea-Bissau	2010	69.3	Q1007	49
Haiti	2012	58.5	Q790	50
Honduras	2018	48.3	Q783	51
Hungary	2014	14.9	Q28	52
India	2011	21.9	Q668	53
Indonesia	2018	9.8	Q252	54
Iraq	2012	18.9	Q796	55
Jamaica	2012	19.9	Q766	56
Jordan	2010	14.4	Q810	57
Kazakhstan	2017	2.5	Q232	58
Kenya	2015	36.1	Q114	59
Kiribati	2006	21.8	Q710	60
Kosovo	2015	17.6	Q1246	61
Kyrgyz Republic	2018	22.4	Q813	62
Lao PDR	2012	23.4	Q819	63
Latvia	2014	22.5	Q211	64
Lebanon	2012	27.4	Q822	65
Lesotho	2017	49.7	Q1013	66
Liberia	2016	50.9	Q1014	67
Lithuania	2014	22.2	Q37	68
North Macedonia	2018	21.9	Q221	69
Madagascar	2012	70.7	Q1019	70
Malawi	2016	51.5	Q1020	71
Malaysia	2015	0.4	Q833	72
Maldives	2016	8.2	Q826	73
Mali	2009	41.1	Q912	74
Mauritania	2014	31.0	Q1025	75
Mauritius	2017	10.3	Q1027	76
Mexico	2018	41.9	Q96	77
Micronesia, Fed. Sts.	2013	41.2	Q702	78
Moldova	2015	9.6	Q217	79
Mongolia	2018	28.4	Q711	80
Montenegro	2016	23.6	Q236	81
Morocco	2013	4.8	Q1028	82
Mozambique	2014	46.1	Q1029	83
Myanmar	2017	24.8	Q836	84
Namibia	2015	17.4	Q1030	85
Nepal	2010	25.2	Q837	86
Nicaragua	2016	24.9	Q811	87
Niger	2014	44.5	Q1032	88
Nigeria	2009	46.0	Q1033	89
Pakistan	2015	24.3	Q843	90
Palau	2006	24.9	Q695	91
Panama	2016	22.1	Q804	92
Papua New Guinea	2009	39.9	Q691	93
Paraguay	2018	24.2	Q733	94
Peru	2018	20.5	Q419	95
Philippines	2015	21.6	Q928	96
Poland	2018	15.4	Q36	97
Romania	2017	23.6	Q218	98
Russian Federation	2018	12.9	Q159	99
Rwanda	2016	38.2	Q1037	100
Samoa	2013	20.3	Q683	101
Sao Tome and Principe	2010	66.2	Q1039	102
Senegal	2011	46.7	Q1041	103
Serbia	2017	24.3	Q403	104
Seychelles	2013	39.3	Q1042	105
Sierra Leone	2011	52.9	Q1044	106
Slovak Republic	2013	12.6	Q214	107
Slovenia	2014	14.3	Q215	108
Solomon Islands	2013	12.7	Q685	109
South Africa	2014	55.5	Q258	110
South Sudan	2016	82.3	Q958	111
Sri Lanka	2016	4.1	Q854	112
St. Lucia	2016	25.0	Q760	113
Sudan	2009	46.5	Q1049	114
Syrian Arab Republic	2007	35.2	Q858	115
Tajikistan	2018	27.4	Q863	116
Tanzania	2018	26.4	Q924	117
Thailand	2018	9.9	Q869	118
Timor-Leste	2014	41.8	Q574	119
Togo	2015	55.1	Q945	120
Tonga	2009	22.5	Q678	121
Tunisia	2015	15.2	Q948	122
Turkey	2017	13.9	Q43	123
Tuvalu	2010	26.3	Q672	124
Uganda	2016	21.4	Q1036	125
Ukraine	2018	1.3	Q212	126
Uruguay	2018	8.1	Q77	127
Uzbekistan	2013	14.1	Q265	128
Vanuatu	2010	12.7	Q686	129
Venezuela, RB	2015	33.1	Q717	130
Vietnam	2018	6.7	Q881	131
West Bank and Gaza	2016	29.2	Q407199	132
Yemen, Rep.	2014	48.6	Q805	133
Zambia	2015	54.4	Q953	134
Zimbabwe	2017	70.0	Q954	135
