Country	SurveyYear	Regulationsandtax	ID	id_row
Afghanistan	2014	1.5	Q889	0
Albania	2019	5.7	Q222	1
Angola	2010	3.7	Q916	2
Antigua and Barbuda	2010	2.7	Q781	3
Argentina	2017	3.3	Q414	4
Armenia	2013	1.7	Q399	5
Azerbaijan	2013	2.0	Q227	6
Bahamas, The	2010	1.9	Q778	7
Bangladesh	2013	3.2	Q902	8
Barbados	2010	1.5	Q244	9
Belarus	2018	2.8	Q184	10
Belize	2010	2.2	Q242	11
Benin	2016	1.6	Q962	12
Bhutan	2015	1.2	Q917	13
Bolivia	2017	4.3	Q750	14
Bosnia and Herzegovina	2019	2.9	Q225	15
Botswana	2010	2.5	Q963	16
Brazil	2009	1.8	Q155	17
Bulgaria	2019	2.6	Q219	18
Burkina Faso	2009	2.2	Q965	19
Burundi	2014	1.8	Q967	20
Cambodia	2016	5.8	Q424	21
Cameroon	2016	4.4	Q1009	22
Cabo Verde	2009	2.2	Q1011	23
Central African Republic	2011	4.3	Q929	24
Chad	2018	3.2	Q657	25
Chile	2010	4.7	Q298	26
China	2012	2.1	Q148	27
Colombia	2017	3.5	Q739	28
Congo, Dem. Rep.	2013	10.3	Q974	29
Congo, Rep.	2009	3.0	Q971	30
Costa Rica	2010	3.3	Q800	31
Cote d'Ivoire	2016	3.6	Q1008	32
Croatia	2019	1.6	Q224	33
Cyprus	2019	2.0	Q229	34
Czech Republic	2019	2.3	Q213	35
Djibouti	2013	1.4	Q977	36
Dominica	2010	2.2	Q784	37
Dominican Republic	2016	2.1	Q786	38
Ecuador	2017	3.5	Q736	39
Egypt, Arab Rep.	2016	3.2	Q79	40
El Salvador	2016	2.1	Q792	41
Eritrea	2009	1.7	Q986	42
Estonia	2019	1.9	Q191	43
Ethiopia	2015	3.7	Q115	44
Fiji	2009	2.2	Q712	45
Gabon	2009	18.8	Q1000	46
Gambia, The	2018	4.4	Q1005	47
Georgia	2019	2.2	Q230	48
Ghana	2013	3.0	Q117	49
Greece	2018	2.3	Q41	50
Grenada	2010	3.3	Q769	51
Guatemala	2017	3.8	Q774	52
Guinea	2016	2.9	Q1006	53
Guinea-Bissau	2006	3.9	Q1007	54
Guyana	2010	5.2	Q734	55
Honduras	2016	2.1	Q783	56
Hungary	2019	2.2	Q28	57
India	2014	3.1	Q668	58
Indonesia	2015	1.5	Q252	59
Iraq	2011	2.0	Q796	60
Israel	2013	1.1	Q801	61
Italy	2019	1.3	Q38	62
Jamaica	2010	1.6	Q766	63
Jordan	2019	1.7	Q810	64
Kazakhstan	2019	2.3	Q232	65
Kenya	2018	2.7	Q114	66
Kosovo	2019	2.6	Q1246	67
Kyrgyz Republic	2019	2.4	Q813	68
Lao PDR	2018	2.8	Q819	69
Latvia	2019	1.6	Q211	70
Lebanon	2019	1.6	Q822	71
Lesotho	2016	1.7	Q1013	72
Liberia	2017	4.9	Q1014	73
Lithuania	2019	1.4	Q37	74
North Macedonia	2019	3.0	Q221	75
Madagascar	2013	1.5	Q1019	76
Malawi	2014	2.8	Q1020	77
Malaysia	2015	1.4	Q833	78
Mali	2016	2.9	Q912	79
Malta	2019	1.7	Q233	80
Mauritania	2014	2.4	Q1025	81
Mauritius	2009	3.0	Q1027	82
Mexico	2010	3.0	Q96	83
Micronesia, Fed. Sts.	2009	2.3	Q702	84
Moldova	2019	2.4	Q217	85
Mongolia	2019	2.5	Q711	86
Montenegro	2019	3.3	Q236	87
Morocco	2019	1.6	Q1028	88
Mozambique	2018	2.7	Q1029	89
Myanmar	2016	1.8	Q836	90
Namibia	2014	2.0	Q1030	91
Nepal	2013	2.7	Q837	92
Nicaragua	2016	3.7	Q811	93
Niger	2017	3.3	Q1032	94
Nigeria	2014	3.7	Q1033	95
Pakistan	2013	3.6	Q843	96
Panama	2010	2.1	Q804	97
Papua New Guinea	2015	1.4	Q691	98
Paraguay	2017	2.4	Q733	99
Peru	2017	2.5	Q419	100
Philippines	2015	1.4	Q928	101
Poland	2019	1.5	Q36	102
Portugal	2019	1.3	Q45	103
Romania	2013	2.3	Q218	104
Russian Federation	2019	1.7	Q159	105
Rwanda	2019	3.5	Q1037	106
Samoa	2009	2.1	Q683	107
Senegal	2014	2.1	Q1041	108
Serbia	2019	2.1	Q403	109
Sierra Leone	2017	3.2	Q1044	110
Slovak Republic	2019	1.7	Q214	111
Slovenia	2019	1.7	Q215	112
Solomon Islands	2015	2.0	Q685	113
South Africa	2007	1.8	Q258	114
South Sudan	2014	3.2	Q958	115
Sri Lanka	2011	2.4	Q854	116
St. Kitts and Nevis	2010	2.8	Q763	117
St. Lucia	2010	2.2	Q760	118
St. Vincent and the Grenadines	2010	2.2	Q757	119
Sudan	2014	3.3	Q1049	120
Suriname	2018	3.1	Q730	121
Eswatini	2016	3.7	Q1050	122
Sweden	2014	1.4	Q34	123
Tajikistan	2019	4.3	Q863	124
Tanzania	2013	2.2	Q924	125
Thailand	2016	1.2	Q869	126
Timor-Leste	2015	2.4	Q574	127
Togo	2016	2.8	Q945	128
Tonga	2009	1.3	Q678	129
Trinidad and Tobago	2010	1.4	Q754	130
Tunisia	2013	1.5	Q948	131
Turkey	2019	1.5	Q43	132
Uganda	2013	3.9	Q1036	133
Ukraine	2019	1.8	Q212	134
Uruguay	2017	2.9	Q77	135
Uzbekistan	2019	2.9	Q265	136
Vanuatu	2009	2.4	Q686	137
Venezuela, RB	2010	3.8	Q717	138
Vietnam	2015	1.9	Q881	139
West Bank and Gaza	2019	1.9	Q407199	140
Yemen, Rep.	2013	4.0	Q805	141
Zambia	2019	3.3	Q953	142
Zimbabwe	2016	3.0	Q954	143
