Country	Factor2018	Factor2019	ID	id_row
Afghanistan	0.2	0.2	Q889	0
Albania	0.4	0.4	Q222	1
Algeria	0.4	0.3	Q262	2
Angola	0.5	0.4	Q916	3
Antigua and Barbuda	0.8	0.8	Q781	4
Argentina	0.5	0.4	Q414	5
Armenia	0.3	0.3	Q399	6
Aruba	0.8	0.8	Q21203	7
Australia	1.1	1.0	Q408	8
Austria	0.9	0.9	Q40	9
Azerbaijan	0.3	0.3	Q227	10
Bahamas, The	0.9	0.9	Q778	11
Bahrain	0.5	0.5	Q398	12
Bangladesh	0.4	0.4	Q902	13
Barbados	1.1	1.1	Q244	14
Belarus	0.3	0.3	Q184	15
Belgium	0.9	0.8	Q31	16
Belize	0.7	0.7	Q242	17
Benin	0.4	0.4	Q962	18
Bhutan	0.3	0.3	Q917	19
Bolivia	0.4	0.4	Q750	20
Bosnia and Herzegovina	0.4	0.4	Q225	21
Botswana	0.5	0.4	Q963	22
Brazil	0.6	0.6	Q155	23
Brunei Darussalam	0.5	0.5	Q921	24
Bulgaria	0.4	0.4	Q219	25
Burkina Faso	0.4	0.3	Q965	26
Burundi	0.3	0.3	Q967	27
Cabo Verde	0.5	0.5	Q1011	28
Cambodia	0.4	0.4	Q424	29
Cameroon	0.4	0.4	Q1009	30
Canada	0.9	0.9	Q16	31
Cayman Islands	1.2	1.2	Q5785	32
Central African Republic	0.5	0.5	Q929	33
Chad	0.5	0.4	Q657	34
Chile	0.6	0.6	Q298	35
China	0.6	0.6	Q148	36
Hong Kong SAR, China	0.8	0.8	Q8646	37
Macao SAR, China	0.6	0.7	Q14773	38
Colombia	0.4	0.4	Q739	39
Comoros	0.5	0.4	Q970	40
Congo, Dem. Rep.	0.5	0.5	Q974	41
Congo, Rep.	0.6	0.6	Q971	42
Costa Rica	0.6	0.6	Q800	43
Cote d'Ivoire	0.4	0.4	Q1008	44
Croatia	0.5	0.5	Q224	45
Curacao	0.8	0.8	Q25279	46
Cyprus	0.7	0.7	Q229	47
Czech Republic	0.6	0.5	Q213	48
Denmark	1.1	1.0	Q35	49
Djibouti	0.6	0.6	Q977	50
Dominica	0.7	0.7	Q784	51
Dominican Republic	0.4	0.4	Q786	52
Ecuador	0.5	0.5	Q736	53
Egypt, Arab Rep.	0.2	0.2	Q79	54
El Salvador	0.5	0.5	Q792	55
