Country	Hospitalbeds2016	Hospitalbeds2017	ChangefrompreviousyearaverageProportional	Occupancy	ICUCCBbeds	ID	id_row
Japan	13.11	13.05	-0.48	75.5	13.5	Q17	0
Germany	8.06	8.0	-0.86	62.1	38.7	Q183	1
Austria	7.42	7.37	-0.9	73.8	21.8	Q40	2
Hungary	7.0	7.02	-0.07	65.5	13.8	Q28	3
Czech Republic	6.66	6.63	-0.26	70.1	11.6	Q213	4
Lithuania	6.69	6.56	-2.65	73.2	15.5	Q37	5
France	6.06	5.98	-1.23	75.6	11.6	Q142	6
Slovakia	5.78	5.82	0.08	67.8	9.2	Q214	7
Belgium	5.76	5.76	-0.73	81.8	15.9	Q31	8
Latvia	5.72	5.57	-1.03	71.1	9.7	Q211	9
Estonia	4.76	4.69	-1.68	70.4	14.6	Q191	10
Luxembourg	4.81	4.66	-2.63	70.7	24.8	Q32	11
Switzerland	4.55	4.53	-0.82	82.0	11.0	Q39	12
Slovenia	4.49	4.5	-0.28	69.5	6.4	Q215	13
Greece	4.2	4.21	-0.18	61.6	9.5	Q41	14
Norway	3.68	3.6	-1.76	80.7	8.0	Q20	15
Portugal	3.39	3.39	-0.01	66.8	4.2	Q45	16
Netherlands	3.44	3.32	0.0	65.4	6.4	Q55	17
Italy	3.17	3.18	-1.01	78.9	12.5	Q38	18
Spain	2.97	2.97	0.08	75.3	9.7	Q29	19
Ireland	2.97	2.96	3.43	94.9	6.5	Q27	20
Turkey	2.75	2.81	1.45	68.0	46.5	Q43	21
United Kingdom	2.57	2.54	-2.11	84.3	6.6	Q145	22
Canada	2.58	2.52	-1.84	91.6	13.5	Q16	23
Mexico	1.39	1.38	-1.08	74.0	1.2	Q96	24
