Country	SurveyYear	Workforce	ID	id_row
Afghanistan	2014	31.7	Q889	0
Albania	2019	46.2	Q222	1
Algeria	2007	17.3	Q262	2
Angola	2010	23.5	Q916	3
Antigua and Barbuda	2010	24.9	Q781	4
Argentina	2017	40.2	Q414	5
Armenia	2013	19.9	Q399	6
Azerbaijan	2013	19.8	Q227	7
Bahamas, The	2010	37.1	Q778	8
Bangladesh	2013	21.9	Q902	9
Barbados	2010	35.5	Q244	10
Belarus	2018	31.5	Q184	11
Belize	2010	14.4	Q242	12
Benin	2016	20.0	Q962	13
Bhutan	2015	26.0	Q917	14
Bolivia	2017	49.9	Q750	15
Bosnia and Herzegovina	2019	37.9	Q225	16
Botswana	2010	51.9	Q963	17
Brazil	2009	42.2	Q155	18
Bulgaria	2019	20.0	Q219	19
Burkina Faso	2009	24.8	Q965	20
Burundi	2014	32.0	Q967	21
Cambodia	2016	22.2	Q424	22
Cameroon	2016	37.6	Q1009	23
Cabo Verde	2009	16.6	Q1011	24
Central African Republic	2011	49.7	Q929	25
Chad	2018	22.9	Q657	26
Chile	2010	57.5	Q298	27
China	2012	79.2	Q148	28
Colombia	2017	63.0	Q739	29
Congo, Dem. Rep.	2013	17.0	Q974	30
Congo, Rep.	2009	37.5	Q971	31
Costa Rica	2010	54.7	Q800	32
Cote d'Ivoire	2016	35.5	Q1008	33
Croatia	2019	26.2	Q224	34
Cyprus	2019	39.7	Q229	35
Czech Republic	2019	43.6	Q213	36
Djibouti	2013	21.8	Q977	37
Dominica	2010	18.9	Q784	38
Dominican Republic	2016	23.4	Q786	39
Ecuador	2017	73.7	Q736	40
Egypt, Arab Rep.	2016	10.0	Q79	41
El Salvador	2016	53.8	Q792	42
Eritrea	2009	26.1	Q986	43
Estonia	2019	40.7	Q191	44
Ethiopia	2015	20.8	Q115	45
Fiji	2009	61.0	Q712	46
Gabon	2009	30.9	Q1000	47
Gambia, The	2018	25.2	Q1005	48
Georgia	2019	32.0	Q230	49
Germany	2005	35.4	Q183	50
Ghana	2013	40.1	Q117	51
Greece	2018	21.6	Q41	52
Grenada	2010	46.2	Q769	53
Guatemala	2017	55.7	Q774	54
Guinea	2016	16.0	Q1006	55
Guinea-Bissau	2006	12.4	Q1007	56
Guyana	2010	63.0	Q734	57
Honduras	2016	47.7	Q783	58
Hungary	2019	29.3	Q28	59
India	2014	35.9	Q668	60
Indonesia	2015	7.7	Q252	61
Iraq	2011	22.2	Q796	62
Ireland	2005	73.2	Q27	63
Israel	2013	18.6	Q801	64
Italy	2019	12.6	Q38	65
Jamaica	2010	25.9	Q766	66
Jordan	2019	16.9	Q810	67
Kazakhstan	2019	21.8	Q232	68
Kenya	2018	37.4	Q114	69
Korea, Rep.	2005	39.5	Q884	70
Kosovo	2019	20.4	Q1246	71
Kyrgyz Republic	2019	41.4	Q813	72
Lao PDR	2018	24.4	Q819	73
Latvia	2019	52.9	Q211	74
Lebanon	2019	20.8	Q822	75
Lesotho	2016	31.2	Q1013	76
Liberia	2017	22.8	Q1014	77
Lithuania	2019	27.5	Q37	78
North Macedonia	2019	39.0	Q221	79
Madagascar	2013	12.7	Q1019	80
Malawi	2014	32.9	Q1020	81
Malaysia	2015	18.5	Q833	82
Mali	2016	17.7	Q912	83
Malta	2019	49.9	Q233	84
Mauritania	2014	52.7	Q1025	85
Mauritius	2009	25.6	Q1027	86
Mexico	2010	50.8	Q96	87
Moldova	2019	38.1	Q217	88
Mongolia	2019	66.2	Q711	89
Montenegro	2019	15.8	Q236	90
Morocco	2019	35.7	Q1028	91
Mozambique	2018	20.7	Q1029	92
Myanmar	2016	5.9	Q836	93
Namibia	2014	25.4	Q1030	94
Nepal	2013	31.9	Q837	95
Nicaragua	2016	57.3	Q811	96
Niger	2017	27.5	Q1032	97
Nigeria	2014	30.7	Q1033	98
Pakistan	2013	32.0	Q843	99
Panama	2010	11.0	Q804	100
Papua New Guinea	2015	73.7	Q691	101
Paraguay	2017	46.4	Q733	102
Peru	2017	65.9	Q419	103
Philippines	2015	59.8	Q928	104
Poland	2019	21.7	Q36	105
Portugal	2019	29.0	Q45	106
Romania	2013	40.7	Q218	107
Russian Federation	2019	11.8	Q159	108
Rwanda	2019	35.9	Q1037	109
Samoa	2009	79.1	Q683	110
Senegal	2014	17.4	Q1041	111
Serbia	2019	38.3	Q403	112
Sierra Leone	2017	21.6	Q1044	113
Slovak Republic	2019	43.3	Q214	114
Slovenia	2019	44.0	Q215	115
Solomon Islands	2015	42.0	Q685	116
South Africa	2007	36.8	Q258	117
South Sudan	2014	17.1	Q958	118
Spain	2005	51.3	Q29	119
Sri Lanka	2011	18.4	Q854	120
St. Kitts and Nevis	2010	49.5	Q763	121
St. Lucia	2010	13.6	Q760	122
