Country	Numberofprocedures	Timerequired	ID	id_row
Afghanistan	9.0	250.0	Q889	0
Albania	5.0	19.0	Q222	1
Algeria	10.0	55.0	Q262	2
Angola	6.0	190.0	Q916	3
Antigua and Barbuda	7.0	32.0	Q781	4
Argentina	7.0	51.5	Q414	5
Armenia	3.0	8.0	Q399	6
Australia	4.0	4.5	Q408	7
Austria	3.0	20.5	Q40	8
Azerbaijan	4.0	4.5	Q227	9
Bahamas, The	7.0	122.0	Q778	10
Bahrain	2.0	2.0	Q398	11
Bangladesh	8.0	270.8	Q902	12
Barbados	7.0	50.0	Q244	13
Belarus	4.0	5.0	Q184	14
Belgium	8.0	49.0	Q31	15
Belize	9.0	60.0	Q242	16
Benin	4.0	120.0	Q962	17
Bhutan	3.0	77.0	Q917	18
Bolivia	7.0	90.0	Q750	19
Bosnia and Herzegovina	7.0	35.0	Q225	20
Botswana	4.0	27.0	Q963	21
Brazil	14.0	30.7	Q155	22
Brunei Darussalam	7.0	298.5	Q921	23
Bulgaria	8.0	19.0	Q219	24
Burkina Faso	4.0	67.0	Q965	25
Burundi	5.0	23.0	Q967	26
Cabo Verde	6.0	19.0	Q1011	27
Cambodia	7.0	55.0	Q424	28
Cameroon	5.0	81.0	Q1009	29
Canada	5.0	4.0	Q16	30
Central African Republic	5.0	75.0	Q929	31
Chad	6.0	29.0	Q657	32
Chile	6.0	28.5	Q298	33
China	4.0	9.0	Q148	34
Hong Kong SAR, China	5.0	27.5	Q8646	35
Colombia	7.0	15.0	Q739	36
Comoros	4.0	30.0	Q970	37
Congo, Dem. Rep.	8.0	38.0	Q974	38
Congo, Rep.	5.0	54.0	Q971	39
Costa Rica	5.0	11.0	Q800	40
Cote d'Ivoire	5.0	39.0	Q1008	41
Croatia	5.0	33.0	Q224	42
Cyprus	7.0	9.0	Q229	43
Czech Republic	4.0	27.5	Q213	44
Denmark	3.0	4.0	Q35	45
Djibouti	6.0	24.0	Q977	46
Dominica	5.0	125.0	Q784	47
Dominican Republic	6.0	33.0	Q786	48
Ecuador	8.0	26.0	Q736	49
Egypt, Arab Rep.	9.0	76.0	Q79	50
El Salvador	6.0	31.0	Q792	51
Equatorial Guinea	6.0	23.0	Q983	52
Eritrea	11.0	78.0	Q986	53
Estonia	3.0	17.5	Q191	54
Ethiopia	7.0	52.0	Q115	55
Fiji	4.0	69.0	Q712	56
Finland	3.0	61.5	Q33	57
France	8.0	42.0	Q142	58
Gabon	6.0	72.0	Q1000	59
Gambia, The	6.0	73.0	Q1005	60
Georgia	1.0	1.0	Q230	61
Germany	6.0	52.0	Q183	62
Ghana	5.0	33.0	Q117	63
Greece	11.0	26.0	Q41	64
Grenada	8.0	32.0	Q769	65
Guatemala	7.0	24.0	Q774	66
Guinea	6.0	44.0	Q1006	67
Guinea-Bissau	5.0	48.0	Q1007	68
Guyana	7.0	46.0	Q734	69
Haiti	6.0	319.0	Q790	70
Honduras	6.0	28.5	Q783	71
