Country	value9000	value0019	ID	id_row
Albania	5.0	4.6	Q222	0
Antigua and Barbuda	3.9	1.5	Q781	1
Argentina	4.4	3.2	Q414	2
Australia	4.1	3.1	Q408	3
Austria	2.6	1.6	Q40	4
Azerbaijan	-1.6	8.6	Q227	5
Bahamas, The	0.4	0.4	Q778	6
Bangladesh	4.2	5.9	Q902	7
Belarus	-0.4	4.0	Q184	8
Belgium	2.5	1.8	Q31	9
Belize	4.7	3.4	Q242	10
Benin	4.4	5.3	Q962	11
Bhutan	7.2	8.4	Q917	12
Bolivia	4.9	4.4	Q750	13
Botswana	8.2	6.8	Q963	14
Brazil	2.7	2.8	Q155	15
Brunei Darussalam	2.2	3.3	Q921	16
Bulgaria	-5.3	3.7	Q219	17
Burkina Faso	3.8	6.1	Q965	18
Cabo Verde	13.4	3.1	Q1011	19
Cambodia	7.7	7.7	Q424	20
Cameroon	-0.1	4.6	Q1009	21
Chile	6.8	4.9	Q298	22
China	10.3	10.0	Q148	23
Colombia	4.7	4.4	Q739	24
Comoros	1.6	3.2	Q970	25
Congo, Dem. Rep.	-4.7	5.5	Q974	26
Congo, Rep.	-2.2	4.7	Q971	27
Costa Rica	4.0	5.0	Q800	28
Croatia	2.9	1.8	Q224	29
Cyprus	6.5	2.4	Q229	30
Czech Republic	2.1	2.3	Q213	31
Denmark	2.7	1.4	Q35	32
Dominica	3.2	1.3	Q784	33
Dominican Republic	5.4	5.1	Q786	34
Ecuador	2.1	4.1	Q736	35
Egypt, Arab Rep.	3.1	5.4	Q79	36
El Salvador	3.3	2.1	Q792	37
Estonia	6.2	2.7	Q191	38
Eswatini	3.0	3.9	Q1050	39
Ethiopia	5.6	11.8	Q115	40
Fiji	3.0	3.1	Q712	41
Finland	3.1	1.1	Q33	42
France	2.3	1.5	Q142	43
Gabon	0.0	4.9	Q1000	44
Gambia, The	4.0	3.3	Q1005	45
Germany	2.6	1.3	Q183	46
Greece	3.5	-0.4	Q41	47
Grenada	3.7	2.4	Q769	48
Guatemala	4.7	4.4	Q774	49
Guinea	3.0	4.5	Q1006	50
Guyana	4.3	4.9	Q734	51
Haiti	1.6	1.2	Q790	52
Honduras	4.7	5.5	Q783	53
Hungary	1.8	2.2	Q28	54
Iceland	7.3	3.2	Q189	55
India	7.7	7.8	Q668	56
Indonesia	3.4	7.0	Q252	57
Iran, Islamic Rep.	3.5	3.9	Q794	58
Ireland	7.1	3.3	Q27	59
Israel	4.5	4.1	Q801	60
Italy	1.9	0.4	Q38	61
Jamaica	0.9	0.7	Q766	62
Japan	1.6	0.7	Q17	63
Jordan	4.8	4.6	Q810	64
Kazakhstan	1.1	7.2	Q232	65
Kiribati	5.7	2.5	Q710	66
Korea, Rep.	7.2	3.8	Q884	67
Kyrgyz Republic	-5.0	6.0	Q813	68
Latvia	6.1	3.5	Q211	69
Lebanon	5.5	4.4	Q822	70
Lesotho	3.6	4.4	Q1013	71
Lithuania	5.4	3.4	Q37	72
Luxembourg	6.3	3.0	Q32	73
Madagascar	5.7	2.9	Q1019	74
Malawi	3.7	5.5	Q1020	75
Malaysia	9.0	7.1	Q833	76
Maldives	6.9	5.9	Q826	77
Mali	3.5	5.3	Q912	78
Mauritania	6.0	5.8	Q1025	79
Mauritius	6.3	5.1	Q1027	80
Mexico	3.4	2.7	Q96	81
Micronesia, Fed. Sts.	-0.7	-0.1	Q702	82
Moldova	1.9	4.5	Q217	83
Morocco	3.1	4.2	Q1028	84
Mozambique	4.9	7.7	Q1029	85
Namibia	3.0	5.1	Q1030	86
Nepal	6.0	5.1	Q837	87
Netherlands	3.7	1.6	Q55	88
New Zealand	3.7	2.9	Q664	89
Nicaragua	6.5	4.0	Q811	90
Niger	0.6	4.7	Q1032	91
Nigeria	3.1	8.4	Q1033	92
North Macedonia	-0.5	2.8	Q221	93
Norway	3.7	2.3	Q20	94
Pakistan	4.4	5.0	Q843	95
Panama	4.7	6.2	Q804	96
Paraguay	2.9	4.4	Q733	97
Peru	2.8	6.0	Q419	98
Philippines	3.7	6.3	Q928	99
Poland	7.7	3.5	Q36	100
Portugal	3.7	0.9	Q45	101
Romania	0.5	5.2	Q218	102
Russian Federation	-4.7	4.0	Q159	103
Rwanda	-1.5	9.4	Q1037	104
Saudi Arabia	2.3	5.9	Q851	105
Senegal	3.0	4.5	Q1041	106
Serbia	1.3	3.7	Q403	107
Seychelles	4.8	4.2	Q1042	108
Singapore	7.0	5.6	Q334	109
Slovak Republic	3.4	3.1	Q214	110
Slovenia	3.6	2.2	Q215	111
South Africa	3.7	3.3	Q258	112
Spain	3.7	2.0	Q29	113
Sri Lanka	5.7	6.2	Q854	114
St. Kitts and Nevis	3.7	3.4	Q763	115
St. Lucia	3.1	1.8	Q760	116
St. Vincent and the Grenadines	4.5	1.8	Q757	117
Sudan	1.7	5.8	Q1049	118
Suriname	0.6	3.0	Q730	119
Sweden	2.0	2.5	Q34	120
Switzerland	1.4	1.9	Q39	121
Tajikistan	-10.8	10.1	Q863	122
Tanzania	2.6	6.9	Q924	123
Thailand	1.3	4.5	Q869	124
Togo	3.9	4.7	Q945	125
Trinidad and Tobago	2.6	3.2	Q754	126
Turkey	4.7	5.0	Q43	127
Uganda	8.0	6.0	Q1036	128
Ukraine	-8.1	1.8	Q212	129
United Kingdom	3.3	2.1	Q145	130
Uruguay	20.1	4.3	Q77	131
Uzbekistan	1.1	8.0	Q265	132
Venezuela, RB	-0.1	6.4	Q717	133
Vietnam	7.5	6.0	Q881	134
West Bank and Gaza	7.3	5.0	Q407199	135
Yemen, Rep.	5.1	1.9	Q805	136
Zambia	3.0	8.1	Q953	137
Zimbabwe	3.0	6.5	Q954	138
