Country	Total1990	Total2014	ID	id_row
Albania	2.5	2.0	Q222	0
Algeria	100.1	143.2	Q262	1
Angola	28.7	94.1	Q916	2
Argentina	48.4	75.3	Q414	3
Armenia	0.1	0.8	Q399	4
Australia	157.5	365.7	Q408	5
Austria	8.1	12.1	Q40	6
Azerbaijan	20.8	58.8	Q227	7
Bahrain	14.3	22.9	Q398	8
Bangladesh	10.8	29.5	Q902	9
Belarus	3.3	3.7	Q184	10
Belgium	13.1	12.5	Q31	11
Benin	1.8	2.3	Q962	12
Bolivia	4.9	23.2	Q750	13
Bosnia and Herzegovina	4.6	6.0	Q225	14
Botswana	0.9	1.5	Q963	15
Brazil	104.1	267.2	Q155	16
Brunei Darussalam	15.6	16.3	Q921	17
Bulgaria	9.6	11.4	Q219	18
Cameroon	11.0	9.8	Q1009	19
Canada	276.4	470.0	Q16	20
Chile	7.9	12.9	Q298	21
China	880.8	2593.1	Q148	22
Hong Kong SAR, China	0.0	0.2	Q8646	23
Colombia	48.2	127.2	Q739	24
Congo, Dem. Rep.	12.0	28.2	Q974	25
Congo, Rep.	8.7	15.7	Q971	26
Costa Rica	0.7	2.5	Q800	27
Cote d'Ivoire	3.4	12.9	Q1008	28
Croatia	5.7	4.4	Q224	29
Cuba	7.6	5.9	Q241	30
Curacao	0.0	0.0	Q25279	31
Cyprus	0.0	0.1	Q229	32
Czech Republic	40.9	29.3	Q213	33
Denmark	10.1	16.1	Q35	34
Dominican Republic	0.9	1.0	Q786	35
Ecuador	16.4	30.4	Q736	36
Egypt, Arab Rep.	54.9	80.4	Q79	37
El Salvador	1.7	2.1	Q792	38
Eritrea	0.7	0.6	Q986	39
Estonia	5.4	5.8	Q191	40
Ethiopia	22.1	45.5	Q115	41
Finland	12.1	18.3	Q33	42
France	111.9	137.1	Q142	43
Gabon	14.6	15.9	Q1000	44
Georgia	2.0	1.4	Q230	45
Germany	186.2	119.7	Q183	46
Ghana	4.4	9.8	Q117	47
Greece	9.2	8.8	Q41	48
Guatemala	3.4	8.9	Q774	49
Haiti	1.3	3.2	Q790	50
Honduras	1.7	2.5	Q783	51
Hungary	14.7	10.1	Q28	52
Iceland	1.6	5.2	Q189	53
India	280.5	541.8	Q668	54
Indonesia	168.6	458.0	Q252	55
Iran, Islamic Rep.	187.8	316.2	Q794	56
Iraq	110.3	163.0	Q796	57
Ireland	3.5	2.0	Q27	58
Israel	0.4	7.5	Q801	59
Italy	25.3	36.7	Q38	60
Jamaica	0.5	0.5	Q766	61
Japan	74.6	26.6	Q17	62
Jordan	0.2	0.3	Q810	63
Kazakhstan	91.0	166.3	Q232	64
Kenya	8.8	19.6	Q114	65
Korea, Dem. Peopleâ€™s Rep.	28.9	20.8	Q423	66
Korea, Rep.	22.6	49.1	Q884	67
Kuwait	50.4	166.4	Q817	68
Kyrgyz Republic	2.5	1.9	Q813	69
Latvia	1.1	2.4	Q211	70
Lebanon	0.1	0.2	Q822	71
Libya	73.2	36.3	Q1016	72
Lithuania	4.9	1.7	Q37	73
Luxembourg	0.0	0.2	Q32	74
North Macedonia	1.3	1.3	Q221	75
Malaysia	48.4	94.6	Q833	76
Malta	0.0	0.0	Q233	77
Mauritius	0.3	0.2	Q1027	78
Mexico	195.5	208.3	Q96	79
Moldova	0.1	0.3	Q217	80
Mongolia	2.7	14.4	Q711	81
Morocco	1.4	1.8	Q1028	82
Mozambique	5.6	18.0	Q1029	83
Myanmar	10.7	25.7	Q836	84
Namibia	0.3	0.5	Q1030	85
Nepal	5.5	9.7	Q837	86
Netherlands	60.6	58.5	Q55	87
New Zealand	11.5	17.1	Q664	88
Nicaragua	1.4	2.2	Q811	89
Nigeria	146.3	260.0	Q1033	90
Norway	119.5	196.3	Q20	91
Oman	38.3	74.5	Q842	92
Pakistan	34.2	68.2	Q843	93
Panama	0.6	0.8	Q804	94
Paraguay	4.6	7.1	Q733	95
Peru	10.6	27.3	Q419	96
Philippines	17.2	25.9	Q928	97
Poland	103.9	67.3	Q36	98
Portugal	3.4	6.0	Q45	99
Qatar	27.7	219.9	Q846	100
Romania	40.8	26.4	Q218	101
Russian Federation	1293.1	1305.7	Q159	102
Saudi Arabia	368.4	622.4	Q851	103
Senegal	1.0	1.9	Q1041	104
Serbia	13.8	9.4	Q403	105
Singapore	0.1	0.6	Q334	106
Slovak Republic	5.3	6.6	Q214	107
Slovenia	3.1	3.7	Q215	108
South Africa	114.5	168.3	Q258	109
Spain	34.6	35.1	Q29	110
Sri Lanka	4.2	5.3	Q854	111
Sudan	8.8	16.3	Q1049	112
Sweden	29.7	34.5	Q34	113
Switzerland	10.3	13.3	Q39	114
Syrian Arab Republic	22.3	5.6	Q858	115
Tajikistan	2.0	1.8	Q863	116
Tanzania	9.1	22.2	Q924	117
Thailand	26.6	78.7	Q869	118
Togo	1.1	2.6	Q945	119
Trinidad and Tobago	12.6	39.7	Q754	120
Tunisia	5.7	6.7	Q948	121
Turkey	25.8	31.3	Q43	122
Turkmenistan	73.0	78.0	Q874	123
Ukraine	135.8	76.9	Q212	124
United Arab Emirates	110.2	200.0	Q878	125
United Kingdom	208.0	108.2	Q145	126
United States	1652.5	2012.0	Q30	127
Uruguay	1.1	2.6	Q77	128
Uzbekistan	38.6	55.8	Q265	129
Venezuela, RB	144.8	185.7	Q717	130
Vietnam	18.3	71.2	Q881	131
Yemen, Rep.	9.4	16.1	Q805	132
Zambia	4.9	9.1	Q953	133
Zimbabwe	8.5	11.5	Q954	134
