Country	Year	Motorvehiclesper1000people	Total	ID	id_row
New Zealand	2018	860.0	4240000.0	Q664	0
United States	2018	838.0	273602100.0	Q30	1
Iceland	2016	824.0	278924.0	Q189	2
Finland	2019	752.0	4151275.0	Q33	3
Australia	2018	730.0	19200000.0	Q408	4
Brunei	2015	721.0	300897.0	Q921	5
Switzerland	2018	716.0	6113791.0	Q39	6
Canada	2018	685.0	25060399.0	Q16	7
Luxembourg	2017	670.0	403282.0	Q32	8
Italy	2019	655.0	39545232.0	Q38	9
Japan	2019	649.0	81789318.0	Q17	10
Spain	2017	648.0	23500401.0	Q29	11
Malta	2019	766.0	394955.0	Q233	12
Poland	2017	593.0	22503579.0	Q36	13
Germany	2017	561.0	46474594.0	Q183	14
Austria	2017	555.0	4898578.0	Q40	15
Estonia	2017	550.0	725944.0	Q191	16
Slovenia	2017	541.0	1117935.0	Q215	17
Czech Republic	2017	539.0	5538222.0	Q213	18
Norway	2017	514.0	2719396.0	Q20	19
Cyprus	2017	509.0	526617.0	Q229	20
Belgium	2017	508.0	5785447.0	Q31	21
Portugal	2017	492.0	5059472.0	Q45	22
Netherlands	2017	487.0	8373244.0	Q55	23
Greece	2017	487.0	5235928.0	Q41	24
Sweden	2017	479.0	4844823.0	Q34	25
France	2017	478.0	32005986.0	Q142	26
Kuwait	2015	477.0	1876188.0	Q817	27
South Korea	2019	475.0	23444165.0	Q884	28
United Kingdom	2017	471.0	31200182.0	Q145	29
Lithuania	2017	463.0	1356987.0	Q37	30
Romania	2019	458.0	8900000.0	Q218	31
Ireland	2017	444.0	2142390.0	Q27	32
Denmark	2017	438.0	2530047.0	Q35	33
Malaysia	2015	433.0	13308716.0	Q833	34
Bahrain	2015	422.0	578471.0	Q398	35
Qatar	2015	411.0	1020000.0	Q846	36
Slovakia	2017	408.0	2223117.0	Q214	37
Israel	2019	394.0	3600600.0	Q801	38
Bulgaria	2017	393.0	2770615.0	Q219	39
Croatia	2017	389.0	1596087.0	Q224	40
Barbados	2015	387.0	110.0	Q244	41
Russia	2019	381.0	55838224.0	Q159	42
Belarus	2015	369.0	3501981.0	Q184	43
Syria	2015	368.0	6900000.0	Q858	44
Brazil	2020	364.0	77191524.0	Q155	45
Latvia	2019	381.0	727164.0	Q211	46
Hungary	2017	355.0	3471997.0	Q28	47
