Country	SqKm1990	SqKm2016	ID	id_row
Afghanistan	14.0	14.0	Q889	0
Albania	8.0	8.0	Q222	1
Algeria	17.0	20.0	Q262	2
American Samoa	0.0	0.0	Q16641	3
Andorra	0.0	0.0	Q228	4
Angola	610.0	577.0	Q916	5
Antigua and Barbuda	0.0	0.0	Q781	6
Argentina	348.0	268.0	Q414	7
Armenia	3.0	3.0	Q399	8
Aruba	0.0	0.0	Q21203	9
Australia	1285.0	1251.0	Q408	10
Austria	38.0	39.0	Q40	11
Azerbaijan	9.0	12.0	Q227	12
Bahamas, The	5.0	5.0	Q778	13
Bahrain	0.0	0.0	Q398	14
Bangladesh	15.0	14.0	Q902	15
Barbados	0.0	0.0	Q244	16
Belarus	78.0	87.0	Q184	17
Belgium	7.0	7.0	Q31	18
Belize	16.0	14.0	Q242	19
Benin	58.0	43.0	Q962	20
Bermuda	0.0	0.0	Q23635	21
Bhutan	25.0	28.0	Q917	22
Bolivia	628.0	545.0	Q750	23
Bosnia and Herzegovina	22.0	22.0	Q225	24
Botswana	137.0	107.0	Q963	25
Brazil	5467.0	4926.0	Q155	26
Brunei Darussalam	4.0	4.0	Q921	27
Bulgaria	33.0	38.0	Q219	28
Burkina Faso	68.0	53.0	Q965	29
Burundi	3.0	3.0	Q967	30
Cabo Verde	1.0	1.0	Q1011	31
Cambodia	129.0	93.0	Q424	32
Cameroon	243.0	186.0	Q1009	33
Canada	3483.0	3470.0	Q16	34
Cayman Islands	0.0	0.0	Q5785	35
Central African Republic	226.0	222.0	Q929	36
Chad	67.0	47.0	Q657	37
Channel Islands	0.0	0.0	Q42314	38
Chile	153.0	180.0	Q298	39
China	1571.0	2099.0	Q148	40
Colombia	644.0	585.0	Q739	41
Comoros	0.0	0.0	Q970	42
Congo, Dem. Rep.	1604.0	1523.0	Q974	43
Congo, Rep.	227.0	223.0	Q971	44
Costa Rica	26.0	28.0	Q800	45
Cote d'Ivoire	102.0	104.0	Q1008	46
Croatia	19.0	19.0	Q224	47
Cuba	21.0	33.0	Q241	48
Cyprus	2.0	2.0	Q229	49
Czech Republic	26.0	27.0	Q213	50
Denmark	5.0	6.0	Q35	51
Djibouti	0.0	0.0	Q977	52
Dominica	1.0	0.0	Q784	53
Dominican Republic	11.0	20.0	Q786	54
Ecuador	146.0	125.0	Q736	55
Egypt, Arab Rep.	0.0	1.0	Q79	56
El Salvador	4.0	3.0	Q792	57
Equatorial Guinea	19.0	16.0	Q983	58
Eritrea	16.0	15.0	Q986	59
Estonia	22.0	22.0	Q191	60
Eswatini	5.0	6.0	Q1050	61
Ethiopia	147.0	125.0	Q115	62
Faroe Islands	0.0	0.0	Q4628	63
Fiji	10.0	10.0	Q712	64
Finland	219.0	222.0	Q33	65
France	144.0	171.0	Q142	66
French Polynesia	1.0	2.0	Q30971	67
Gabon	220.0	232.0	Q1000	68
Gambia, The	4.0	5.0	Q1005	69
Georgia	28.0	28.0	Q230	70
Germany	113.0	114.0	Q183	71
Ghana	86.0	94.0	Q117	72
Greece	33.0	41.0	Q41	73
Greenland	0.0	0.0	Q223	74
Grenada	0.0	0.0	Q769	75
Guam	0.0	0.0	Q16635	76
Guatemala	47.0	35.0	Q774	77
Guinea	73.0	63.0	Q1006	78
Guinea-Bissau	22.0	20.0	Q1007	79
Guyana	167.0	165.0	Q734	80
Haiti	1.0	1.0	Q790	81
Honduras	81.0	45.0	Q783	82
Hungary	18.0	21.0	Q28	83
Iceland	0.0	1.0	Q189	84
India	639.0	709.0	Q668	85
Indonesia	1185.0	903.0	Q252	86
Iran, Islamic Rep.	91.0	107.0	Q794	87
Iraq	8.0	8.0	Q796	88
Ireland	5.0	8.0	Q27	89
Isle of Man	0.0	0.0	Q9676	90
Israel	1.0	2.0	Q801	91
Italy	76.0	94.0	Q38	92
Jamaica	3.0	3.0	Q766	93
Japan	250.0	250.0	Q17	94
Jordan	1.0	1.0	Q810	95
Kazakhstan	34.0	33.0	Q232	96
Kenya	47.0	44.0	Q114	97
Kiribati	0.0	0.0	Q710	98
Korea, Dem. Peopleâ€™s Rep.	82.0	49.0	Q423	99
Korea, Rep.	64.0	62.0	Q884	100
Kuwait	0.0	0.0	Q817	101
Kyrgyz Republic	8.0	6.0	Q813	102
Lao PDR	176.0	190.0	Q819	103
Latvia	32.0	34.0	Q211	104
Lebanon	1.0	1.0	Q822	105
Lesotho	0.0	1.0	Q1013	106
Liberia	49.0	41.0	Q1014	107
Libya	2.0	2.0	Q1016	108
Liechtenstein	0.0	0.0	Q347	109
Lithuania	19.0	22.0	Q37	110
Luxembourg	1.0	1.0	Q32	111
North Macedonia	9.0	10.0	Q221	112
Madagascar	137.0	125.0	Q1019	113
Malawi	39.0	31.0	Q1020	114
Malaysia	224.0	222.0	Q833	115
Maldives	0.0	0.0	Q826	116
Mali	67.0	46.0	Q912	117
Malta	0.0	0.0	Q233	118
Marshall Islands	0.0	0.0	Q709	119
Mauritania	4.0	2.0	Q1025	120
Mauritius	0.0	0.0	Q1027	121
Mexico	698.0	659.0	Q96	122
Micronesia, Fed. Sts.	1.0	1.0	Q702	123
Moldova	3.0	4.0	Q217	124
Mongolia	125.0	125.0	Q711	125
