Country	Total	percapita	Grants	Technicalcooperation	ID	id_row
Afghanistan	3789.0	102.0	3322.0	300.0	Q889	0
Albania	343.0	120.0	181.0	94.0	Q222	1
Algeria	144.0	3.0	80.0	178.0	Q262	2
Angola	159.0	5.0	139.0	47.0	Q916	3
Antigua and Barbuda	17.0	174.0	3.0	1.0	Q781	4
Argentina	71.0	2.0	30.0	46.0	Q414	5
Armenia	139.0	47.0	112.0	45.0	Q399	6
Azerbaijan	84.0	8.0	46.0	43.0	Q227	7
Bangladesh	3040.0	19.0	1330.0	197.0	Q902	8
Belarus	117.0	12.0	56.0	65.0	Q184	9
Belize	33.0	87.0	17.0	4.0	Q242	10
Benin	570.0	50.0	328.0	82.0	Q962	11
Bhutan	100.0	133.0	49.0	18.0	Q917	12
Bolivia	727.0	64.0	237.0	71.0	Q750	13
Bosnia and Herzegovina	352.0	106.0	226.0	68.0	Q225	14
Botswana	82.0	37.0	70.0	13.0	Q963	15
Brazil	429.0	2.0	242.0	181.0	Q155	16
Burkina Faso	1111.0	56.0	721.0	107.0	Q965	17
Burundi	450.0	40.0	380.0	26.0	Q967	18
Cabo Verde	83.0	153.0	43.0	26.0	Q1011	19
Cambodia	769.0	47.0	448.0	121.0	Q424	20
Cameroon	1164.0	46.0	469.0	145.0	Q1009	21
Central African Republic	656.0	141.0	487.0	23.0	Q929	22
Chad	875.0	57.0	555.0	17.0	Q657	23
China	-737.0	-1.0	192.0	516.0	Q148	24
Colombia	1763.0	36.0	741.0	160.0	Q739	25
Comoros	87.0	104.0	52.0	18.0	Q970	26
Congo, Dem. Rep.	2510.0	30.0	2241.0	113.0	Q974	27
Congo, Rep.	144.0	28.0	81.0	25.0	Q971	28
Costa Rica	94.0	19.0	26.0	24.0	Q800	29
Cote d'Ivoire	954.0	38.0	727.0	93.0	Q1008	30
Cuba	747.0	66.0	511.0	23.0	Q241	31
Djibouti	177.0	185.0	120.0	13.0	Q977	32
Dominica	27.0	372.0	28.0	1.0	Q784	33
Dominican Republic	87.0	8.0	105.0	25.0	Q786	34
Ecuador	396.0	23.0	122.0	57.0	Q736	35
Egypt, Arab Rep.	2064.0	21.0	345.0	225.0	Q79	36
El Salvador	249.0	39.0	264.0	29.0	Q792	37
Equatorial Guinea	6.0	4.0	7.0	2.0	Q983	38
Ethiopia	4930.0	45.0	2366.0	206.0	Q115	39
Fiji	111.0	126.0	66.0	46.0	Q712	40
Gabon	116.0	55.0	20.0	27.0	Q1000	41
Gambia, The	233.0	102.0	126.0	34.0	Q1005	42
Georgia	589.0	158.0	314.0	68.0	Q230	43
Ghana	1067.0	36.0	714.0	132.0	Q117	44
Grenada	31.0	275.0	0.0	2.0	Q769	45
Guatemala	394.0	24.0	343.0	58.0	Q774	46
Guinea	591.0	48.0	367.0	58.0	Q1006	47
Guinea-Bissau	152.0	81.0	80.0	16.0	Q1007	48
Guyana	102.0	132.0	44.0	8.0	Q734	49
Haiti	992.0	89.0	790.0	71.0	Q790	50
Honduras	660.0	69.0	303.0	51.0	Q783	51
India	2454.0	2.0	689.0	410.0	Q668	52
Indonesia	949.0	4.0	697.0	362.0	Q252	53
Iran, Islamic Rep.	166.0	2.0	65.0	113.0	Q794	54
Iraq	2300.0	60.0	1719.0	184.0	Q796	55
Jamaica	99.0	34.0	97.0	16.0	Q766	56
Jordan	2524.0	254.0	2346.0	206.0	Q810	57
Kazakhstan	76.0	4.0	91.0	35.0	Q232	58
Kenya	2488.0	48.0	1504.0	145.0	Q114	59
Kiribati	74.0	640.0	51.0	21.0	Q710	60
Korea, Dem. Peopleâ€™s Rep.	121.0	5.0	118.0	4.0	Q423	61
Kosovo	345.0	192.0	267.0	79.0	Q1246	62
Kyrgyz Republic	414.0	65.0	384.0	52.0	Q813	63
Lao PDR	565.0	80.0	337.0	108.0	Q819	64
Lebanon	1420.0	207.0	1202.0	101.0	Q822	65
Lesotho	152.0	72.0	133.0	9.0	Q1013	66
Liberia	571.0	118.0	436.0	33.0	Q1014	67
Libya	303.0	45.0	269.0	35.0	Q1016	68
North Macedonia	170.0	82.0	134.0	80.0	Q221	69
Madagascar	691.0	26.0	374.0	100.0	Q1019	70
Malawi	1271.0	70.0	974.0	90.0	Q1020	71
Malaysia	-38.0	-1.0	26.0	41.0	Q833	72
Maldives	119.0	231.0	73.0	6.0	Q826	73
Mali	1492.0	78.0	1034.0	162.0	Q912	74
Marshall Islands	54.0	922.0	51.0	3.0	Q709	75
Mauritania	447.0	102.0	180.0	30.0	Q1025	76
Mauritius	67.0	53.0	38.0	17.0	Q1027	77
Mexico	540.0	4.0	319.0	120.0	Q96	78
Micronesia, Fed. Sts.	99.0	877.0	74.0	5.0	Q702	79
Moldova	231.0	85.0	132.0	90.0	Q217	80
Mongolia	332.0	105.0	116.0	78.0	Q711	81
Montenegro	155.0	249.0	58.0	10.0	Q236	82
Morocco	812.0	23.0	474.0	297.0	Q1028	83
Mozambique	1820.0	62.0	1344.0	148.0	Q1029	84
Myanmar	1688.0	31.0	887.0	219.0	Q836	85
Namibia	150.0	61.0	128.0	42.0	Q1030	86
Nepal	1451.0	52.0	630.0	101.0	Q837	87
Nicaragua	352.0	54.0	163.0	35.0	Q811	88
Niger	1196.0	53.0	882.0	77.0	Q1032	89
Nigeria	3302.0	17.0	1961.0	237.0	Q1033	90
Pakistan	1362.0	6.0	1542.0	190.0	Q843	91
Palau	84.0	4712.0	81.0	3.0	Q695	92
Panama	38.0	9.0	22.0	17.0	Q804	93
Papua New Guinea	786.0	91.0	269.0	307.0	Q691	94
Paraguay	162.0	23.0	64.0	34.0	Q733	95
Peru	442.0	14.0	214.0	118.0	Q419	96
Philippines	541.0	5.0	437.0	254.0	Q928	97
Rwanda	1119.0	91.0	621.0	73.0	Q1037	98
Samoa	115.0	587.0	90.0	28.0	Q683	99
Sao Tome and Principe	44.0	210.0	28.0	9.0	Q1039	100
Senegal	992.0	63.0	479.0	178.0	Q1041	101
Serbia	1068.0	153.0	335.0	120.0	Q403	102
Sierra Leone	506.0	66.0	375.0	40.0	Q1044	103
Solomon Islands	193.0	296.0	154.0	40.0	Q685	104
Somalia	1573.0	105.0	1514.0	63.0	Q1045	105
South Africa	915.0	16.0	818.0	116.0	Q258	106
South Sudan	1577.0	144.0	1525.0	47.0	Q958	107
Sri Lanka	-258.0	-12.0	183.0	61.0	Q854	108
St. Lucia	9.0	47.0	5.0	3.0	Q760	109
St. Vincent and the Grenadines	18.0	159.0	12.0	1.0	Q757	110
Suriname	13.0	23.0	16.0	2.0	Q730	111
Eswatini	120.0	105.0	96.0	13.0	Q1050	112
Syrian Arab Republic	9991.0	591.0	9824.0	184.0	Q858	113
Tajikistan	398.0	44.0	297.0	28.0	Q863	114
Tanzania	2453.0	44.0	1607.0	132.0	Q924	115
Thailand	-423.0	-6.0	90.0	75.0	Q869	116
Timor-Leste	203.0	160.0	119.0	64.0	Q574	117
Togo	296.0	38.0	167.0	42.0	Q945	118
Tonga	87.0	847.0	64.0	17.0	Q678	119
Tunisia	805.0	70.0	277.0	212.0	Q948	120
Turkey	1187.0	14.0	1266.0	267.0	Q43	121
Turkmenistan	18.0	3.0	14.0	8.0	Q874	122
Tuvalu	19.0	1635.0	10.0	6.0	Q672	123
Uganda	1941.0	45.0	1434.0	94.0	Q1036	124
Ukraine	1221.0	27.0	781.0	370.0	Q212	125
Uzbekistan	556.0	17.0	113.0	41.0	Q265	126
Vanuatu	124.0	423.0	58.0	30.0	Q686	127
Venezuela, RB	147.0	5.0	126.0	21.0	Q717	128
Vietnam	1633.0	17.0	411.0	266.0	Q881	129
West Bank and Gaza	2240.0	490.0	2114.0	120.0	Q407199	130
Yemen, Rep.	7985.0	280.0	7660.0	61.0	Q805	131
Zambia	992.0	57.0	806.0	79.0	Q953	132
Zimbabwe	794.0	55.0	737.0	54.0	Q954	133
