Country	Propertyrightsandrulebasedgovernance	Qualityofbudgetaryandfinancialmanagement	Efficiencyofrevenuemobilization	Qualityofpublicadministration	Transparencyaccountabilityandcorruptioninthepublicsector	Average	ID	id_row
Afghanistan	2.0	3.5	3.0	2.5	2.0	2.6	Q889	0
Bangladesh	2.5	3.0	2.5	2.5	2.5	2.6	Q902	1
Benin	3.5	3.5	3.5	3.0	3.5	3.4	Q962	2
Bhutan	4.0	4.0	3.5	4.0	4.5	4.0	Q917	3
Burkina Faso	3.0	3.5	3.0	3.0	3.5	3.2	Q965	4
Burundi	2.0	2.5	3.0	2.5	1.5	2.3	Q967	5
Cabo Verde	4.0	3.5	4.0	4.0	4.5	4.0	Q1011	6
Cambodia	2.5	3.0	3.5	2.5	1.5	2.6	Q424	7
Cameroon	2.5	3.5	3.5	3.0	2.5	3.0	Q1009	8
Central African Republic	2.0	2.5	2.5	2.5	2.5	2.4	Q929	9
Chad	2.5	2.5	2.5	2.5	2.5	2.5	Q657	10
Comoros	3.0	2.5	2.5	2.0	2.5	2.5	Q970	11
Congo, Dem. Rep.	2.0	2.5	3.0	3.0	2.0	2.5	Q974	12
Congo, Rep.	2.5	3.0	3.0	3.0	2.0	2.7	Q971	13
Cote d'Ivoire	3.5	4.0	3.5	3.0	3.5	3.5	Q1008	14
Djibouti	3.0	3.0	3.5	3.5	2.5	3.1	Q977	15
Dominica	4.0	3.5	3.5	3.5	4.0	3.7	Q784	16
Eritrea	2.5	2.0	3.0	2.5	2.5	2.5	Q986	17
Ethiopia	3.0	3.5	3.5	4.0	3.0	3.4	Q115	18
Gambia, The	3.0	3.0	3.5	3.0	2.5	3.0	Q1005	19
Ghana	4.0	3.5	3.5	3.5	3.5	3.6	Q117	20
Grenada	3.5	3.0	4.0	3.5	4.0	3.6	Q769	21
Guinea	2.5	3.0	3.5	3.0	2.5	2.9	Q1006	22
Guinea-Bissau	2.0	2.0	2.5	2.0	1.5	2.0	Q1007	23
Guyana	3.0	3.5	3.5	3.0	3.0	3.2	Q734	24
Haiti	2.0	2.0	2.5	2.5	2.5	2.3	Q790	25
Honduras	2.5	3.5	3.5	3.0	2.5	3.0	Q783	26
Kenya	3.0	3.5	4.0	3.5	3.0	3.4	Q114	27
Kiribati	4.0	2.5	3.5	3.0	3.5	3.3	Q710	28
Kosovo	3.0	4.0	3.5	3.0	3.0	3.3	Q1246	29
Kyrgyz Republic	3.0	3.5	3.5	3.0	3.0	3.2	Q813	30
Lao PDR	3.0	3.0	3.0	2.5	2.5	2.8	Q819	31
Lesotho	3.5	2.5	4.0	2.5	3.0	3.1	Q1013	32
Liberia	2.5	3.0	3.0	2.5	2.5	2.7	Q1014	33
Madagascar	2.5	2.5	3.5	2.5	2.5	2.7	Q1019	34
Malawi	3.0	3.0	4.0	2.5	2.5	3.0	Q1020	35
Maldives	3.0	3.0	4.0	3.0	3.0	3.2	Q826	36
Mali	2.5	4.0	3.5	2.5	3.0	3.1	Q912	37
Marshall Islands	3.5	2.5	2.5	2.0	3.5	2.8	Q709	38
Mauritania	3.0	3.5	4.0	3.0	3.0	3.3	Q1025	39
Micronesia, Fed. Sts.	3.0	2.5	2.5	2.5	3.5	2.8	Q702	40
Moldova	3.5	4.0	3.5	3.0	2.5	3.3	Q217	41
Mongolia	3.0	3.5	3.5	3.5	3.0	3.3	Q711	42
Mozambique	2.5	3.5	4.0	3.0	2.5	3.1	Q1029	43
Myanmar	2.0	3.5	3.5	2.5	2.5	2.8	Q836	44
Nepal	3.0	2.5	3.5	2.5	3.0	2.9	Q837	45
Nicaragua	2.5	3.5	3.5	3.0	2.5	3.0	Q811	46
Niger	3.0	3.0	3.5	3.0	3.0	3.1	Q1032	47
