Country	Savings	ID	id_row
Afghanistan	18.0	Q889	0
Albania	16.2	Q222	1
Algeria	38.4	Q262	2
Angola	27.3	Q916	3
Argentina	16.1	Q414	4
Armenia	13.4	Q399	5
Aruba	8.8	Q21203	6
Australia	22.4	Q408	7
Austria	27.7	Q40	8
Azerbaijan	34.8	Q227	9
Bahamas, The	13.4	Q778	10
Bahrain	26.0	Q398	11
Bangladesh	31.8	Q902	12
Barbados	-1.4	Q244	13
Belarus	30.3	Q184	14
Belgium	24.3	Q31	15
Belize	9.4	Q242	16
Benin	19.9	Q962	17
Bhutan	23.7	Q917	18
Bolivia	16.4	Q750	19
Bosnia and Herzegovina	15.2	Q225	20
Botswana	38.3	Q963	21
Brazil	12.7	Q155	22
Brunei Darussalam	53.3	Q921	23
Bulgaria	27.3	Q219	24
Burkina Faso	21.1	Q965	25
Burundi	4.3	Q967	26
Cabo Verde	35.5	Q1011	27
Cambodia	26.5	Q424	28
Cameroon	17.8	Q1009	29
Canada	19.9	Q16	30
Chile	20.3	Q298	31
China	46.4	Q148	32
Hong Kong SAR, China	24.7	Q8646	33
Macao SAR, China	57.1	Q14773	34
Colombia	15.6	Q739	35
Comoros	12.7	Q970	36
Congo, Dem. Rep.	21.9	Q974	37
Congo, Rep.	-4.8	Q971	38
Costa Rica	15.6	Q800	39
Cote d'Ivoire	15.2	Q1008	40
Croatia	25.4	Q224	41
Cyprus	21.0	Q229	42
Czech Republic	27.8	Q213	43
Denmark	28.3	Q35	44
Djibouti	27.3	Q977	45
Dominican Republic	24.6	Q786	46
Ecuador	26.0	Q736	47
Egypt, Arab Rep.	14.2	Q79	48
El Salvador	16.6	Q792	49
Estonia	29.1	Q191	50
Eswatini	22.3	Q1050	51
Ethiopia	33.4	Q115	52
Finland	23.8	Q33	53
France	22.4	Q142	54
Gambia, The	8.7	Q1005	55
Georgia	22.0	Q230	56
Germany	28.5	Q183	57
Ghana	21.4	Q117	58
Greece	12.9	Q41	59
Guatemala	13.7	Q774	60
Guinea	3.2	Q1006	61
Guinea-Bissau	8.8	Q1007	62
Guyana	36.2	Q734	63
Haiti	24.2	Q790	64
Honduras	22.3	Q783	65
Hungary	27.7	Q28	66
Iceland	22.0	Q189	67
India	31.3	Q668	68
Indonesia	32.6	Q252	69
Iraq	20.3	Q796	70
Ireland	45.4	Q27	71
Israel	24.4	Q801	72
Italy	20.5	Q38	73
Jamaica	22.3	Q766	74
Japan	27.0	Q17	75
Jordan	10.9	Q810	76
Kazakhstan	34.5	Q232	77
Kenya	10.6	Q114	78
Korea, Rep.	34.7	Q884	79
Kosovo	20.4	Q1246	80
Kuwait	37.4	Q817	81
Kyrgyz Republic	28.8	Q813	82
Lao PDR	18.4	Q819	83
Latvia	23.2	Q211	84
Lebanon	5.5	Q822	85
Lesotho	15.8	Q1013	86
Liberia	-74.0	Q1014	87
Lithuania	21.0	Q37	88
Luxembourg	27.3	Q32	89
Madagascar	19.2	Q1019	90
Malawi	13.3	Q1020	91
Malaysia	26.7	Q833	92
Mali	16.8	Q912	93
Malta	33.5	Q233	94
Marshall Islands	13.5	Q709	95
Mauritania	19.9	Q1025	96
Mauritius	15.3	Q1027	97
Mexico	24.3	Q96	98
Moldova	14.3	Q217	99
Mongolia	33.4	Q711	100
Montenegro	14.7	Q236	101
Morocco	28.3	Q1028	102
Mozambique	13.1	Q1029	103
Myanmar	30.1	Q836	104
Namibia	14.4	Q1030	105
Nepal	49.1	Q837	106
Netherlands	31.5	Q55	107
New Zealand	20.4	Q664	108
Nicaragua	25.1	Q811	109
Niger	23.1	Q1032	110
Nigeria	20.2	Q1033	111
North Macedonia	34.5	Q221	112
Norway	34.4	Q20	113
Oman	24.0	Q842	114
Pakistan	17.8	Q843	115
Palau	10.2	Q695	116
Panama	32.1	Q804	117
Paraguay	23.9	Q733	118
Peru	20.9	Q419	119
Philippines	35.3	Q928	120
Poland	20.5	Q36	121
Portugal	18.5	Q45	122
Qatar	52.6	Q846	123
Romania	19.6	Q218	124
Russian Federation	31.0	Q159	125
Rwanda	12.7	Q1037	126
Saudi Arabia	32.9	Q851	127
Senegal	20.7	Q1041	128
Serbia	19.8	Q403	129
Seychelles	10.7	Q1042	130
Sierra Leone	-7.8	Q1044	131
Singapore	49.4	Q334	132
Slovak Republic	22.5	Q214	133
Slovenia	27.3	Q215	134
South Africa	15.4	Q258	135
Spain	22.3	Q29	136
Sri Lanka	26.2	Q854	137
St. Lucia	10.4	Q760	138
St. Vincent and the Grenadines	4.4	Q757	139
Sudan	16.2	Q1049	140
Sweden	28.8	Q34	141
Switzerland	34.3	Q39	142
Tajikistan	20.2	Q863	143
Tanzania	31.2	Q924	144
Thailand	33.7	Q869	145
Timor-Leste	9.6	Q574	146
Togo	22.5	Q945	147
Tunisia	8.6	Q948	148
Turkey	27.5	Q43	149
Uganda	18.9	Q1036	150
Ukraine	10.9	Q212	151
United Kingdom	13.6	Q145	152
United States	18.3	Q30	153
Uruguay	12.9	Q77	154
Uzbekistan	40.7	Q265	155
Vietnam	24.3	Q881	156
West Bank and Gaza	10.0	Q407199	157
Zambia	32.0	Q953	158
Zimbabwe	-3.7	Q954	159
