Country	averageannualgrowth9000	averageannualgrowth0019	ID	id_row
Albania	3.6	3.9	Q222	0
Algeria	1.9	3.3	Q262	1
Andorra	3.4	0.5	Q228	2
Angola	2.1	6.1	Q916	3
Antigua and Barbuda	3.7	1.8	Q781	4
Argentina	4.1	2.9	Q414	5
Armenia	-1.9	5.5	Q399	6
Aruba	4.7	0.2	Q21203	7
Australia	3.6	2.9	Q408	8
Austria	2.5	1.4	Q40	9
Azerbaijan	-6.3	8.7	Q227	10
Bahamas, The	2.6	0.4	Q778	11
Bahrain	5.0	4.6	Q398	12
Bangladesh	4.7	6.2	Q902	13
Barbados	1.7	0.4	Q244	14
Belarus	-1.6	4.6	Q184	15
Belgium	2.2	1.5	Q31	16
Belize	4.6	2.6	Q242	17
Benin	4.6	4.2	Q962	18
Bermuda	2.9	0.5	Q23635	19
Bhutan	5.2	7.5	Q917	20
Bolivia	4.0	4.6	Q750	21
Bosnia and Herzegovina	28.5	2.9	Q225	22
Botswana	5.0	4.4	Q963	23
Brazil	2.8	2.6	Q155	24
Brunei Darussalam	2.1	0.5	Q921	25
Bulgaria	-1.9	3.2	Q219	26
Burkina Faso	5.5	5.8	Q965	27
Burundi	-2.9	3.0	Q967	28
Cabo Verde	12.1	4.3	Q1011	29
Cambodia	3.0	7.4	Q424	30
Cameroon	1.6	4.2	Q1009	31
Canada	2.8	2.5	Q16	32
Central African Republic	1.8	0.3	Q929	33
Chad	2.2	6.4	Q657	34
Chile	6.4	3.9	Q298	35
China	10.6	9.4	Q148	36
Hong Kong SAR, China	3.6	3.6	Q8646	37
Macao SAR, China	2.2	8.1	Q14773	38
Colombia	3.0	4.2	Q739	39
Comoros	1.6	2.9	Q970	40
Congo, Dem. Rep.	-4.9	5.9	Q974	41
Congo, Rep.	1.0	3.8	Q971	42
Costa Rica	4.9	4.1	Q800	43
Cote d'Ivoire	3.1	3.8	Q1008	44
Croatia	3.1	1.2	Q224	45
Cuba	-0.7	4.2	Q241	46
Cyprus	4.6	1.7	Q229	47
Czech Republic	1.4	2.5	Q213	48
Denmark	2.8	1.1	Q35	49
Dominica	2.1	1.5	Q784	50
Dominican Republic	6.2	5.1	Q786	51
Ecuador	2.2	3.8	Q736	52
Egypt, Arab Rep.	4.6	4.3	Q79	53
El Salvador	3.5	2.1	Q792	54
Equatorial Guinea	36.7	5.6	Q983	55
Eritrea	6.5	0.5	Q986	56
Estonia	5.3	2.8	Q191	57
Eswatini	3.2	3.2	Q1050	58
Ethiopia	3.8	9.7	Q115	59
Fiji	2.7	2.4	Q712	60
Finland	2.9	1.1	Q33	61
France	2.0	1.1	Q142	62
Gabon	2.3	2.8	Q1000	63
Gambia, The	3.0	2.6	Q1005	64
Georgia	-7.1	5.5	Q230	65
Germany	1.6	1.3	Q183	66
Ghana	4.3	6.5	Q117	67
Greece	2.4	-0.9	Q41	68
Greenland	1.9	2.4	Q223	69
Grenada	3.5	2.2	Q769	70
Guatemala	4.2	3.5	Q774	71
Guinea	4.2	4.3	Q1006	72
Guinea-Bissau	0.6	3.4	Q1007	73
Guyana	5.4	3.5	Q734	74
Haiti	0.1	1.6	Q790	75
Honduras	3.4	3.9	Q783	76
Hungary	1.9	1.8	Q28	77
Iceland	3.0	2.7	Q189	78
India	6.0	6.8	Q668	79
Indonesia	3.9	5.5	Q252	80
Iran, Islamic Rep.	2.3	3.0	Q794	81
Iraq	10.3	5.6	Q796	82
Ireland	7.3	3.8	Q27	83
Isle of Man	6.4	4.5	Q9676	84
Israel	5.5	3.5	Q801	85
Italy	1.6	-0.1	Q38	86
Jamaica	1.6	0.5	Q766	87
Japan	1.2	0.7	Q17	88
Jordan	5.0	4.6	Q810	89
Kazakhstan	-4.1	6.0	Q232	90
Kenya	2.2	5.1	Q114	91
Kiribati	1.7	2.0	Q710	92
Korea, Rep.	6.8	3.8	Q884	93
Kuwait	4.9	3.4	Q817	94
Kyrgyz Republic	-4.1	4.4	Q813	95
Lao PDR	6.4	7.5	Q819	96
Latvia	5.5	2.8	Q211	97
Lebanon	8.4	4.1	Q822	98
Lesotho	4.1	3.5	Q1013	99
Lithuania	4.8	3.4	Q37	100
Luxembourg	4.3	2.7	Q32	101
Madagascar	2.0	3.0	Q1019	102
Malawi	3.7	5.0	Q1020	103
Malaysia	7.0	5.0	Q833	104
Maldives	6.9	5.5	Q826	105
Mali	4.0	4.5	Q912	106
Malta	5.2	3.7	Q233	107
Marshall Islands	0.5	1.0	Q709	108
Mauritania	2.4	3.9	Q1025	109
Mauritius	5.1	4.0	Q1027	110
Mexico	3.2	2.1	Q96	111
Micronesia, Fed. Sts.	1.8	0.1	Q702	112
Moldova	-2.7	4.3	Q217	113
Monaco	1.9	3.1	Q235	114
Mongolia	1.0	7.7	Q711	115
Morocco	3.0	4.2	Q1028	116
Mozambique	6.9	6.9	Q1029	117
Myanmar	7.0	9.5	Q836	118
Namibia	3.3	4.2	Q1030	119
Nepal	4.9	4.3	Q837	120
Netherlands	3.3	1.2	Q55	121
New Zealand	3.4	2.5	Q664	122
Nicaragua	3.7	3.6	Q811	123
Niger	2.0	5.3	Q1032	124
Nigeria	1.4	5.8	Q1033	125
North Macedonia	-0.8	3.0	Q221	126
Norway	3.9	1.5	Q20	127
Oman	4.5	3.8	Q842	128
Pakistan	3.8	4.2	Q843	129
Panama	4.9	6.8	Q804	130
Papua New Guinea	3.8	5.1	Q691	131
Paraguay	3.0	4.2	Q733	132
Peru	4.5	5.4	Q419	133
Philippines	3.3	5.5	Q928	134
Poland	4.6	3.9	Q36	135
Portugal	2.8	0.3	Q45	136
Puerto Rico	4.3	-0.5	Q1183	137
Romania	-0.2	3.6	Q218	138
Russian Federation	-4.7	3.2	Q159	139
Rwanda	-0.4	7.6	Q1037	140
Samoa	2.6	1.7	Q683	141
Saudi Arabia	1.7	3.9	Q851	142
Senegal	3.0	4.4	Q1041	143
Serbia	1.9	2.9	Q403	144
Seychelles	4.4	3.8	Q1042	145
Sierra Leone	-3.0	5.7	Q1044	146
Singapore	7.1	5.5	Q334	147
Slovak Republic	4.5	3.8	Q214	148
Slovenia	2.7	1.8	Q215	149
Solomon Islands	3.4	4.4	Q685	150
South Africa	2.1	2.7	Q258	151
Spain	2.7	1.2	Q29	152
Sri Lanka	5.3	5.7	Q854	153
St. Kitts and Nevis	4.7	1.9	Q763	154
St. Lucia	2.4	1.8	Q760	155
St. Vincent and the Grenadines	3.3	1.8	Q757	156
Sudan	5.5	4.5	Q1049	157
Suriname	0.9	3.1	Q730	158
Sweden	2.3	2.1	Q34	159
Switzerland	1.2	1.9	Q39	160
Tajikistan	-10.4	7.3	Q863	161
Tanzania	3.0	6.4	Q924	162
Thailand	4.1	3.8	Q869	163
Togo	3.5	4.0	Q945	164
Tonga	2.6	1.3	Q678	165
Trinidad and Tobago	5.6	2.6	Q754	166
Tunisia	4.7	3.1	Q948	167
Turkey	3.9	5.3	Q43	168
Turkmenistan	-3.2	9.3	Q874	169
Tuvalu	3.2	2.0	Q672	170
Uganda	7.0	6.5	Q1036	171
Ukraine	-9.3	1.3	Q212	172
United Arab Emirates	4.8	3.9	Q878	173
United Kingdom	2.7	1.5	Q145	174
United States	3.6	1.8	Q30	175
Uruguay	3.9	3.9	Q77	176
Uzbekistan	-0.2	7.2	Q265	177
Vanuatu	3.4	3.1	Q686	178
Venezuela, RB	1.6	3.9	Q717	179
Vietnam	7.9	6.4	Q881	180
West Bank and Gaza	7.5	5.2	Q407199	181
Yemen, Rep.	5.6	-0.4	Q805	182
Zambia	1.6	6.5	Q953	183
Zimbabwe	2.5	1.5	Q954	184
