Country	Primary_1999	Primary_2018	Secondary_1999	Secondary_2018	Tertiary_1999	Tertiary_2018	ID	id_row
Argentina	12.4	15.0	16.6	20.6	17.7	16.9	Q414	0
Austria	24.4	23.5	29.3	27.7	51.6	36.2	Q40	1
Chile	13.9	18.4	14.3	18.7	18.6	20.3	Q298	2
Colombia	15.2	17.0	16.0	17.6	37.6	21.6	Q739	3
Cote d'Ivoire	14.3	13.3	41.4	18.8	141.2	150.2	Q1008	4
Cyprus	15.9	31.9	26.3	39.3	44.6	26.5	Q229	5
Czech Republic	10.4	13.9	20.1	22.3	31.3	20.3	Q213	6
El Salvador	9.3	16.1	8.2	15.1	9.8	11.1	Q792	7
Estonia	21.0	20.3	27.4	21.2	32.0	36.9	Q191	8
Finland	16.8	21.5	24.9	24.8	39.0	33.9	Q33	9
France	17.5	17.4	28.8	26.3	30.0	31.6	Q142	10
Hungary	17.6	19.1	18.6	23.1	33.5	25.4	Q28	11
Iceland	21.4	22.1	18.6	19.4	38.0	27.3	Q189	12
Iran, Islamic Rep.	8.6	11.1	9.4	17.5	33.0	24.2	Q794	13
Ireland	10.8	11.8	16.4	15.9	27.9	15.5	Q27	14
Israel	21.2	21.5	18.7	18.7	29.3	18.2	Q801	15
Jordan	14.7	13.3	17.0	15.6	77.4	25.3	Q810	16
Korea, Rep.	16.9	27.8	14.4	28.2	7.7	15.0	Q884	17
Latvia	18.9	24.5	23.0	26.4	27.0	17.7	Q211	18
Lesotho	33.5	20.7	74.6	30.0	841.8	44.7	Q1013	19
Malaysia	12.4	16.1	21.7	22.8	80.9	23.8	Q833	20
Mali	11.1	12.3	43.3	25.5	186.2	166.9	Q912	21
Mauritania	9.8	10.2	31.8	14.2	85.9	95.8	Q1025	22
Mauritius	9.1	15.6	13.9	31.3	25.0	9.6	Q1027	23
Mexico	9.5	13.8	11.5	14.4	38.7	29.7	Q96	24
Netherlands	14.1	16.7	20.0	23.1	44.7	35.8	Q55	25
Norway	21.4	21.7	29.8	26.8	44.9	39.8	Q20	26
Oman	10.7	31.8	21.6	36.0	55.6	43.6	Q842	27
Rwanda	10.5	4.3	40.0	21.7	1150.8	97.7	Q1037	28
Slovak Republic	10.0	20.8	18.1	20.1	32.3	27.6	Q214	29
Slovenia	25.7	23.6	25.1	23.0	27.3	24.3	Q215	30
Spain	17.7	17.1	24.1	18.9	19.4	21.8	Q29	31
Sweden	21.3	21.7	24.9	23.8	49.4	43.2	Q34	32
United Kingdom	12.3	24.2	21.1	21.2	22.7	38.0	Q145	33
Uruguay	7.1	12.6	10.5	16.2	19.3	25.4	Q77	34
