Country	Index	ID	id_row
Afghanistan	1.95	Q889	0
Albania	2.66	Q222	1
Algeria	2.45	Q262	2
Angola	2.05	Q916	3
Argentina	2.89	Q414	4
Armenia	2.61	Q399	5
Australia	3.75	Q408	6
Austria	4.03	Q40	7
Azerbaijan	2.45	Q227	8
Bahamas, The	2.53	Q778	9
Bahrain	2.93	Q398	10
Bangladesh	2.58	Q902	11
Belarus	2.57	Q184	12
Belgium	4.04	Q31	13
Benin	2.75	Q962	14
Bhutan	2.17	Q917	15
Bolivia	2.36	Q750	16
Bosnia and Herzegovina	2.81	Q225	17
Botswana	3.05	Q963	18
Brazil	2.99	Q155	19
Brunei Darussalam	2.71	Q921	20
Bulgaria	3.03	Q219	21
Burkina Faso	2.62	Q965	22
Burundi	2.06	Q967	23
Cambodia	2.58	Q424	24
Cameroon	2.6	Q1009	25
Canada	3.73	Q16	26
Central African Republic	2.15	Q929	27
Chad	2.42	Q657	28
Chile	3.32	Q298	29
China	3.61	Q148	30
Hong Kong SAR, China	3.92	Q8646	31
Colombia	2.94	Q739	32
Comoros	2.56	Q970	33
Congo, Dem. Rep.	2.43	Q974	34
Congo, Rep.	2.49	Q971	35
Costa Rica	2.79	Q800	36
Cote d'Ivoire	3.08	Q1008	37
Croatia	3.1	Q224	38
Cuba	2.2	Q241	39
Cyprus	3.15	Q229	40
Czech Republic	3.68	Q213	41
Denmark	3.99	Q35	42
Djibouti	2.63	Q977	43
Dominican Republic	2.66	Q786	44
Ecuador	2.88	Q736	45
Egypt, Arab Rep.	2.82	Q79	46
El Salvador	2.58	Q792	47
Equatorial Guinea	2.32	Q983	48
Eritrea	2.09	Q986	49
Estonia	3.31	Q191	50
Ethiopia	2.38	Q115	51
Fiji	2.35	Q712	52
Finland	3.97	Q33	53
France	3.84	Q142	54
Gabon	2.16	Q1000	55
Gambia, The	2.4	Q1005	56
Georgia	2.44	Q230	57
Germany	4.2	Q183	58
Ghana	2.57	Q117	59
Greece	3.2	Q41	60
Guatemala	2.41	Q774	61
Guinea	2.2	Q1006	62
Guinea-Bissau	2.39	Q1007	63
Guyana	2.36	Q734	64
Haiti	2.11	Q790	65
Honduras	2.6	Q783	66
Hungary	3.42	Q28	67
Iceland	3.23	Q189	68
India	3.18	Q668	69
Indonesia	3.15	Q252	70
Iran, Islamic Rep.	2.85	Q794	71
Iraq	2.18	Q796	72
Ireland	3.51	Q27	73
Israel	3.31	Q801	74
Italy	3.74	Q38	75
Jamaica	2.52	Q766	76
Japan	4.03	Q17	77
Jordan	2.69	Q810	78
Kazakhstan	2.81	Q232	79
Kenya	2.81	Q114	80
Korea, Rep.	3.61	Q884	81
Kuwait	2.86	Q817	82
Kyrgyz Republic	2.55	Q813	83
Lao PDR	2.7	Q819	84
Latvia	2.81	Q211	85
Lebanon	2.72	Q822	86
Lesotho	2.28	Q1013	87
Liberia	2.23	Q1014	88
Libya	2.11	Q1016	89
Lithuania	3.02	Q37	90
Luxembourg	3.63	Q32	91
North Macedonia	2.7	Q221	92
Madagascar	2.39	Q1019	93
Malawi	2.59	Q1020	94
Malaysia	3.22	Q833	95
Maldives	2.67	Q826	96
Mali	2.59	Q912	97
Malta	2.81	Q233	98
Mauritania	2.33	Q1025	99
Mauritius	2.73	Q1027	100
Mexico	3.05	Q96	101
Moldova	2.46	Q217	102
Mongolia	2.37	Q711	103
Montenegro	2.75	Q236	104
Morocco	2.54	Q1028	105
Mozambique	2.68	Q1029	106
Myanmar	2.3	Q836	107
Namibia	2.74	Q1030	108
Nepal	2.51	Q837	109
Netherlands	4.02	Q55	110
New Zealand	3.88	Q664	111
Nicaragua	2.53	Q811	112
Niger	2.07	Q1032	113
Nigeria	2.53	Q1033	114
Norway	3.7	Q20	115
Oman	3.2	Q842	116
Pakistan	2.42	Q843	117
Panama	3.28	Q804	118
Papua New Guinea	2.17	Q691	119
Paraguay	2.78	Q733	120
Peru	2.69	Q419	121
Philippines	2.9	Q928	122
Poland	3.54	Q36	123
Portugal	3.64	Q45	124
Qatar	3.47	Q846	125
Romania	3.12	Q218	126
Russian Federation	2.76	Q159	127
Rwanda	2.97	Q1037	128
Sao Tome and Principe	2.65	Q1039	129
Saudi Arabia	3.01	Q851	130
Senegal	2.25	Q1041	131
Serbia	2.84	Q403	132
Sierra Leone	2.08	Q1044	133
Singapore	4.0	Q334	134
Slovak Republic	3.03	Q214	135
Slovenia	3.31	Q215	136
Solomon Islands	2.57	Q685	137
Somalia	2.21	Q1045	138
South Africa	3.38	Q258	139
Spain	3.83	Q29	140
Sri Lanka	2.6	Q854	141
Sudan	2.43	Q1049	142
Sweden	4.05	Q34	143
Switzerland	3.9	Q39	144
Syrian Arab Republic	2.3	Q858	145
Tajikistan	2.34	Q863	146
Tanzania	2.99	Q924	147
Thailand	3.41	Q869	148
Togo	2.45	Q945	149
Trinidad and Tobago	2.42	Q754	150
Tunisia	2.57	Q948	151
Turkey	3.15	Q43	152
Turkmenistan	2.41	Q874	153
Uganda	2.58	Q1036	154
Ukraine	2.83	Q212	155
United Arab Emirates	3.96	Q878	156
United Kingdom	3.99	Q145	157
United States	3.89	Q30	158
Uruguay	2.69	Q77	159
Uzbekistan	2.58	Q265	160
Venezuela, RB	2.23	Q717	161
Vietnam	3.27	Q881	162
Yemen, Rep.	2.27	Q805	163
Zambia	2.53	Q953	164
Zimbabwe	2.12	Q954	165
