Country	Growth	ID	id_row
Albania	1.8	Q222	0
Algeria	3.5	Q262	1
Angola	4.0	Q916	2
Argentina	2.5	Q414	3
Armenia	-0.7	Q399	4
Australia	1.9	Q408	5
Austria	1.3	Q40	6
Azerbaijan	-1.3	Q227	7
Bahrain	4.5	Q398	8
Bangladesh	4.5	Q902	9
Belarus	-0.8	Q184	10
Belgium	0.5	Q31	11
Benin	4.1	Q962	12
Bolivia	4.4	Q750	13
Bosnia and Herzegovina	3.7	Q225	14
Botswana	2.8	Q963	15
Brazil	3.2	Q155	16
Brunei Darussalam	2.9	Q921	17
Bulgaria	-1.1	Q219	18
Cambodia	3.9	Q424	19
Cameroon	1.6	Q1009	20
Canada	1.1	Q16	21
Chile	4.0	Q298	22
China	6.1	Q148	23
Hong Kong SAR, China	1.9	Q8646	24
Colombia	1.1	Q739	25
Congo, Dem. Rep.	3.5	Q974	26
Congo, Rep.	5.6	Q971	27
Costa Rica	4.6	Q800	28
Cote d'Ivoire	4.9	Q1008	29
Croatia	0.6	Q224	30
Cuba	-0.6	Q241	31
Curacao	1.9	Q25279	32
Cyprus	1.8	Q229	33
Czech Republic	0.0	Q213	34
Denmark	-0.3	Q35	35
Dominican Republic	2.7	Q786	36
Ecuador	3.1	Q736	37
Egypt, Arab Rep.	4.5	Q79	38
El Salvador	2.1	Q792	39
Eritrea	-1.1	Q986	40
Estonia	-0.9	Q191	41
Ethiopia	3.1	Q115	42
Finland	1.0	Q33	43
France	0.5	Q142	44
Gabon	7.3	Q1000	45
Georgia	-3.3	Q230	46
Germany	-0.4	Q183	47
Ghana	1.4	Q117	48
Greece	1.0	Q41	49
Guatemala	4.3	Q774	50
Haiti	5.1	Q790	51
Honduras	3.6	Q783	52
Hungary	-0.4	Q28	53
Iceland	5.2	Q189	54
India	4.2	Q668	55
Indonesia	3.4	Q252	56
Iran, Islamic Rep.	5.2	Q794	57
Iraq	2.3	Q796	58
Ireland	1.5	Q27	59
Israel	2.9	Q801	60
Italy	0.5	Q38	61
Jamaica	0.0	Q766	62
Japan	0.0	Q17	63
Jordan	3.9	Q810	64
Kazakhstan	1.1	Q232	65
Kenya	3.1	Q114	66
Korea, Dem. Peopleâ€™s Rep.	-2.8	Q423	67
Korea, Rep.	4.1	Q884	68
Kosovo	2.6	Q1246	69
Kuwait	7.1	Q817	70
Kyrgyz Republic	-1.1	Q813	71
Latvia	-1.3	Q211	72
Lebanon	4.0	Q822	73
Libya	2.0	Q1016	74
Lithuania	-2.0	Q37	75
Luxembourg	1.1	Q32	76
North Macedonia	0.5	Q221	77
Malaysia	5.5	Q833	78
Malta	0.8	Q233	79
Mauritius	3.4	Q1027	80
Mexico	1.9	Q96	81
Moldova	-3.3	Q217	82
Mongolia	2.2	Q711	83
Morocco	4.0	Q1028	84
Mozambique	3.0	Q1029	85
Myanmar	2.0	Q836	86
Namibia	3.8	Q1030	87
Nepal	2.8	Q837	88
Netherlands	0.6	Q55	89
New Zealand	1.6	Q664	90
Nicaragua	2.1	Q811	91
Niger	4.5	Q1032	92
Nigeria	3.1	Q1033	93
Norway	1.6	Q20	94
Oman	7.5	Q842	95
Pakistan	3.2	Q843	96
Panama	3.9	Q804	97
Paraguay	1.8	Q733	98
Peru	3.5	Q419	99
Philippines	1.7	Q928	100
Poland	-0.2	Q36	101
Portugal	1.2	Q45	102
Qatar	8.2	Q846	103
Romania	-1.8	Q218	104
Russian Federation	-0.2	Q159	105
Saudi Arabia	5.0	Q851	106
Senegal	4.1	Q1041	107
Serbia	-0.1	Q403	108
Singapore	2.6	Q334	109
Slovak Republic	-0.4	Q214	110
Slovenia	1.3	Q215	111
South Africa	2.2	Q258	112
Spain	1.6	Q29	113
Sri Lanka	3.0	Q854	114
Sudan	1.9	Q1049	115
Suriname	1.9	Q730	116
Sweden	0.1	Q34	117
Switzerland	0.3	Q39	118
Syrian Arab Republic	2.1	Q858	119
Tajikistan	-1.8	Q863	120
Tanzania	4.3	Q924	121
Thailand	4.8	Q869	122
Togo	4.3	Q945	123
Trinidad and Tobago	6.5	Q754	124
Tunisia	3.4	Q948	125
Turkey	3.7	Q43	126
Turkmenistan	3.5	Q874	127
Ukraine	-2.5	Q212	128
United Arab Emirates	5.5	Q878	129
United Kingdom	-0.5	Q145	130
United States	0.6	Q30	131
Uruguay	2.8	Q77	132
Uzbekistan	0.0	Q265	133
Venezuela, RB	2.4	Q717	134
Vietnam	6.0	Q881	135
Yemen, Rep.	5.1	Q805	136
Zambia	2.4	Q953	137
Zimbabwe	0.1	Q954	138
