Country	Interest2010	Interest2018	ID	id_row
Afghanistan	0.0	0.1	Q889	0
Albania	13.0	8.6	Q222	1
Angola	4.3	16.5	Q916	2
Armenia	3.7	10.2	Q399	3
Australia	2.3	3.7	Q408	4
Austria	6.4	3.6	Q40	5
Azerbaijan	0.2	2.4	Q227	6
Bahamas, The	13.8	15.4	Q778	7
Bangladesh	18.3	18.5	Q902	8
Barbados	20.3	25.6	Q244	9
Belarus	1.8	5.2	Q184	10
Belgium	7.8	4.7	Q31	11
Belize	13.3	9.4	Q242	12
Bhutan	6.5	4.1	Q917	13
Bosnia and Herzegovina	1.1	1.7	Q225	14
Botswana	1.6	1.6	Q963	15
Brazil	24.2	29.9	Q155	16
Bulgaria	2.2	1.8	Q219	17
Burkina Faso	2.4	5.7	Q965	18
Cabo Verde	4.7	8.0	Q1011	19
Cambodia	1.4	1.6	Q424	20
Cameroon	2.1	5.0	Q1009	21
Canada	10.0	6.0	Q16	22
Central African Republic	6.0	1.3	Q929	23
Chile	2.1	4.1	Q298	24
China	3.3	3.1	Q148	25
Colombia	12.6	10.8	Q739	26
Congo, Rep.	1.5	8.6	Q971	27
Costa Rica	9.0	13.5	Q800	28
Cote d'Ivoire	9.3	10.5	Q1008	29
Croatia	6.6	5.8	Q224	30
Cyprus	5.0	6.3	Q229	31
Czech Republic	4.1	2.2	Q213	32
Denmark	4.4	2.6	Q35	33
Dominican Republic	12.5	17.0	Q786	34
Egypt, Arab Rep.	20.5	33.3	Q79	35
El Salvador	11.7	11.0	Q792	36
Equatorial Guinea	0.9	3.1	Q983	37
Estonia	0.2	0.2	Q191	38
Ethiopia	2.6	5.0	Q115	39
Fiji	15.2	9.9	Q712	40
Finland	3.6	2.2	Q33	41
France	5.7	3.8	Q142	42
Gabon	3.3	14.3	Q1000	43
Georgia	3.7	4.8	Q230	44
Germany	5.2	1.7	Q183	45
Ghana	16.2	33.2	Q117	46
Greece	15.3	7.5	Q41	47
Guatemala	13.0	13.6	Q774	48
Honduras	3.9	7.7	Q783	49
Hungary	10.1	6.0	Q28	50
Iceland	12.6	6.0	Q189	51
India	22.8	23.7	Q668	52
Indonesia	8.9	13.3	Q252	53
Ireland	9.1	6.7	Q27	54
Israel	12.0	7.2	Q801	55
Italy	10.5	9.0	Q38	56
Jamaica	40.6	20.5	Q766	57
Japan	16.7	11.0	Q17	58
Jordan	8.5	12.4	Q810	59
Kazakhstan	1.7	5.7	Q232	60
Kiribati	3.5	0.1	Q710	61
Korea, Rep.	5.0	3.6	Q884	62
Latvia	5.6	2.5	Q211	63
Lebanon	50.5	50.0	Q822	64
Lesotho	1.0	2.8	Q1013	65
Lithuania	5.4	3.3	Q37	66
Luxembourg	0.9	0.7	Q32	67
Madagascar	6.1	5.4	Q1019	68
Malawi	8.4	18.9	Q1020	69
Malaysia	9.8	13.1	Q833	70
Mali	2.0	6.4	Q912	71
Malta	8.3	4.1	Q233	72
Marshall Islands	0.9	0.5	Q709	73
Mauritius	10.6	6.8	Q1027	74
Mexico	13.0	14.5	Q96	75
Micronesia, Fed. Sts.	0.6	0.3	Q702	76
Moldova	2.2	2.8	Q217	77
Mongolia	1.4	10.9	Q711	78
Morocco	8.3	9.4	Q1028	79
Mozambique	3.0	12.1	Q1029	80
Myanmar	6.7	10.4	Q836	81
Namibia	4.1	9.8	Q1030	82
Nepal	4.6	1.6	Q837	83
Netherlands	4.3	2.2	Q55	84
New Zealand	3.8	3.6	Q664	85
Nicaragua	6.5	6.3	Q811	86
North Macedonia	2.5	4.3	Q221	87
Norway	1.8	0.8	Q20	88
Palau	0.8	0.3	Q695	89
Paraguay	1.8	4.1	Q733	90
Peru	5.8	6.6	Q419	91
Philippines	25.1	12.3	Q928	92
Poland	7.4	3.9	Q36	93
Portugal	8.7	8.9	Q45	94
Romania	4.4	4.2	Q218	95
Russian Federation	1.6	2.4	Q159	96
Samoa	2.7	2.3	Q683	97
San Marino	0.9	0.9	Q238	98
Saudi Arabia	1.5	1.7	Q851	99
Seychelles	15.8	8.3	Q1042	100
Singapore	0.0	0.0	Q334	101
Slovak Republic	3.8	3.5	Q214	102
Slovenia	4.1	5.0	Q215	103
Solomon Islands	0.8	0.2	Q685	104
South Africa	8.7	12.1	Q258	105
Spain	10.7	12.4	Q29	106
Sri Lanka	42.3	44.1	Q854	107
St. Kitts and Nevis	23.3	4.9	Q763	108
St. Lucia	11.0	13.6	Q760	109
St. Vincent and the Grenadines	10.5	8.1	Q757	110
Sudan	8.0	5.1	Q1049	111
Sweden	2.7	1.4	Q34	112
Switzerland	2.7	1.0	Q39	113
Tanzania	4.5	10.3	Q924	114
Thailand	6.1	5.2	Q869	115
Timor-Leste	0.0	0.0	Q574	116
Togo	4.2	9.9	Q945	117
Tonga	2.8	1.9	Q678	118
Trinidad and Tobago	7.1	8.1	Q754	119
Turkey	12.1	9.1	Q43	120
Ukraine	4.4	10.1	Q212	121
United Kingdom	8.2	6.9	Q145	122
United States	15.4	15.3	Q30	123
Uruguay	7.9	8.2	Q77	124
Uzbekistan	0.1	0.3	Q265	125
Vanuatu	2.0	2.5	Q686	126
West Bank and Gaza	1.3	1.7	Q407199	127
Zambia	9.5	33.2	Q953	128
Zimbabwe	1.3	13.5	Q954	129
