Country	Primelendingrateminustreasurybillrate	ID	id_row
Albania	4.6	Q222	0
Algeria	5.1	Q262	1
Angola	6.2	Q916	2
Antigua and Barbuda	7.0	Q781	3
Armenia	6.1	Q399	4
Azerbaijan	2.2	Q227	5
Bahamas, The	2.6	Q778	6
Bangladesh	3.8	Q902	7
Barbados	4.9	Q244	8
Belize	7.8	Q242	9
Bolivia	7.8	Q750	10
Brazil	31.3	Q155	11
Canada	2.2	Q16	12
Cabo Verde	8.0	Q1011	13
Hong Kong SAR, China	3.7	Q8646	14
Czech Republic	3.1	Q213	15
Dominica	6.0	Q784	16
Egypt, Arab Rep.	-0.7	Q79	17
Fiji	4.3	Q712	18
Gambia, The	19.1	Q1005	19
Georgia	3.6	Q230	20
Grenada	4.2	Q769	21
Guyana	8.9	Q734	22
Hungary	1.8	Q28	23
Iceland	2.6	Q189	24
Israel	3.3	Q801	25
Italy	2.7	Q38	26
Jamaica	11.1	Q766	27
Japan	1.2	Q17	28
Kenya	5.3	Q114	29
Kosovo	6.2	Q1246	30
Kyrgyz Republic	13.9	Q813	31
Lebanon	6.1	Q822	32
Lesotho	4.9	Q1013	33
Madagascar	42.4	Q1019	34
Malawi	18.7	Q1020	35
Maldives	8.0	Q826	36
Mauritania	12.3	Q1025	37
Mauritius	5.4	Q1027	38
Mexico	0.6	Q96	39
Moldova	2.0	Q217	40
Mongolia	6.2	Q711	41
Mozambique	6.2	Q1029	42
Namibia	2.6	Q1030	43
New Zealand	3.0	Q664	44
Nigeria	5.7	Q1033	45
Pakistan	-1.1	Q843	46
Papua New Guinea	2.5	Q691	47
Philippines	2.8	Q928	48
Romania	3.0	Q218	49
Rwanda	11.3	Q1037	50
Seychelles	7.1	Q1042	51
Sierra Leone	9.5	Q1044	52
Solomon Islands	10.3	Q685	53
South Africa	3.0	Q258	54
South Sudan	-4.8	Q958	55
Sri Lanka	2.2	Q854	56
St. Lucia	6.1	Q760	57
St. Vincent and the Grenadines	5.9	Q757	58
Eswatini	2.4	Q1050	59
Tajikistan	28.7	Q863	60
Tanzania	8.8	Q924	61
Thailand	2.5	Q869	62
Trinidad and Tobago	7.4	Q754	63
Uganda	10.0	Q1036	64
United States	3.2	Q30	65
Uruguay	2.3	Q77	66
Uzbekistan	10.4	Q265	67
Zambia	-10.8	Q953	68
