Country	Depletion20002018	Depletion20172018	ID	id_row
Afghanistan	0.7	-6.3	Q889	0
Albania	12.8	48.3	Q222	1
Angola	-4.8	56.1	Q916	2
Argentina	-5.6	79.7	Q414	3
Armenia	18.4	10.2	Q399	4
Australia	3.9	38.4	Q408	5
Austria	-0.1	29.2	Q40	6
Azerbaijan	-1.2	38.9	Q227	7
Bahrain	0.0	23.0	Q398	8
Bangladesh	2.8	3.5	Q902	9
Barbados	-8.1	-20.0	Q244	10
Belarus	-3.8	20.6	Q184	11
Belgium	12.6	-59.4	Q31	12
Belize	75.9	26.9	Q242	13
Benin	6.6	-38.9	Q962	14
Bhutan	0.8	-43.2	Q917	15
Bolivia	3.9	9.5	Q750	16
Bosnia and Herzegovina	1.4	-8.1	Q225	17
Botswana	-0.4	64.4	Q963	18
Brazil	-0.4	47.8	Q155	19
Brunei Darussalam	-2.5	51.1	Q921	20
Bulgaria	2.0	-2.8	Q219	21
Burkina Faso	15.7	-21.6	Q965	22
Burundi	-3.3	-31.2	Q967	23
Cabo Verde	1.3	-48.4	Q1011	24
Cambodia	-2.8	-56.6	Q424	25
Cameroon	-3.0	23.7	Q1009	26
Canada	-7.8	55.9	Q16	27
Central African Republic	47.1	-5.9	Q929	28
Chad	5.7	11.0	Q657	29
Chile	2.1	7.6	Q298	30
China	-4.0	15.7	Q148	31
Colombia	-0.1	42.0	Q739	32
Comoros	5.4	-40.2	Q970	33
Congo, Dem. Rep.	17.9	16.3	Q974	34
Congo, Rep.	-3.2	57.1	Q971	35
Costa Rica	-1.8	-22.8	Q800	36
Croatia	-2.8	27.2	Q224	37
Cyprus	4.9	5.5	Q229	38
Czech Republic	-4.0	77.0	Q213	39
Denmark	-5.4	19.8	Q35	40
Dominican Republic	3.4	7.0	Q786	41
Ecuador	-2.1	43.6	Q736	42
Egypt, Arab Rep.	-2.5	27.3	Q79	43
El Salvador	4.8	-28.1	Q792	44
Equatorial Guinea	-8.0	28.1	Q983	45
Estonia	9.7	71.8	Q191	46
Eswatini	2.6	-35.5	Q1050	47
Ethiopia	-5.3	-39.4	Q115	48
Fiji	9.8	6.3	Q712	49
Finland	25.1	10.4	Q33	50
France	-5.0	55.7	Q142	51
Gabon	-3.8	31.0	Q1000	52
Gambia, The	3.7	-60.8	Q1005	53
Georgia	4.5	-2.5	Q230	54
Germany	-4.7	20.9	Q183	55
Ghana	3.3	-3.2	Q117	56
Greece	2.9	35.5	Q41	57
Guatemala	3.9	-12.2	Q774	58
Guinea	2.5	-22.6	Q1006	59
Guinea-Bissau	4.9	-41.7	Q1007	60
Guyana	31.4	4.3	Q734	61
Haiti	2.9	-38.5	Q790	62
Honduras	4.8	-25.1	Q783	63
Hungary	-2.3	54.1	Q28	64
India	-2.1	16.8	Q668	65
Indonesia	-6.5	37.8	Q252	66
Iraq	1.3	24.9	Q796	67
Ireland	8.7	-13.1	Q27	68
Israel	47.0	43.7	Q801	69
Italy	-0.9	67.0	Q38	70
Jamaica	-2.1	-13.0	Q766	71
Japan	8.5	30.1	Q17	72
Jordan	9.6	1.8	Q810	73
Kazakhstan	-4.3	44.5	Q232	74
Kenya	-3.2	-45.9	Q114	75
Korea, Rep.	5.8	42.2	Q884	76
Kuwait	1.4	22.4	Q817	77
Kyrgyz Republic	18.1	3.4	Q813	78
Lao PDR	3.7	-18.3	Q819	79
Lesotho	3.1	-45.7	Q1013	80
Liberia	22.8	-17.7	Q1014	81
Libya	-10.4	38.9	Q1016	82
Lithuania	-14.6	26.0	Q37	83
Madagascar	126.2	334.9	Q1019	84
Malawi	0.6	-36.6	Q1020	85
Malaysia	-2.3	41.1	Q833	86
Maldives	-0.3	-51.6	Q826	87
Mali	9.5	-16.2	Q912	88
Mauritania	5.4	-35.9	Q1025	89
Mexico	-0.1	24.0	Q96	90
Moldova	16.5	0.6	Q217	91
