Country	Poorestquintile	Richestquintile	ID	id_row
Albania	7.0	4.0	Q222	0
Armenia	2.0	0.0	Q399	1
Bangladesh	10.0	8.0	Q902	2
Benin	47.0	8.0	Q962	3
Bhutan	0.0	0.0	Q917	4
Bolivia	5.0	1.0	Q750	5
Burkina Faso	69.0	14.0	Q965	6
Burundi	36.0	12.0	Q967	7
Cambodia	15.0	3.0	Q424	8
Cameroon	14.0	3.0	Q1009	9
Chad	56.0	25.0	Q657	10
Colombia	6.0	3.0	Q739	11
Comoros	33.0	6.0	Q970	12
Congo, Dem. Rep.	30.0	8.0	Q974	13
Congo, Rep.	8.0	1.0	Q971	14
Cote d'Ivoire	44.0	13.0	Q1008	15
Dominican Republic	16.0	4.0	Q786	16
Egypt, Arab Rep.	5.0	2.0	Q79	17
Eswatini	2.0	3.0	Q1050	18
Ethiopia	44.0	12.0	Q115	19
Gabon	7.0	3.0	Q1000	20
Ghana	37.0	17.0	Q117	21
Guinea	68.0	12.0	Q1006	22
Guyana	4.0	1.0	Q734	23
Haiti	27.0	5.0	Q790	24
Honduras	11.0	2.0	Q783	25
Kenya	31.0	6.0	Q114	26
Kosovo	2.0	2.0	Q1246	27
Kyrgyz Republic	0.0	0.0	Q813	28
Lesotho	11.0	2.0	Q1013	29
Liberia	75.0	35.0	Q1014	30
Madagascar	40.0	4.0	Q1019	31
Malawi	10.0	2.0	Q1020	32
Maldives	16.0	16.0	Q826	33
Montenegro	0.0	1.0	Q236	34
Mozambique	36.0	6.0	Q1029	35
Namibia	12.0	3.0	Q1030	36
Nepal	12.0	1.0	Q837	37
Niger	66.0	19.0	Q1032	38
Nigeria	71.0	5.0	Q1033	39
North Macedonia	0.0	0.0	Q221	40
Pakistan	62.0	13.0	Q843	41
Peru	5.0	3.0	Q419	42
Rwanda	16.0	5.0	Q1037	43
Sao Tome and Principe	25.0	5.0	Q1039	44
Senegal	53.0	14.0	Q1041	45
Serbia	0.0	0.0	Q403	46
Sierra Leone	52.0	11.0	Q1044	47
Suriname	8.0	4.0	Q730	48
Tajikistan	7.0	4.0	Q863	49
Tanzania	40.0	7.0	Q924	50
Timor-Leste	37.0	14.0	Q574	51
Togo	20.0	3.0	Q945	52
Ukraine	2.0	5.0	Q212	53
Vietnam	1.0	1.0	Q881	54
Zambia	28.0	3.0	Q953	55
Zimbabwe	10.0	1.0	Q954	56
