Country	Expenditure2010	Expenditure2018	ID	id_row
Afghanistan	0.0	1.0	Q889	0
Albania	5.0	5.0	Q222	1
Angola	1.0	3.0	Q916	2
Armenia	20.0	15.0	Q399	3
Australia	9.0	8.0	Q408	4
Austria	6.0	5.0	Q40	5
Azerbaijan	36.0	32.0	Q227	6
Bahamas, The	5.0	11.0	Q778	7
Bangladesh	9.0	7.0	Q902	8
Barbados	2.0	2.0	Q244	9
Belarus	7.0	3.0	Q184	10
Belgium	3.0	2.0	Q31	11
Bhutan	10.0	30.0	Q917	12
Bosnia and Herzegovina	5.0	8.0	Q225	13
Brazil	2.0	2.0	Q155	14
Bulgaria	4.0	5.0	Q219	15
Burkina Faso	21.0	8.0	Q965	16
Cabo Verde	4.0	3.0	Q1011	17
Cambodia	7.0	8.0	Q424	18
Cameroon	8.0	0.0	Q1009	19
Canada	5.0	5.0	Q16	20
Central African Republic	0.0	24.0	Q929	21
Chile	23.0	32.0	Q298	22
Macao SAR, China	36.0	21.0	Q14773	23
Colombia	18.0	8.0	Q739	24
Congo, Rep.	13.0	13.0	Q971	25
Costa Rica	12.0	13.0	Q800	26
Cote d'Ivoire	15.0	8.0	Q1008	27
Croatia	4.0	3.0	Q224	28
Cyprus	5.0	5.0	Q229	29
Czech Republic	7.0	7.0	Q213	30
Denmark	4.0	4.0	Q35	31
Dominican Republic	5.0	11.0	Q786	32
Egypt, Arab Rep.	8.0	7.0	Q79	33
El Salvador	12.0	14.0	Q792	34
Estonia	10.0	9.0	Q191	35
Ethiopia	0.0	12.0	Q115	36
Fiji	7.0	8.0	Q712	37
Finland	5.0	5.0	Q33	38
France	3.0	3.0	Q142	39
Gabon	3.0	2.0	Q1000	40
Georgia	11.0	12.0	Q230	41
Germany	8.0	4.0	Q183	42
Ghana	12.0	5.0	Q117	43
Greece	5.0	6.0	Q41	44
Guatemala	12.0	6.0	Q774	45
Honduras	20.0	26.0	Q783	46
Hungary	9.0	14.0	Q28	47
Iceland	18.0	11.0	Q189	48
India	1.0	0.0	Q668	49
Indonesia	2.0	11.0	Q252	50
Ireland	1.0	3.0	Q27	51
Israel	10.0	10.0	Q801	52
Italy	3.0	3.0	Q38	53
Japan	12.0	10.0	Q17	54
Jordan	2.0	4.0	Q810	55
Kazakhstan	2.0	2.0	Q232	56
Kiribati	2.0	7.0	Q710	57
Korea, Rep.	15.0	8.0	Q884	58
Kuwait	19.0	19.0	Q817	59
Latvia	18.0	13.0	Q211	60
Lebanon	2.0	2.0	Q822	61
Lesotho	13.0	5.0	Q1013	62
Lithuania	5.0	7.0	Q37	63
Luxembourg	3.0	4.0	Q32	64
Madagascar	4.0	1.0	Q1019	65
Malawi	1.0	0.0	Q1020	66
Malaysia	1.0	0.0	Q833	67
Mali	15.0	3.0	Q912	68
Malta	5.0	5.0	Q233	69
Marshall Islands	9.0	13.0	Q709	70
Mauritius	10.0	11.0	Q1027	71
Mexico	8.0	4.0	Q96	72
Micronesia, Fed. Sts.	11.0	21.0	Q702	73
Moldova	5.0	2.0	Q217	74
Mongolia	7.0	1.0	Q711	75
Morocco	15.0	7.0	Q1028	76
Mozambique	6.0	1.0	Q1029	77
Myanmar	17.0	2.0	Q836	78
Namibia	0.0	0.0	Q1030	79
Nepal	1.0	0.0	Q837	80
Netherlands	5.0	6.0	Q55	81
New Zealand	13.0	13.0	Q664	82
Nicaragua	5.0	7.0	Q811	83
North Macedonia	4.0	2.0	Q221	84
Norway	8.0	10.0	Q20	85
Palau	33.0	23.0	Q695	86
Paraguay	8.0	5.0	Q733	87
Peru	8.0	8.0	Q419	88
Philippines	3.0	1.0	Q928	89
Poland	4.0	4.0	Q36	90
Portugal	4.0	4.0	Q45	91
Romania	4.0	4.0	Q218	92
Russian Federation	9.0	7.0	Q159	93
Samoa	5.0	4.0	Q683	94
San Marino	8.0	6.0	Q238	95
Saudi Arabia	13.0	17.0	Q851	96
Seychelles	9.0	4.0	Q1042	97
Slovak Republic	6.0	6.0	Q214	98
Slovenia	4.0	4.0	Q215	99
Solomon Islands	5.0	1.0	Q685	100
South Africa	3.0	3.0	Q258	101
Spain	8.0	8.0	Q29	102
Sweden	12.0	11.0	Q34	103
Switzerland	9.0	10.0	Q39	104
Tanzania	2.0	2.0	Q924	105
Thailand	0.0	5.0	Q869	106
Timor-Leste	21.0	15.0	Q574	107
Togo	4.0	5.0	Q945	108
Tonga	3.0	6.0	Q678	109
Trinidad and Tobago	8.0	2.0	Q754	110
Turkey	7.0	14.0	Q43	111
Ukraine	4.0	2.0	Q212	112
United Arab Emirates	18.0	6.0	Q878	113
United Kingdom	10.0	9.0	Q145	114
United States	8.0	6.0	Q30	115
Uruguay	10.0	9.0	Q77	116
Vanuatu	2.0	4.0	Q686	117
West Bank and Gaza	11.0	2.0	Q407199	118
Zambia	1.0	1.0	Q953	119
Zimbabwe	2.0	2.0	Q954	120
