Country	Growth201718	Growth201819	ID	id_row
Afghanistan	0.6	2.3	Q889	0
Albania	2.0	1.4	Q222	1
Algeria	4.3	2.0	Q262	2
Angola	20.2	17.1	Q916	3
Argentina	34.3	53.5	Q414	4
Armenia	2.5	1.4	Q399	5
Aruba	3.6	4.3	Q21203	6
Australia	1.9	1.6	Q408	7
Austria	2.0	1.5	Q40	8
Azerbaijan	2.3	2.6	Q227	9
Bahamas, The	2.3	2.5	Q778	10
Bangladesh	5.5	5.6	Q902	11
Barbados	3.7	4.1	Q244	12
Belgium	2.1	1.4	Q31	13
Benin	0.8	-0.9	Q962	14
Bhutan	2.7	2.7	Q917	15
Bolivia	2.3	1.8	Q750	16
Bosnia and Herzegovina	1.4	0.6	Q225	17
Botswana	3.2	2.8	Q963	18
Brazil	3.7	3.7	Q155	19
Brunei Darussalam	1.0	-0.4	Q921	20
Bulgaria	2.8	3.1	Q219	21
Burkina Faso	2.0	-3.2	Q965	22
Burundi	-2.8	-0.7	Q967	23
Cabo Verde	1.3	1.1	Q1011	24
Cameroon	1.1	2.5	Q1009	25
Canada	2.3	1.9	Q16	26
Chad	4.3	-1.0	Q657	27
Chile	2.4	2.6	Q298	28
China	2.1	2.9	Q148	29
Hong Kong SAR, China	2.4	2.9	Q8646	30
Colombia	3.2	3.5	Q739	31
Congo, Rep.	1.2	2.2	Q971	32
Costa Rica	2.2	2.1	Q800	33
Cote d'Ivoire	0.4	-1.1	Q1008	34
Croatia	1.5	0.8	Q224	35
Curacao	2.6	2.6	Q25279	36
Cyprus	1.4	0.3	Q229	37
Czech Republic	2.1	2.8	Q213	38
Denmark	0.8	0.8	Q35	39
Djibouti	0.1	3.3	Q977	40
Dominican Republic	3.6	1.8	Q786	41
Ecuador	-0.2	0.3	Q736	42
El Salvador	1.1	0.1	Q792	43
Equatorial Guinea	1.3	1.2	Q983	44
Estonia	3.4	2.3	Q191	45
Ethiopia	13.8	15.8	Q115	46
Fiji	4.1	1.8	Q712	47
Finland	1.1	1.0	Q33	48
France	1.9	1.1	Q142	49
Gabon	4.7	2.5	Q1000	50
Gambia, The	6.5	7.1	Q1005	51
Georgia	2.6	4.9	Q230	52
Germany	1.7	1.4	Q183	53
Ghana	7.8	7.2	Q117	54
Greece	0.6	0.3	Q41	55
Guatemala	3.8	3.7	Q774	56
Guinea	9.8	9.5	Q1006	57
Guyana	1.3	2.1	Q734	58
Honduras	4.3	4.4	Q783	59
Hungary	2.9	3.3	Q28	60
Iceland	2.7	3.0	Q189	61
India	4.9	7.7	Q668	62
Indonesia	3.2	3.0	Q252	63
Iran, Islamic Rep.	18.0	39.9	Q794	64
Ireland	0.5	0.9	Q27	65
Israel	0.8	0.8	Q801	66
Italy	1.1	0.6	Q38	67
Jamaica	3.7	3.9	Q766	68
Japan	1.0	0.5	Q17	69
Jordan	4.5	0.8	Q810	70
Kazakhstan	6.0	5.2	Q232	71
Korea, Rep.	1.5	0.4	Q884	72
Kosovo	1.1	2.7	Q1246	73
Kuwait	0.5	1.1	Q817	74
Kyrgyz Republic	1.5	1.1	Q813	75
Lao PDR	2.0	3.3	Q819	76
Latvia	2.5	2.8	Q211	77
Lebanon	6.1	3.0	Q822	78
Lesotho	4.8	5.2	Q1013	79
Lithuania	2.7	2.3	Q37	80
Luxembourg	1.5	1.7	Q32	81
North Macedonia	1.5	0.8	Q221	82
Madagascar	8.6	5.6	Q1019	83
Malawi	12.4	9.4	Q1020	84
Malaysia	0.9	0.7	Q833	85
Maldives	-0.1	0.2	Q826	86
Mali	0.3	-1.7	Q912	87
Malta	1.2	1.6	Q233	88
Mauritania	3.0	2.3	Q1025	89
Mauritius	3.2	0.4	Q1027	90
Mexico	4.9	3.6	Q96	91
Moldova	3.0	4.8	Q217	92
Mongolia	6.8	7.3	Q711	93
Morocco	1.9	0.2	Q1028	94
Mozambique	3.9	2.8	Q1029	95
Myanmar	6.9	8.8	Q836	96
Namibia	4.3	3.7	Q1030	97
Nepal	4.1	5.6	Q837	98
Netherlands	1.7	2.6	Q55	99
New Zealand	1.6	1.6	Q664	100
Nicaragua	4.9	5.4	Q811	101
Niger	3.0	-2.5	Q1032	102
Nigeria	12.1	11.4	Q1033	103
Norway	2.8	2.2	Q20	104
Oman	0.9	0.1	Q842	105
Pakistan	5.1	10.6	Q843	106
Panama	0.8	-0.4	Q804	107
Papua New Guinea	4.7	3.6	Q691	108
Paraguay	4.0	2.8	Q733	109
Peru	1.3	2.1	Q419	110
Philippines	5.2	2.5	Q928	111
Poland	1.8	2.2	Q36	112
Portugal	1.0	0.3	Q45	113
Qatar	0.3	-0.7	Q846	114
Romania	4.6	3.8	Q218	115
Russian Federation	2.9	4.5	Q159	116
Rwanda	-0.3	3.4	Q1037	117
Samoa	4.2	1.0	Q683	118
Saudi Arabia	2.5	-2.1	Q851	119
Senegal	0.5	1.8	Q1041	120
Serbia	2.0	1.8	Q403	121
Seychelles	3.7	1.8	Q1042	122
Sierra Leone	16.0	14.8	Q1044	123
Singapore	0.4	0.6	Q334	124
Slovak Republic	2.5	2.7	Q214	125
Slovenia	1.7	1.6	Q215	126
Solomon Islands	3.5	1.6	Q685	127
South Africa	4.5	4.1	Q258	128
Spain	1.7	0.7	Q29	129
Sri Lanka	2.1	3.5	Q854	130
Sudan	63.3	51.0	Q1049	131
Sweden	2.0	1.8	Q34	132
Switzerland	0.9	0.4	Q39	133
Tanzania	3.5	3.5	Q924	134
Thailand	1.1	0.7	Q869	135
Togo	0.9	0.7	Q945	136
Tunisia	7.3	6.7	Q948	137
Turkey	16.3	15.2	Q43	138
Uganda	2.6	2.9	Q1036	139
Ukraine	11.0	7.9	Q212	140
United Arab Emirates	3.1	-1.9	Q878	141
United Kingdom	2.3	1.7	Q145	142
United States	2.4	1.8	Q30	143
Uruguay	7.6	7.9	Q77	144
Vanuatu	2.3	2.8	Q686	145
Vietnam	3.5	2.8	Q881	146
West Bank and Gaza	-0.2	1.6	Q407199	147
Zambia	7.5	9.2	Q953	148
