Country	SurveyYear	Informality	ID	id_row
Afghanistan	2014	41.5	Q889	0
Albania	2019	44.7	Q222	1
Algeria	2007	66.8	Q262	2
Angola	2010	41.2	Q916	3
Antigua and Barbuda	2010	78.1	Q781	4
Argentina	2017	72.5	Q414	5
Armenia	2013	16.5	Q399	6
Azerbaijan	2013	19.6	Q227	7
Bahamas, The	2010	67.5	Q778	8
Bangladesh	2013	39.4	Q902	9
Barbados	2010	49.4	Q244	10
Belarus	2018	20.3	Q184	11
Belize	2010	58.5	Q242	12
Benin	2016	66.8	Q962	13
Bhutan	2015	7.2	Q917	14
Bolivia	2017	78.9	Q750	15
Bosnia and Herzegovina	2019	42.1	Q225	16
Botswana	2010	54.6	Q963	17
Brazil	2009	69.7	Q155	18
Bulgaria	2019	52.4	Q219	19
Burkina Faso	2009	75.0	Q965	20
Burundi	2014	51.3	Q967	21
Cambodia	2016	77.8	Q424	22
Cameroon	2016	80.3	Q1009	23
Cabo Verde	2009	44.5	Q1011	24
Central African Republic	2011	66.7	Q929	25
Chad	2018	80.0	Q657	26
Chile	2010	55.8	Q298	27
China	2012	57.7	Q148	28
Colombia	2017	66.1	Q739	29
Congo, Dem. Rep.	2013	78.4	Q974	30
Congo, Rep.	2009	69.7	Q971	31
Costa Rica	2010	70.4	Q800	32
Cote d'Ivoire	2016	75.6	Q1008	33
Croatia	2019	17.1	Q224	34
Cyprus	2019	44.0	Q229	35
Czech Republic	2019	24.6	Q213	36
Djibouti	2013	22.2	Q977	37
Dominica	2010	10.7	Q784	38
Dominican Republic	2016	61.1	Q786	39
Ecuador	2017	67.1	Q736	40
Egypt, Arab Rep.	2016	43.0	Q79	41
El Salvador	2016	67.7	Q792	42
Eritrea	2009	28.2	Q986	43
Estonia	2019	29.9	Q191	44
Ethiopia	2015	23.1	Q115	45
Fiji	2009	39.6	Q712	46
Gabon	2009	76.0	Q1000	47
Gambia, The	2018	71.1	Q1005	48
Georgia	2019	22.4	Q230	49
Ghana	2013	69.4	Q117	50
Greece	2018	41.9	Q41	51
Grenada	2010	72.5	Q769	52
Guatemala	2017	77.1	Q774	53
Guinea	2016	75.7	Q1006	54
Guinea-Bissau	2006	53.7	Q1007	55
Guyana	2010	59.8	Q734	56
Honduras	2016	72.5	Q783	57
Hungary	2019	13.7	Q28	58
India	2014	50.1	Q668	59
Indonesia	2015	65.0	Q252	60
Iraq	2011	49.3	Q796	61
Israel	2013	17.4	Q801	62
Italy	2019	22.2	Q38	63
Jamaica	2010	66.4	Q766	64
Jordan	2019	48.6	Q810	65
Kazakhstan	2019	39.2	Q232	66
Kenya	2018	68.8	Q114	67
Kosovo	2019	18.7	Q1246	68
Kyrgyz Republic	2019	51.4	Q813	69
Lao PDR	2018	39.9	Q819	70
Latvia	2019	37.4	Q211	71
Lebanon	2019	56.3	Q822	72
Lesotho	2016	68.1	Q1013	73
Liberia	2017	68.7	Q1014	74
Lithuania	2019	47.3	Q37	75
North Macedonia	2019	54.5	Q221	76
Madagascar	2013	71.7	Q1019	77
Malawi	2014	71.7	Q1020	78
Malaysia	2015	39.8	Q833	79
Mali	2016	79.5	Q912	80
Malta	2019	26.8	Q233	81
Mauritania	2014	78.5	Q1025	82
Mauritius	2009	51.0	Q1027	83
Mexico	2010	70.3	Q96	84
Micronesia, Fed. Sts.	2009	41.1	Q702	85
Moldova	2019	41.0	Q217	86
Mongolia	2019	22.3	Q711	87
Montenegro	2019	57.5	Q236	88
Morocco	2019	47.2	Q1028	89
Mozambique	2018	58.0	Q1029	90
Myanmar	2016	31.5	Q836	91
Namibia	2014	41.7	Q1030	92
Nepal	2013	55.7	Q837	93
Nicaragua	2016	72.9	Q811	94
Niger	2017	85.1	Q1032	95
Nigeria	2014	46.2	Q1033	96
Pakistan	2013	46.5	Q843	97
Panama	2010	51.4	Q804	98
Papua New Guinea	2015	72.3	Q691	99
Paraguay	2017	72.3	Q733	100
Peru	2017	75.9	Q419	101
Philippines	2015	30.9	Q928	102
Poland	2019	27.4	Q36	103
Portugal	2019	47.0	Q45	104
Romania	2013	34.6	Q218	105
Russian Federation	2019	28.2	Q159	106
Rwanda	2019	29.6	Q1037	107
Samoa	2009	63.6	Q683	108
Senegal	2014	76.4	Q1041	109
Serbia	2019	49.7	Q403	110
Sierra Leone	2017	62.5	Q1044	111
Slovak Republic	2019	39.5	Q214	112
Slovenia	2019	18.2	Q215	113
Solomon Islands	2015	59.7	Q685	114
South Africa	2007	45.3	Q258	115
South Sudan	2014	69.8	Q958	116
Sri Lanka	2011	47.4	Q854	117
St. Kitts and Nevis	2010	65.4	Q763	118
St. Lucia	2010	18.2	Q760	119
St. Vincent and the Grenadines	2010	65.0	Q757	120
Sudan	2014	90.5	Q1049	121
Suriname	2018	54.6	Q730	122
Eswatini	2016	73.5	Q1050	123
Sweden	2014	29.7	Q34	124
Syrian Arab Republic	2009	52.6	Q858	125
Tajikistan	2019	11.8	Q863	126
Tanzania	2013	72.6	Q924	127
Thailand	2016	25.1	Q869	128
Timor-Leste	2015	56.8	Q574	129
Togo	2016	68.7	Q945	130
Tonga	2009	86.8	Q678	131
Trinidad and Tobago	2010	69.2	Q754	132
Tunisia	2013	45.2	Q948	133
Turkey	2019	50.2	Q43	134
Uganda	2013	95.2	Q1036	135
Ukraine	2019	50.3	Q212	136
Uruguay	2017	67.9	Q77	137
Uzbekistan	2019	21.5	Q265	138
Vanuatu	2009	39.9	Q686	139
Venezuela, RB	2010	29.8	Q717	140
Vietnam	2015	49.5	Q881	141
West Bank and Gaza	2019	63.9	Q407199	142
Yemen, Rep.	2013	43.0	Q805	143
Zambia	2019	65.4	Q953	144
Zimbabwe	2016	73.9	Q954	145
