Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Afghanistan	2015	53.0	70.0	Q889	0
Albania	2018	52.0	49.0	Q222	1
Algeria	2013	60.0	73.0	Q262	2
Angola	2016	25.0	78.0	Q916	3
Argentina	2012	92.0	96.0	Q414	4
Armenia	2016	46.0	67.0	Q399	5
Bangladesh	2014	38.0	60.0	Q902	6
Benin	2018	30.0	74.0	Q962	7
Bhutan	2010	64.0	82.0	Q917	8
Bolivia	2008	40.0	70.0	Q750	9
Burkina Faso	2010	36.0	70.0	Q965	10
Burundi	2017	62.0	67.0	Q967	11
Cambodia	2014	68.0	67.0	Q424	12
Cameroon	2014	31.0	23.0	Q1009	13
Central African Republic	2010	20.0	56.0	Q929	14
Chad	2015	16.0	44.0	Q657	15
Colombia	2010	54.0	67.0	Q739	16
Comoros	2012	31.0	43.0	Q970	17
Congo, Dem. Rep.	2014	37.0	44.0	Q974	18
Congo, Rep.	2016	18.0	61.0	Q971	19
Cote d'Ivoire	2016	23.0	49.0	Q1008	20
Dominican Republic	2014	73.0	77.0	Q786	21
Egypt, Arab Rep.	2014	64.0	66.0	Q79	22
Eswatini	2014	62.0	63.0	Q1050	23
Ethiopia	2016	25.0	40.0	Q115	24
Gabon	2012	39.0	63.0	Q1000	25
Gambia, The	2018	53.0	33.0	Q1005	26
Ghana	2014	54.0	87.0	Q117	27
Guatemala	2015	47.0	68.0	Q774	28
Guinea	2018	74.0	78.0	Q1006	29
Guinea-Bissau	2014	40.0	27.0	Q1007	30
Guyana	2014	75.0	35.0	Q734	31
Haiti	2017	25.0	52.0	Q790	32
Honduras	2012	61.0	73.0	Q783	33
India	2016	69.0	90.0	Q668	34
Indonesia	2017	89.0	92.0	Q252	35
Iraq	2018	41.0	65.0	Q796	36
Jordan	2018	68.0	74.0	Q810	37
Kenya	2014	63.0	74.0	Q114	38
Kyrgyz Republic	2018	19.0	79.0	Q813	39
Lao PDR	2017	42.0	86.0	Q819	40
Liberia	2013	48.0	44.0	Q1014	41
Madagascar	2009	33.0	68.0	Q1019	42
Malawi	2016	77.0	71.0	Q1020	43
Maldives	2017	86.0	43.0	Q826	44
Mali	2018	74.0	86.0	Q912	45
Mauritania	2015	18.0	48.0	Q1025	46
Mozambique	2015	49.0	59.0	Q1029	47
Myanmar	2016	45.0	77.0	Q836	48
Namibia	2013	58.0	73.0	Q1030	49
Nepal	2016	73.0	75.0	Q837	50
Niger	2012	47.0	71.0	Q1032	51
Nigeria	2018	72.0	94.0	Q1033	52
Pakistan	2018	74.0	91.0	Q843	53
Papua New Guinea	2018	48.0	76.0	Q691	54
Paraguay	2016	84.0	95.0	Q733	55
Peru	2012	65.0	68.0	Q419	56
Philippines	2017	57.0	83.0	Q928	57
Rwanda	2015	45.0	65.0	Q1037	58
Sao Tome and Principe	2014	86.0	77.0	Q1039	59
Senegal	2017	41.0	84.0	Q1041	60
Serbia	2010	83.0	96.0	Q403	61
Sierra Leone	2017	69.0	81.0	Q1044	62
South Sudan	2010	33.0	66.0	Q958	63
Sudan	2014	27.0	63.0	Q1049	64
Tajikistan	2017	94.0	49.0	Q863	65
Tanzania	2016	37.0	75.0	Q924	66
Thailand	2016	61.0	74.0	Q869	67
Timor-Leste	2016	70.0	98.0	Q574	68
Togo	2014	42.0	69.0	Q945	69
Tunisia	2018	95.0	100.0	Q948	70
Uganda	2016	80.0	86.0	Q1036	71
West Bank and Gaza	2014	78.0	82.0	Q407199	72
Yemen, Rep.	2013	31.0	42.0	Q805	73
Zambia	2014	67.0	80.0	Q953	74
Zimbabwe	2015	43.0	70.0	Q954	75
