Country	Index	ID	id_row
Albania	4.1	Q222	0
Algeria	3.4	Q262	1
Angola	2.7	Q916	2
Argentina	3.7	Q414	3
Armenia	2.5	Q399	4
Australia	4.9	Q408	5
Austria	3.9	Q40	6
Azerbaijan	4.7	Q227	7
Bahrain	5.1	Q398	8
Bangladesh	3.6	Q902	9
Barbados	5.3	Q244	10
Belgium	6.1	Q31	11
Benin	3.9	Q962	12
Bhutan	2.0	Q917	13
Bolivia	2.1	Q750	14
Bosnia and Herzegovina	2.1	Q225	15
Botswana	3.1	Q963	16
Brazil	3.1	Q155	17
Brunei Darussalam	3.9	Q921	18
Bulgaria	4.1	Q219	19
Burkina Faso	3.1	Q965	20
Burundi	2.8	Q967	21
Cabo Verde	3.6	Q1011	22
Cambodia	3.7	Q424	23
Cameroon	3.1	Q1009	24
Canada	5.4	Q16	25
Chad	2.0	Q657	26
Chile	4.9	Q298	27
China	4.6	Q148	28
Hong Kong SAR, China	6.5	Q8646	29
Colombia	3.8	Q739	30
Congo, Dem. Rep.	2.7	Q974	31
Costa Rica	3.4	Q800	32
Cote d'Ivoire	5.2	Q1008	33
Croatia	4.6	Q224	34
Cyprus	4.6	Q229	35
Czech Republic	3.5	Q213	36
Denmark	5.7	Q35	37
Dominican Republic	4.8	Q786	38
Ecuador	4.6	Q736	39
Egypt, Arab Rep.	4.7	Q79	40
El Salvador	3.4	Q792	41
Estonia	5.6	Q191	42
Ethiopia	2.7	Q115	43
Finland	6.2	Q33	44
France	5.1	Q142	45
Gabon	3.2	Q1000	46
Gambia, The	4.4	Q1005	47
Georgia	4.1	Q230	48
Germany	5.5	Q183	49
Ghana	3.6	Q117	50
Greece	4.5	Q41	51
Guatemala	3.6	Q774	52
Guinea	3.4	Q1006	53
Guyana	3.6	Q734	54
Haiti	2.6	Q790	55
Honduras	4.4	Q783	56
Hungary	3.2	Q28	57
Iceland	5.9	Q189	58
India	4.6	Q668	59
Indonesia	4.0	Q252	60
Iran, Islamic Rep.	4.0	Q794	61
Ireland	5.1	Q27	62
Israel	4.7	Q801	63
Italy	4.4	Q38	64
Jamaica	4.9	Q766	65
Japan	5.3	Q17	66
Jordan	4.5	Q810	67
Kazakhstan	3.2	Q232	68
Kenya	4.5	Q114	69
Korea, Rep.	5.2	Q884	70
Kuwait	3.8	Q817	71
Kyrgyz Republic	1.4	Q813	72
Lao PDR	2.3	Q819	73
Latvia	5.1	Q211	74
Lebanon	3.5	Q822	75
Lesotho	3.0	Q1013	76
Liberia	3.2	Q1014	77
Libya	2.6	Q1016	78
Lithuania	4.8	Q37	79
Luxembourg	4.6	Q32	80
North Macedonia	3.6	Q221	81
Madagascar	3.6	Q1019	82
Malawi	2.1	Q1020	83
Malaysia	5.4	Q833	84
Mali	1.9	Q912	85
Malta	5.3	Q233	86
Mauritania	2.6	Q1025	87
Mauritius	4.2	Q1027	88
Mexico	4.3	Q96	89
Moldova	2.4	Q217	90
Mongolia	1.4	Q711	91
Montenegro	4.1	Q236	92
Morocco	5.0	Q1028	93
Mozambique	3.6	Q1029	94
Myanmar	2.6	Q836	95
Namibia	5.2	Q1030	96
Nepal	1.6	Q837	97
Netherlands	6.8	Q55	98
New Zealand	5.5	Q664	99
Nicaragua	3.1	Q811	100
Nigeria	2.8	Q1033	101
Norway	5.5	Q20	102
Oman	4.6	Q842	103
Pakistan	4.0	Q843	104
Panama	6.2	Q804	105
Paraguay	3.3	Q733	106
Peru	3.7	Q419	107
Philippines	2.9	Q928	108
Poland	4.2	Q36	109
Portugal	5.2	Q45	110
Puerto Rico	5.4	Q1183	111
Qatar	5.6	Q846	112
Romania	3.5	Q218	113
Russian Federation	4.2	Q159	114
Rwanda	2.9	Q1037	115
Saudi Arabia	4.7	Q851	116
Senegal	4.4	Q1041	117
Serbia	3.0	Q403	118
Seychelles	4.5	Q1042	119
Sierra Leone	3.3	Q1044	120
Singapore	6.7	Q334	121
Slovak Republic	3.0	Q214	122
Slovenia	5.0	Q215	123
South Africa	4.8	Q258	124
Spain	5.5	Q29	125
Sri Lanka	4.5	Q854	126
Suriname	4.4	Q730	127
Eswatini	3.6	Q1050	128
Sweden	5.5	Q34	129
Switzerland	4.5	Q39	130
Tajikistan	2.0	Q863	131
Tanzania	3.4	Q924	132
Thailand	4.3	Q869	133
Timor-Leste	2.2	Q574	134
Trinidad and Tobago	3.8	Q754	135
Tunisia	3.3	Q948	136
Turkey	4.5	Q43	137
Uganda	2.6	Q1036	138
Ukraine	3.5	Q212	139
United Arab Emirates	6.2	Q878	140
United Kingdom	5.5	Q145	141
United States	5.8	Q30	142
Uruguay	4.9	Q77	143
Venezuela, RB	2.7	Q717	144
Vietnam	3.7	Q881	145
Yemen, Rep.	2.6	Q805	146
Zambia	2.3	Q953	147
Zimbabwe	3.1	Q954	148
