Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Afghanistan	2015	62.0	35.0	Q889	0
Albania	2009	29.0	13.0	Q222	1
Algeria	2013	31.0	18.0	Q262	2
Angola	2016	62.0	25.0	Q916	3
Armenia	2016	13.0	5.0	Q399	4
Bangladesh	2014	52.0	29.0	Q902	5
Belize	2016	14.0	4.0	Q242	6
Benin	2018	63.0	39.0	Q962	7
Bolivia	2008	89.0	26.0	Q750	8
Burkina Faso	2010	89.0	54.0	Q965	9
Burundi	2017	67.0	36.0	Q967	10
Cambodia	2014	62.0	16.0	Q424	11
Cameroon	2014	93.0	46.0	Q1009	12
Central African Republic	2010	127.0	85.0	Q929	13
Chad	2015	85.0	81.0	Q657	14
Colombia	2015	22.0	5.0	Q739	15
Comoros	2012	37.0	34.0	Q970	16
Congo, Dem. Rep.	2014	65.0	50.0	Q974	17
Congo, Rep.	2016	52.0	32.0	Q971	18
Cote d'Ivoire	2016	83.0	39.0	Q1008	19
Dominican Republic	2014	33.0	21.0	Q786	20
Egypt, Arab Rep.	2014	36.0	18.0	Q79	21
El Salvador	2014	25.0	15.0	Q792	22
Eswatini	2014	71.0	40.0	Q1050	23
Ethiopia	2016	62.0	54.0	Q115	24
Gabon	2012	43.0	40.0	Q1000	25
Gambia, The	2018	49.0	27.0	Q1005	26
Ghana	2014	55.0	51.0	Q117	27
Guatemala	2015	41.0	17.0	Q774	28
Guinea	2018	77.0	34.0	Q1006	29
Guinea-Bissau	2014	42.0	54.0	Q1007	30
Guyana	2009	25.0	44.0	Q734	31
Haiti	2017	63.0	48.0	Q790	32
Honduras	2012	30.0	18.0	Q783	33
India	2016	58.0	21.0	Q668	34
Indonesia	2017	40.0	20.0	Q252	35
Iraq	2018	27.0	15.0	Q796	36
Jordan	2018	18.0	15.0	Q810	37
Kazakhstan	2011	34.0	24.0	Q232	38
Kenya	2014	40.0	38.0	Q114	39
Kyrgyz Republic	2018	13.0	7.0	Q813	40
Lao PDR	2017	56.0	19.0	Q819	41
Lesotho	2018	65.0	64.0	Q1013	42
Liberia	2013	79.0	62.0	Q1014	43
Madagascar	2009	61.0	37.0	Q1019	44
Malawi	2016	47.0	43.0	Q1020	45
Maldives	2017	11.0	21.0	Q826	46
Mali	2018	77.0	37.0	Q912	47
Mauritania	2015	49.0	30.0	Q1025	48
Mongolia	2018	20.0	13.0	Q711	49
Mozambique	2011	83.0	64.0	Q1029	50
Myanmar	2016	78.0	22.0	Q836	51
Namibia	2013	51.0	22.0	Q1030	52
Nepal	2016	50.0	20.0	Q837	53
Niger	2012	64.0	52.0	Q1032	54
Nigeria	2018	78.0	40.0	Q1033	55
Pakistan	2018	76.0	53.0	Q843	56
Papua New Guinea	2018	47.0	27.0	Q691	57
Paraguay	2016	26.0	1.0	Q733	58
Peru	2012	27.0	14.0	Q419	59
Philippines	2017	31.0	9.0	Q928	60
Rwanda	2015	50.0	25.0	Q1037	61
Sao Tome and Principe	2009	53.0	26.0	Q1039	62
Senegal	2017	46.0	27.0	Q1041	63
Sierra Leone	2017	52.0	60.0	Q1044	64
South Africa	2016	54.0	40.0	Q258	65
Sudan	2014	65.0	34.0	Q1049	66
Suriname	2018	15.0	4.0	Q730	67
Tajikistan	2017	40.0	18.0	Q863	68
Tanzania	2016	45.0	59.0	Q924	69
Timor-Leste	2016	36.0	20.0	Q574	70
Togo	2014	61.0	32.0	Q945	71
Turkey	2013	23.0	8.0	Q43	72
Turkmenistan	2016	33.0	14.0	Q874	73
Uganda	2016	56.0	39.0	Q1036	74
West Bank and Gaza	2014	18.0	12.0	Q407199	75
Yemen, Rep.	2013	53.0	33.0	Q805	76
Zambia	2014	55.0	39.0	Q953	77
Zimbabwe	2015	68.0	43.0	Q954	78
