Country	Hectares2000	Hectares2016	ID	id_row
Afghanistan	0.37	0.22	Q889	0
Albania	0.19	0.22	Q222	1
Algeria	0.25	0.18	Q262	2
American Samoa	0.04	0.05	Q16641	3
Andorra	0.02	0.01	Q228	4
Angola	0.18	0.17	Q916	5
Antigua and Barbuda	0.05	0.04	Q781	6
Argentina	0.75	0.9	Q414	7
Armenia	0.15	0.15	Q399	8
Aruba	0.02	0.02	Q21203	9
Australia	2.47	1.9	Q408	10
Austria	0.17	0.15	Q40	11
Azerbaijan	0.23	0.2	Q227	12
Bahamas, The	0.02	0.02	Q778	13
Bahrain	0.0	0.0	Q398	14
Bangladesh	0.07	0.05	Q902	15
Barbados	0.06	0.02	Q244	16
Belarus	0.61	0.6	Q184	17
Belgium	0.08	0.07	Q31	18
Belize	0.26	0.21	Q242	19
Benin	0.35	0.25	Q962	20
Bermuda	0.01	0.0	Q23635	21
Bhutan	0.18	0.14	Q917	22
Bolivia	0.37	0.4	Q750	23
Bosnia and Herzegovina	0.27	0.3	Q225	24
Botswana	0.21	0.12	Q963	25
Brazil	0.33	0.39	Q155	26
Brunei Darussalam	0.01	0.01	Q921	27
Bulgaria	0.43	0.49	Q219	28
Burkina Faso	0.32	0.32	Q965	29
Burundi	0.15	0.11	Q967	30
Cabo Verde	0.1	0.09	Q1011	31
Cambodia	0.3	0.24	Q424	32
Cameroon	0.38	0.26	Q1009	33
Canada	1.49	1.21	Q16	34
Cayman Islands	0.0	0.0	Q5785	35
Central African Republic	0.53	0.4	Q929	36
Chad	0.43	0.34	Q657	37
Channel Islands	0.03	0.02	Q42314	38
Chile	0.11	0.07	Q298	39
China	0.09	0.09	Q148	40
Hong Kong SAR, China	0.0	0.0	Q8646	41
Colombia	0.07	0.04	Q739	42
Comoros	0.12	0.08	Q970	43
Congo, Dem. Rep.	0.14	0.09	Q974	44
Congo, Rep.	0.16	0.11	Q971	45
Costa Rica	0.05	0.05	Q800	46
Cote d'Ivoire	0.17	0.12	Q1008	47
Croatia	0.19	0.21	Q224	48
Cuba	0.31	0.26	Q241	49
Cyprus	0.1	0.07	Q229	50
Czech Republic	0.32	0.24	Q213	51
Denmark	0.43	0.41	Q35	52
Djibouti	0.0	0.0	Q977	53
Dominica	0.07	0.08	Q784	54
Dominican Republic	0.11	0.08	Q786	55
Ecuador	0.13	0.06	Q736	56
Egypt, Arab Rep.	0.04	0.03	Q79	57
El Salvador	0.11	0.12	Q792	58
Equatorial Guinea	0.21	0.1	Q983	59
Estonia	0.6	0.53	Q191	60
Eswatini	0.18	0.16	Q1050	61
Ethiopia	0.15	0.15	Q115	62
Faroe Islands	0.06	0.06	Q4628	63
Fiji	0.21	0.19	Q712	64
Finland	0.42	0.41	Q33	65
France	0.3	0.28	Q142	66
French Polynesia	0.01	0.01	Q30971	67
Gabon	0.26	0.16	Q1000	68
Gambia, The	0.21	0.2	Q1005	69
Georgia	0.19	0.09	Q230	70
Germany	0.14	0.14	Q183	71
Ghana	0.2	0.17	Q117	72
Greece	0.25	0.2	Q41	73
Greenland	0.01	0.02	Q223	74
Grenada	0.01	0.03	Q769	75
Guam	0.01	0.01	Q16635	76
Guatemala	0.12	0.05	Q774	77
Guinea	0.26	0.26	Q1006	78
Guinea-Bissau	0.25	0.17	Q1007	79
Guyana	0.6	0.54	Q734	80
Haiti	0.11	0.1	Q790	81
Honduras	0.16	0.11	Q783	82
Hungary	0.45	0.44	Q28	83
Iceland	0.46	0.36	Q189	84
India	0.15	0.12	Q668	85
Indonesia	0.1	0.09	Q252	86
Iran, Islamic Rep.	0.23	0.18	Q794	87
Iraq	0.17	0.14	Q796	88
Ireland	0.28	0.09	Q27	89
Isle of Man	0.24	0.28	Q9676	90
Israel	0.05	0.03	Q801	91
Italy	0.15	0.11	Q38	92
Jamaica	0.05	0.04	Q766	93
Japan	0.04	0.03	Q17	94
Jordan	0.04	0.02	Q810	95
Kazakhstan	2.3	1.65	Q232	96
Kenya	0.15	0.12	Q114	97
Kiribati	0.02	0.02	Q710	98
Korea, Dem. Peopleâ€™s Rep.	0.1	0.09	Q423	99
Korea, Rep.	0.04	0.03	Q884	100
Kuwait	0.0	0.0	Q817	101
Kyrgyz Republic	0.28	0.21	Q813	102
Lao PDR	0.17	0.22	Q819	103
Latvia	0.41	0.66	Q211	104
Lebanon	0.03	0.02	Q822	105
Lesotho	0.16	0.17	Q1013	106
Liberia	0.14	0.11	Q1014	107
Libya	0.34	0.26	Q1016	108
Liechtenstein	0.12	0.06	Q347	109
Lithuania	0.82	0.75	Q37	110
Luxembourg	0.14	0.11	Q32	111
North Macedonia	0.27	0.2	Q221	112
Madagascar	0.18	0.14	Q1019	113
Malawi	0.25	0.22	Q1020	114
Malaysia	0.04	0.03	Q833	115
Maldives	0.01	0.01	Q826	116
Mali	0.41	0.36	Q912	117
Malta	0.02	0.02	Q233	118
Marshall Islands	0.02	0.03	Q709	119
Mauritania	0.19	0.11	Q1025	120
Mauritius	0.08	0.06	Q1027	121
Mexico	0.23	0.18	Q96	122
Micronesia, Fed. Sts.	0.02	0.02	Q702	123
Moldova	0.62	0.65	Q217	124
Mongolia	0.49	0.19	Q711	125
Morocco	0.3	0.23	Q1028	126
Mozambique	0.22	0.2	Q1029	127
Myanmar	0.21	0.21	Q836	128
Namibia	0.45	0.34	Q1030	129
Nepal	0.1	0.08	Q837	130
Netherlands	0.06	0.06	Q55	131
New Caledonia	0.03	0.02	Q33788	132
New Zealand	0.39	0.12	Q664	133
Nicaragua	0.38	0.24	Q811	134
Niger	1.23	0.81	Q1032	135
Nigeria	0.29	0.18	Q1033	136
Northern Mariana Islands	0.02	0.02	Q16644	137
Norway	0.2	0.15	Q20	138
Oman	0.01	0.01	Q842	139
Pakistan	0.22	0.15	Q843	140
Palau	0.05	0.06	Q695	141
Panama	0.18	0.14	Q804	142
Papua New Guinea	0.04	0.04	Q691	143
Paraguay	0.57	0.71	Q733	144
Peru	0.17	0.11	Q419	145
Philippines	0.06	0.05	Q928	146
Poland	0.37	0.28	Q36	147
Portugal	0.17	0.09	Q45	148
Puerto Rico	0.02	0.02	Q1183	149
Qatar	0.02	0.01	Q846	150
Romania	0.42	0.44	Q218	151
Russian Federation	0.85	0.85	Q159	152
Rwanda	0.11	0.1	Q1037	153
Samoa	0.08	0.04	Q683	154
San Marino	0.04	0.03	Q238	155
Sao Tome and Principe	0.04	0.04	Q1039	156
Saudi Arabia	0.17	0.11	Q851	157
Senegal	0.34	0.21	Q1041	158
Seychelles	0.01	0.0	Q1042	159
Sierra Leone	0.11	0.22	Q1044	160
Singapore	0.0	0.0	Q334	161
Slovak Republic	0.28	0.25	Q214	162
Slovenia	0.09	0.09	Q215	163
Solomon Islands	0.03	0.03	Q685	164
Somalia	0.12	0.08	Q1045	165
South Africa	0.31	0.22	Q258	166
Spain	0.33	0.27	Q29	167
Sri Lanka	0.05	0.06	Q854	168
St. Kitts and Nevis	0.16	0.1	Q763	169
St. Lucia	0.01	0.02	Q760	170
St. Vincent and the Grenadines	0.05	0.05	Q757	171
Suriname	0.12	0.12	Q730	172
Sweden	0.3	0.26	Q34	173
Switzerland	0.06	0.05	Q39	174
Syrian Arab Republic	0.28	0.27	Q858	175
Tajikistan	0.13	0.08	Q863	176
Tanzania	0.26	0.25	Q924	177
Thailand	0.25	0.24	Q869	178
Timor-Leste	0.14	0.13	Q574	179
Togo	0.51	0.35	Q945	180
Tonga	0.15	0.18	Q678	181
Trinidad and Tobago	0.03	0.02	Q754	182
Tunisia	0.3	0.26	Q948	183
Turkey	0.38	0.26	Q43	184
Turkmenistan	0.43	0.34	Q874	185
Turks and Caicos Islands	0.05	0.03	Q18221	186
Uganda	0.22	0.17	Q1036	187
Ukraine	0.66	0.73	Q212	188
United Arab Emirates	0.02	0.0	Q878	189
United Kingdom	0.1	0.09	Q145	190
United States	0.62	0.47	Q30	191
Uruguay	0.41	0.7	Q77	192
Uzbekistan	0.18	0.14	Q265	193
Vanuatu	0.11	0.07	Q686	194
Venezuela, RB	0.11	0.09	Q717	195
Vietnam	0.08	0.07	Q881	196
Virgin Islands (U.S.)	0.02	0.01	Q11703	197
West Bank and Gaza	0.03	0.01	Q407199	198
Yemen, Rep.	0.09	0.05	Q805	199
Zambia	0.27	0.23	Q953	200
Zimbabwe	0.3	0.29	Q954	201
