Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Afghanistan	2015	16.0	37.0	Q889	0
Albania	2018	42.0	56.0	Q222	1
Algeria	2013	57.0	60.0	Q262	2
Angola	2016	1.0	33.0	Q916	3
Armenia	2016	59.0	60.0	Q399	4
Bangladesh	2014	63.0	63.0	Q902	5
Barbados	2012	53.0	66.0	Q244	6
Belarus	2012	55.0	68.0	Q184	7
Belize	2016	38.0	54.0	Q242	8
Benin	2018	11.0	23.0	Q962	9
Bhutan	2010	69.0	62.0	Q917	10
Bolivia	2008	46.0	71.0	Q750	11
Burkina Faso	2018	7.0	37.0	Q965	12
Burundi	2017	26.0	36.0	Q967	13
Cambodia	2014	53.0	62.0	Q424	14
Cameroon	2014	12.0	46.0	Q1009	15
Central African Republic	2010	9.0	30.0	Q929	16
Chad	2015	5.0	12.0	Q657	17
Colombia	2015	78.0	83.0	Q739	18
Comoros	2012	13.0	23.0	Q970	19
Congo, Dem. Rep.	2014	13.0	36.0	Q974	20
Congo, Rep.	2016	30.0	28.0	Q971	21
Costa Rica	2011	69.0	78.0	Q800	22
Cote d'Ivoire	2016	10.0	22.0	Q1008	23
Dominican Republic	2014	66.0	72.0	Q786	24
Egypt, Arab Rep.	2014	56.0	61.0	Q79	25
El Salvador	2014	66.0	74.0	Q792	26
Eswatini	2014	61.0	72.0	Q1050	27
Ethiopia	2016	20.0	49.0	Q115	28
Gabon	2012	21.0	36.0	Q1000	29
Gambia, The	2018	15.0	21.0	Q1005	30
Ghana	2016	22.0	28.0	Q117	31
Guatemala	2015	46.0	73.0	Q774	32
Guinea	2018	5.0	18.0	Q1006	33
Guinea-Bissau	2014	9.0	30.0	Q1007	34
Guyana	2014	31.0	35.0	Q734	35
Haiti	2017	30.0	33.0	Q790	36
Honduras	2012	67.0	76.0	Q783	37
India	2016	42.0	59.0	Q668	38
Indonesia	2017	61.0	62.0	Q252	39
Iraq	2018	48.0	59.0	Q796	40
Jordan	2018	48.0	50.0	Q810	41
Kazakhstan	2015	55.0	56.0	Q232	42
Kenya	2015	32.0	64.0	Q114	43
Kosovo	2014	66.0	66.0	Q1246	44
Kyrgyz Republic	2018	36.0	47.0	Q813	45
Lao PDR	2017	43.0	55.0	Q819	46
Lesotho	2018	66.0	65.0	Q1013	47
Liberia	2016	14.0	23.0	Q1014	48
Madagascar	2016	20.0	57.0	Q1019	49
Malawi	2017	54.0	62.0	Q1020	50
Maldives	2017	18.0	20.0	Q826	51
Mali	2018	12.0	24.0	Q912	52
Mauritania	2015	8.0	28.0	Q1025	53
Mexico	2015	60.0	75.0	Q96	54
Moldova	2012	56.0	61.0	Q217	55
Mongolia	2018	57.0	46.0	Q711	56
Montenegro	2013	9.0	32.0	Q236	57
Mozambique	2018	19.0	45.0	Q1029	58
Myanmar	2016	47.0	59.0	Q836	59
Namibia	2013	44.0	63.0	Q1030	60
Nepal	2016	49.0	60.0	Q837	61
Niger	2012	10.0	26.0	Q1032	62
Nigeria	2018	4.0	33.0	Q1033	63
North Macedonia	2011	96.0	100.0	Q221	64
Pakistan	2018	20.0	45.0	Q843	65
Papua New Guinea	2018	23.0	46.0	Q691	66
Paraguay	2016	71.0	65.0	Q733	67
Peru	2012	73.0	75.0	Q419	68
Philippines	2017	55.0	48.0	Q928	69
Rwanda	2017	48.0	57.0	Q1037	70
Sao Tome and Principe	2014	37.0	40.0	Q1039	71
Senegal	2017	17.0	39.0	Q1041	72
Serbia	2014	57.0	56.0	Q403	73
Sierra Leone	2017	15.0	30.0	Q1044	74
South Africa	2016	54.0	56.0	Q258	75
South Sudan	2010	4.0	7.0	Q958	76
Sudan	2014	4.0	26.0	Q1049	77
Suriname	2018	30.0	45.0	Q730	78
Tajikistan	2017	26.0	33.0	Q863	79
Tanzania	2017	23.0	49.0	Q924	80
Thailand	2016	82.0	74.0	Q869	81
Timor-Leste	2016	24.0	30.0	Q574	82
Togo	2017	17.0	25.0	Q945	83
Tunisia	2018	49.0	52.0	Q948	84
Turkey	2013	64.0	77.0	Q43	85
Turkmenistan	2016	45.0	52.0	Q874	86
Uganda	2016	25.0	49.0	Q1036	87
Vietnam	2014	73.0	78.0	Q881	88
West Bank and Gaza	2014	49.0	66.0	Q407199	89
Yemen, Rep.	2013	15.0	50.0	Q805	90
Zambia	2014	39.0	62.0	Q953	91
Zimbabwe	2015	63.0	73.0	Q954	92
