Country	Consumption	ID	id_row
Afghanistan	57.0	Q889	0
Albania	65.0	Q222	1
Algeria	82.0	Q262	2
Angola	82.0	Q916	3
Armenia	99.0	Q399	4
Azerbaijan	93.0	Q227	5
Bangladesh	68.0	Q902	6
Belize	85.0	Q242	7
Benin	85.0	Q962	8
Bolivia	86.0	Q750	9
Burundi	89.0	Q967	10
Cambodia	68.0	Q424	11
Cameroon	86.0	Q1009	12
Chad	77.0	Q657	13
China	96.0	Q148	14
Congo, Dem. Rep.	82.0	Q974	15
Congo, Rep.	91.0	Q971	16
Cote d'Ivoire	80.0	Q1008	17
Egypt, Arab Rep.	93.0	Q79	18
Eswatini	90.0	Q1050	19
Ethiopia	86.0	Q115	20
Gambia, The	69.0	Q1005	21
Ghana	64.0	Q117	22
Guinea	73.0	Q1006	23
Guinea-Bissau	26.0	Q1007	24
Guyana	43.0	Q734	25
Haiti	8.0	Q790	26
India	93.0	Q668	27
Indonesia	92.0	Q252	28
Iraq	68.0	Q796	29
Kazakhstan	94.0	Q232	30
Kenya	95.0	Q114	31
Kyrgyz Republic	99.0	Q813	32
Lao PDR	94.0	Q819	33
Lesotho	85.0	Q1013	34
Liberia	91.0	Q1014	35
Malawi	78.0	Q1020	36
Mali	90.0	Q912	37
Mauritania	8.0	Q1025	38
Mongolia	80.0	Q711	39
Myanmar	81.0	Q836	40
Namibia	74.0	Q1030	41
Nepal	94.0	Q837	42
Niger	59.0	Q1032	43
Oman	88.0	Q842	44
Peru	89.0	Q419	45
Philippines	52.0	Q928	46
Rwanda	91.0	Q1037	47
Samoa	96.0	Q683	48
Sao Tome and Principe	91.0	Q1039	49
Senegal	62.0	Q1041	50
Sierra Leone	85.0	Q1044	51
Solomon Islands	88.0	Q685	52
South Africa	91.0	Q258	53
Sri Lanka	95.0	Q854	54
Sudan	34.0	Q1049	55
Tajikistan	91.0	Q863	56
Tanzania	76.0	Q924	57
Thailand	85.0	Q869	58
Timor-Leste	84.0	Q574	59
Togo	77.0	Q945	60
Turkmenistan	100.0	Q874	61
Uganda	91.0	Q1036	62
Vanuatu	63.0	Q686	63
West Bank and Gaza	88.0	Q407199	64
Yemen, Rep.	49.0	Q805	65
Zambia	88.0	Q953	66
