Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Afghanistan	2015	57.0	59.0	Q889	0
Albania	2018	54.0	79.0	Q222	1
Algeria	2013	54.0	61.0	Q262	2
Angola	2016	36.0	72.0	Q916	3
Argentina	2012	86.0	91.0	Q414	4
Armenia	2016	88.0	92.0	Q399	5
Bangladesh	2014	90.0	90.0	Q902	6
Benin	2018	32.0	49.0	Q962	7
Bolivia	2008	58.0	75.0	Q750	8
Burkina Faso	2010	34.0	57.0	Q965	9
Burundi	2017	48.0	59.0	Q967	10
Cambodia	2014	56.0	61.0	Q424	11
Cameroon	2014	35.0	65.0	Q1009	12
Chad	2015	32.0	48.0	Q657	13
Colombia	2010	67.0	82.0	Q739	14
Comoros	2012	60.0	76.0	Q970	15
Congo, Dem. Rep.	2014	52.0	59.0	Q974	16
Congo, Rep.	2016	44.0	62.0	Q971	17
Cote d'Ivoire	2016	52.0	69.0	Q1008	18
Dominican Republic	2014	59.0	72.0	Q786	19
Egypt, Arab Rep.	2014	39.0	43.0	Q79	20
Eswatini	2014	97.0	87.0	Q1050	21
Ethiopia	2016	44.0	58.0	Q115	22
Gabon	2012	64.0	60.0	Q1000	23
Gambia, The	2018	77.0	66.0	Q1005	24
Ghana	2014	56.0	70.0	Q117	25
Guatemala	2015	61.0	69.0	Q774	26
Guinea	2018	50.0	69.0	Q1006	27
Guinea-Bissau	2014	60.0	72.0	Q1007	28
Guyana	2014	69.0	42.0	Q734	29
Haiti	2017	55.0	73.0	Q790	30
Honduras	2012	72.0	68.0	Q783	31
India	2016	53.0	71.0	Q668	32
Indonesia	2017	61.0	68.0	Q252	33
Iraq	2018	34.0	76.0	Q796	34
Jordan	2018	58.0	86.0	Q810	35
Kenya	2014	69.0	74.0	Q114	36
Kyrgyz Republic	2018	68.0	68.0	Q813	37
Lao PDR	2017	54.0	76.0	Q819	38
Lesotho	2018	71.0	77.0	Q1013	39
Liberia	2013	74.0	64.0	Q1014	40
Madagascar	2009	52.0	67.0	Q1019	41
Malawi	2016	78.0	75.0	Q1020	42
Maldives	2017	90.0	100.0	Q826	43
Mali	2018	41.0	44.0	Q912	44
Mauritania	2015	44.0	57.0	Q1025	45
Mexico	2015	84.0	92.0	Q96	46
Mongolia	2018	75.0	88.0	Q711	47
Mozambique	2015	45.0	67.0	Q1029	48
Myanmar	2016	69.0	73.0	Q836	49
Namibia	2013	73.0	79.0	Q1030	50
Nepal	2016	66.0	79.0	Q837	51
Niger	2012	46.0	62.0	Q1032	52
Nigeria	2018	45.0	70.0	Q1033	53
Pakistan	2018	43.0	48.0	Q843	54
Papua New Guinea	2018	52.0	76.0	Q691	55
Paraguay	2016	82.0	59.0	Q733	56
Peru	2012	60.0	75.0	Q419	57
Philippines	2017	62.0	56.0	Q928	58
Rwanda	2015	38.0	49.0	Q1037	59
Sao Tome and Principe	2014	75.0	81.0	Q1039	60
Senegal	2017	58.0	56.0	Q1041	61
Sierra Leone	2017	82.0	74.0	Q1044	62
South Africa	2016	84.0	79.0	Q258	63
Sudan	2014	88.0	95.0	Q1049	64
Suriname	2018	63.0	70.0	Q730	65
Tajikistan	2017	67.0	79.0	Q863	66
Tanzania	2016	45.0	62.0	Q924	67
Thailand	2016	83.0	84.0	Q869	68
Timor-Leste	2016	75.0	78.0	Q574	69
Togo	2014	52.0	40.0	Q945	70
Tunisia	2018	44.0	87.0	Q948	71
Uganda	2016	54.0	60.0	Q1036	72
Vietnam	2014	63.0	72.0	Q881	73
West Bank and Gaza	2014	64.0	68.0	Q407199	74
Yemen, Rep.	2013	59.0	56.0	Q805	75
Zambia	2014	70.0	76.0	Q953	76
Zimbabwe	2015	76.0	79.0	Q954	77
