Country	Poorestquintile	Richestquintile	Male	female	Urban	Rural	ID	id_row
Albania	71.0	88.0	84.0	94.0	86.0	90.0	Q222	0
Bangladesh	56.0	85.0	73.0	85.0	73.0	79.0	Q902	1
Bhutan	65.0	92.0	85.0	92.0	86.0	90.0	Q917	2
Bolivia	100.0	101.0	100.0	104.0	101.0	103.0	Q750	3
Cameroon	47.0	134.0	97.0	82.0	114.0	74.0	Q1009	4
Central African Republic	26.0	107.0	75.0	49.0	88.0	46.0	Q929	5
Chad	34.0	96.0	65.0	35.0	93.0	39.0	Q657	6
Colombia	97.0	100.0	101.0	103.0	103.0	100.0	Q739	7
Dominican Republic	80.0	107.0	112.0	91.0	101.0	100.0	Q786	8
Egypt, Arab Rep.	79.0	85.0	93.0	88.0	88.0	92.0	Q79	9
Eswatini	72.0	112.0	80.0	106.0	90.0	93.0	Q1050	10
Ghana	88.0	77.0	97.0	82.0	93.0	87.0	Q117	11
Guyana	114.0	83.0	95.0	108.0	78.0	111.0	Q734	12
Haiti	71.0	139.0	95.0	108.0	126.0	87.0	Q790	13
Honduras	76.0	100.0	88.0	99.0	98.0	89.0	Q783	14
Kenya	74.0	103.0	92.0	99.0	102.0	93.0	Q114	15
Kosovo	100.0	92.0	93.0	100.0	93.0	98.0	Q1246	16
Kyrgyz Republic	119.0	97.0	111.0	111.0	103.0	114.0	Q813	17
Madagascar	29.0	106.0	67.0	75.0	111.0	66.0	Q1019	18
Malawi	60.0	110.0	90.0	90.0	99.0	89.0	Q1020	19
Maldives	115.0	126.0	118.0	122.0	142.0	113.0	Q826	20
Montenegro	113.0	97.0	88.0	108.0	89.0	111.0	Q236	21
Niger	33.0	91.0	65.0	52.0	92.0	51.0	Q1032	22
Nigeria	38.0	92.0	84.0	72.0	94.0	71.0	Q1033	23
North Macedonia	91.0	117.0	107.0	99.0	105.0	101.0	Q221	24
Peru	102.0	98.0	95.0	96.0	92.0	101.0	Q419	25
Sao Tome and Principe	90.0	125.0	111.0	131.0	130.0	109.0	Q1039	26
Senegal	51.0	73.0	60.0	71.0	83.0	57.0	Q1041	27
Sierra Leone	53.0	90.0	81.0	71.0	85.0	71.0	Q1044	28
Suriname	56.0	121.0	80.0	106.0	101.0	76.0	Q730	29
Vietnam	102.0	95.0	105.0	101.0	100.0	105.0	Q881	30
