Country	Millions	Debt	Reserves	ID	id_row
Afghanistan	364.0	14.0	4.4	Q889	0
Albania	2165.0	21.4	55.6	Q222	1
Algeria	2319.0	40.6	2.7	Q262	2
Angola	2312.0	4.2	15.0	Q916	3
Argentina	67583.0	24.1	102.1	Q414	4
Armenia	1134.0	10.3	50.2	Q399	5
Azerbaijan	570.0	3.5	8.5	Q227	6
Bangladesh	9031.0	17.3	28.2	Q902	7
Belarus	9602.0	24.7	134.2	Q184	8
Belize	4.0	0.3	1.2	Q242	9
Bhutan	4.0	0.2	0.4	Q917	10
Bolivia	703.0	5.3	7.9	Q750	11
Bosnia and Herzegovina	267.0	1.7	3.9	Q225	12
Botswana	251.0	14.3	3.8	Q963	13
Brazil	66844.0	12.0	17.8	Q155	14
Bulgaria	9695.0	24.3	33.8	Q219	15
Burundi	0.0	0.0	0.4	Q967	16
Cabo Verde	2.0	0.1	0.2	Q1011	17
Cambodia	2366.0	17.7	17.0	Q424	18
Cameroon	433.0	4.0	12.5	Q1009	19
Central African Republic	90.0	11.6	25.0	Q929	20
Chad	14.0	0.4	9.6	Q657	21
China	1218901.0	62.1	38.5	Q148	22
Colombia	15105.0	11.2	31.5	Q739	23
Comoros	1.0	0.6	0.6	Q970	24
Congo, Dem. Rep.	97.0	1.9	14.6	Q974	25
Congo, Rep.	305.0	5.9	71.9	Q971	26
Costa Rica	3370.0	12.1	44.9	Q800	27
Djibouti	244.0	7.5	53.7	Q977	28
Dominica	13.0	4.7	6.9	Q784	29
Dominican Republic	2118.0	6.2	27.4	Q786	30
Ecuador	751.0	1.7	34.8	Q736	31
Egypt, Arab Rep.	10341.0	10.5	24.7	Q79	32
El Salvador	2070.0	11.8	58.0	Q792	33
Eritrea	35.0	4.4	21.4	Q986	34
Ethiopia	749.0	2.7	18.8	Q115	35
Fiji	45.0	5.2	4.7	Q712	36
Gabon	187.0	2.8	14.2	Q1000	37
Gambia, The	18.0	2.6	9.4	Q1005	38
Georgia	2669.0	15.6	81.1	Q230	39
Ghana	3634.0	15.6	57.7	Q117	40
Grenada	118.0	18.3	50.4	Q769	41
Guatemala	914.0	4.1	7.3	Q774	42
Guinea	152.0	6.0	12.6	Q1006	43
Guyana	125.0	7.8	24.1	Q734	44
Haiti	0.0	0.0	0.0	Q790	45
Honduras	702.0	7.2	14.7	Q783	46
India	104171.0	20.0	26.1	Q668	47
Indonesia	47960.0	12.6	39.7	Q252	48
Jamaica	1993.0	12.2	56.4	Q766	49
Kazakhstan	8365.0	5.3	27.0	Q232	50
Kenya	2546.0	8.1	31.1	Q114	51
Kosovo	796.0	34.7	90.3	Q1246	52
Kyrgyz Republic	460.0	5.7	21.3	Q813	53
Lao PDR	404.0	2.6	41.2	Q819	54
Lebanon	5547.0	7.0	10.6	Q822	55
Lesotho	1.0	0.1	0.1	Q1013	56
Liberia	0.0	0.0	0.0	Q1014	57
North Macedonia	1344.0	15.4	40.9	Q221	58
Madagascar	271.0	7.3	15.6	Q1019	59
Malawi	23.0	1.0	3.0	Q1020	60
Maldives	263.0	11.3	36.4	Q826	61
Mauritania	1052.0	20.2	112.6	Q1025	62
Mauritius	4794.0	42.8	75.5	Q1027	63
Mexico	61095.0	13.5	34.6	Q96	64
Moldova	1910.0	26.2	63.8	Q217	65
Mongolia	3098.0	10.5	87.3	Q711	66
Montenegro	207.0	2.6	17.2	Q236	67
Morocco	7446.0	15.2	30.4	Q1028	68
Mozambique	1231.0	8.1	37.8	Q1029	69
Myanmar	879.0	5.9	15.6	Q836	70
Nepal	252.0	4.6	3.0	Q837	71
Nicaragua	1363.0	11.7	60.3	Q811	72
Nigeria	0.0	0.0	0.0	Q1033	73
Pakistan	8302.0	9.1	70.1	Q843	74
Papua New Guinea	462.0	2.6	20.6	Q691	75
Paraguay	4640.0	29.4	60.3	Q733	76
Peru	9998.0	15.0	16.6	Q419	77
Philippines	16068.0	20.4	20.3	Q928	78
Romania	15863.0	14.1	37.7	Q218	79
Russian Federation	48300.0	10.6	10.3	Q159	80
Rwanda	105.0	1.9	8.5	Q1037	81
Samoa	0.0	0.0	0.0	Q683	82
Sao Tome and Principe	10.0	3.9	22.5	Q1039	83
Serbia	2113.0	6.2	16.4	Q403	84
Sierra Leone	189.0	11.0	37.5	Q1044	85
Solomon Islands	43.0	11.1	7.0	Q685	86
South Africa	36630.0	20.4	70.9	Q258	87
Sri Lanka	8181.0	15.5	118.2	Q854	88
St. Lucia	91.0	14.8	31.9	Q760	89
St. Vincent and the Grenadines	0.0	0.0	0.0	Q757	90
Eswatini	24.0	4.7	5.4	Q1050	91
Tajikistan	874.0	14.6	68.0	Q863	92
Tanzania	1812.0	9.7	35.9	Q924	93
Thailand	60305.0	35.6	29.3	Q869	94
Timor-Leste	3.0	1.6	0.4	Q574	95
Tonga	0.0	0.0	0.0	Q678	96
Tunisia	8093.0	23.3	143.0	Q948	97
Turkey	115421.0	25.9	124.1	Q43	98
Uganda	509.0	4.1	15.2	Q1036	99
Ukraine	20690.0	18.1	99.4	Q212	100
Uzbekistan	722.0	4.1	2.7	Q265	101
Vanuatu	45.0	11.2	10.7	Q686	102
Vietnam	19585.0	18.1	35.3	Q881	103
Zambia	667.0	3.5	42.5	Q953	104
Zimbabwe	3374.0	27.5	3880.6	Q954	105
