Country	Index	ID	id_row
Albania	4.0	Q222	0
Algeria	3.4	Q262	1
Angola	1.08	Q916	2
Argentina	2.8	Q414	3
Armenia	3.8	Q399	4
Australia	5.0	Q408	5
Austria	5.03	Q40	6
Azerbaijan	4.4	Q227	7
Bahrain	5.2	Q398	8
Bangladesh	3.6	Q902	9
Barbados	4.0	Q244	10
Belgium	5.02	Q31	11
Benin	3.5	Q962	12
Bhutan	4.5	Q917	13
Bolivia	3.4	Q750	14
Bosnia and Herzegovina	3.3	Q225	15
Botswana	4.04	Q963	16
Brazil	3.0	Q155	17
Brunei Darussalam	4.0	Q921	18
Bulgaria	3.09	Q219	19
Burkina Faso	3.6	Q965	20
Burundi	3.03	Q967	21
Cabo Verde	3.6	Q1011	22
Cambodia	2.9	Q424	23
Cameroon	3.4	Q1009	24
Canada	5.2	Q16	25
Chad	2.4	Q657	26
Chile	5.0	Q298	27
China	4.6	Q148	28
Hong Kong SAR, China	6.0	Q8646	29
Colombia	3.8	Q739	30
Congo, Dem. Rep.	3.1	Q974	31
Costa Rica	3.7	Q800	32
Cote d'Ivoire	4.01	Q1008	33
Croatia	4.2	Q224	34
Cyprus	4.7	Q229	35
Czech Republic	4.9	Q213	36
Denmark	5.2	Q35	37
Dominican Republic	4.4	Q786	38
Ecuador	3.5	Q736	39
Egypt, Arab Rep.	3.9	Q79	40
El Salvador	2.8	Q792	41
Estonia	5.5	Q191	42
Ethiopia	3.6	Q115	43
Finland	6.3	Q33	44
France	4.8	Q142	45
Gabon	3.5	Q1000	46
Gambia, The	4.7	Q1005	47
Georgia	5.4	Q230	48
Germany	5.3	Q183	49
Ghana	3.9	Q117	50
Greece	4.1	Q41	51
Guatemala	3.2	Q774	52
Guinea	5.3	Q1006	53
Guyana	3.6	Q734	54
Haiti	2.5	Q790	55
Honduras	3.3	Q783	56
Hungary	5.0	Q28	57
Iceland	5.0	Q189	58
India	4.6	Q668	59
Indonesia	4.2	Q252	60
Iran, Islamic Rep.	3.6	Q794	61
Ireland	5.4	Q27	62
Israel	4.7	Q801	63
Italy	4.3	Q38	64
Jamaica	4.0	Q766	65
Japan	5.0	Q17	66
Jordan	4.8	Q810	67
Kazakhstan	3.9	Q232	68
Kenya	4.1	Q114	69
Korea, Rep.	4.6	Q884	70
Kuwait	3.6	Q817	71
Kyrgyz Republic	3.6	Q813	72
Lao PDR	3.8	Q819	73
Latvia	4.3	Q211	74
Lebanon	3.2	Q822	75
Lesotho	3.1	Q1013	76
Liberia	3.6	Q1014	77
Libya	2.6	Q1016	78
Lithuania	4.06	Q37	79
Luxembourg	5.5	Q32	80
North Macedonia	4.6	Q221	81
Madagascar	3.2	Q1019	82
Malawi	3.5	Q1020	83
Malaysia	5.1	Q833	84
Mali	3.4	Q912	85
Malta	4.9	Q233	86
Mauritania	2.4	Q1025	87
Mauritius	4.6	Q1027	88
Mexico	4.01	Q96	89
Moldova	3.9	Q217	90
Mongolia	3.5	Q711	91
Montenegro	4.2	Q236	92
Morocco	4.5	Q1028	93
Mozambique	3.5	Q1029	94
Myanmar	3.0	Q836	95
Namibia	4.2	Q1030	96
Nepal	3.4	Q837	97
Netherlands	5.08	Q55	98
New Zealand	5.8	Q664	99
Nicaragua	2.2	Q811	100
Nigeria	2.9	Q1033	101
Norway	5.2	Q20	102
Oman	4.5	Q842	103
Pakistan	3.7	Q843	104
Panama	4.5	Q804	105
Paraguay	3.6	Q733	106
Peru	4.0	Q419	107
Philippines	3.0	Q928	108
Poland	4.6	Q36	109
Portugal	5.1	Q45	110
Puerto Rico	5.1	Q1183	111
Qatar	5.1	Q846	112
Romania	4.2	Q218	113
Russian Federation	4.0	Q159	114
Rwanda	5.3	Q1037	115
Saudi Arabia	4.08	Q851	116
Senegal	4.6	Q1041	117
Serbia	3.9	Q403	118
Seychelles	3.9	Q1042	119
Sierra Leone	3.03	Q1044	120
Singapore	6.3	Q334	121
Slovak Republic	4.05	Q214	122
Slovenia	5.0	Q215	123
South Africa	4.2	Q258	124
Spain	4.7	Q29	125
Sri Lanka	3.9	Q854	126
Suriname	3.4	Q730	127
Eswatini	4.1	Q1050	128
Sweden	5.06	Q34	129
Switzerland	5.4	Q39	130
Tajikistan	4.2	Q863	131
Tanzania	3.8	Q924	132
Thailand	4.0	Q869	133
Timor-Leste	3.1	Q574	134
Trinidad and Tobago	3.3	Q754	135
Tunisia	3.1	Q948	136
Turkey	3.9	Q43	137
Uganda	4.2	Q1036	138
Ukraine	3.0	Q212	139
United Arab Emirates	6.0	Q878	140
United Kingdom	5.5	Q145	141
United States	5.6	Q30	142
Uruguay	4.5	Q77	143
Venezuela, RB	2.2	Q717	144
Vietnam	3.7	Q881	145
Yemen, Rep.	2.7	Q805	146
Zambia	3.7	Q953	147
Zimbabwe	2.9	Q954	148
