Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Afghanistan	2015	94.0	77.0	Q889	0
Albania	2018	66.0	12.0	Q222	1
Angola	2016	86.0	58.0	Q916	2
Armenia	2016	72.0	58.0	Q399	3
Benin	2018	70.0	47.0	Q962	4
Bolivia	2008	95.0	78.0	Q750	5
Burkina Faso	2018	90.0	61.0	Q965	6
Burundi	2017	83.0	49.0	Q967	7
Cambodia	2014	88.0	54.0	Q424	8
Cameroon	2014	46.0	35.0	Q1009	9
Chad	2015	29.0	25.0	Q657	10
Comoros	2012	78.0	75.0	Q970	11
Congo, Dem. Rep.	2014	87.0	59.0	Q974	12
Congo, Rep.	2016	85.0	62.0	Q971	13
Cote d'Ivoire	2016	88.0	65.0	Q1008	14
Dominican Republic	2014	65.0	37.0	Q786	15
Egypt, Arab Rep.	2014	63.0	38.0	Q79	16
Ethiopia	2016	85.0	48.0	Q115	17
Gabon	2012	88.0	71.0	Q1000	18
Gambia, The	2018	59.0	24.0	Q1005	19
Ghana	2016	68.0	33.0	Q117	20
Guatemala	2015	85.0	58.0	Q774	21
Guinea	2018	82.0	48.0	Q1006	22
Guyana	2014	59.0	27.0	Q734	23
Haiti	2017	92.0	63.0	Q790	24
Honduras	2012	85.0	57.0	Q783	25
India	2016	79.0	37.0	Q668	26
Indonesia	2017	47.0	29.0	Q252	27
Jordan	2018	64.0	31.0	Q810	28
Kenya	2015	68.0	24.0	Q114	29
Kyrgyz Republic	2018	54.0	24.0	Q813	30
Lesotho	2018	61.0	25.0	Q1013	31
Liberia	2016	84.0	43.0	Q1014	32
Madagascar	2016	39.0	27.0	Q1019	33
Malawi	2017	84.0	57.0	Q1020	34
Maldives	2017	62.0	58.0	Q826	35
Mali	2018	62.0	32.0	Q912	36
Mozambique	2018	89.0	26.0	Q1029	37
Myanmar	2016	71.0	31.0	Q836	38
Namibia	2013	74.0	20.0	Q1030	39
Nepal	2016	94.0	67.0	Q837	40
Niger	2012	79.0	59.0	Q1032	41
Nigeria	2018	70.0	33.0	Q1033	42
Pakistan	2018	80.0	48.0	Q843	43
Papua New Guinea	2018	90.0	52.0	Q691	44
Peru	2012	95.0	72.0	Q419	45
Philippines	2017	72.0	36.0	Q928	46
Rwanda	2017	82.0	32.0	Q1037	47
Sao Tome and Principe	2014	89.0	91.0	Q1039	48
Senegal	2017	78.0	25.0	Q1041	49
Sierra Leone	2017	80.0	56.0	Q1044	50
South Africa	2016	27.0	10.0	Q258	51
Tajikistan	2017	66.0	25.0	Q863	52
Tanzania	2017	80.0	48.0	Q924	53
Timor-Leste	2016	82.0	55.0	Q574	54
Togo	2017	78.0	48.0	Q945	55
Uganda	2016	78.0	37.0	Q1036	56
Yemen, Rep.	2013	99.0	81.0	Q805	57
Zambia	2014	75.0	25.0	Q953	58
Zimbabwe	2015	81.0	34.0	Q954	59
