Country	GDP1990	GDP2015	ID	id_row
Albania	6.1	14.6	Q222	0
Algeria	10.0	8.5	Q262	1
Angola	11.6	15.1	Q916	2
Argentina	10.0	11.6	Q414	3
Armenia	2.4	10.8	Q399	4
Australia	6.2	8.8	Q408	5
Austria	11.6	14.0	Q40	6
Azerbaijan	2.5	9.9	Q227	7
Bahrain	3.7	4.6	Q398	8
Bangladesh	12.3	15.3	Q902	9
Belarus	2.0	6.5	Q184	10
Belgium	7.4	10.6	Q31	11
Benin	6.5	7.1	Q962	12
Bolivia	12.1	9.9	Q750	13
Botswana	9.6	13.3	Q963	14
Brazil	11.2	10.5	Q155	15
Brunei Darussalam	10.7	7.4	Q921	16
Bulgaria	3.7	7.6	Q219	17
Cameroon	7.6	10.0	Q1009	18
Canada	4.2	6.3	Q16	19
Chile	9.0	11.8	Q298	20
China	1.9	5.3	Q148	21
Hong Kong SAR, China	19.1	28.6	Q8646	22
Colombia	11.5	19.3	Q739	23
Congo, Dem. Rep.	5.3	2.6	Q974	24
Congo, Rep.	10.6	6.8	Q971	25
Costa Rica	17.8	17.2	Q800	26
Cote d'Ivoire	12.3	6.8	Q1008	27
Cyprus	10.7	14.3	Q229	28
Czech Republic	4.9	9.4	Q213	29
Denmark	11.6	18.8	Q35	30
Dominican Republic	11.0	19.3	Q786	31
Ecuador	13.4	13.6	Q736	32
Egypt, Arab Rep.	10.6	12.5	Q79	33
El Salvador	11.2	12.4	Q792	34
Ethiopia	1.6	3.4	Q115	35
Finland	5.8	7.6	Q33	36
France	8.8	11.8	Q142	37
Gabon	14.6	5.7	Q1000	38
Georgia	4.3	10.4	Q230	39
Germany	8.3	13.4	Q183	40
Ghana	6.5	14.1	Q117	41
Greece	11.6	13.1	Q41	42
Guatemala	11.4	9.2	Q774	43
Haiti	9.9	4.5	Q790	44
Honduras	8.3	8.7	Q783	45
Hungary	6.3	11.3	Q28	46
Iceland	3.9	3.0	Q189	47
India	5.2	8.0	Q668	48
Indonesia	8.3	11.1	Q252	49
Iran, Islamic Rep.	7.0	4.3	Q794	50
Iraq	6.9	7.2	Q796	51
Ireland	9.4	25.3	Q27	52
Israel	10.0	13.5	Q801	53
Italy	14.2	16.3	Q38	54
Jamaica	7.5	9.7	Q766	55
Japan	9.0	11.6	Q17	56
Jordan	8.1	11.0	Q810	57
Kazakhstan	3.0	5.5	Q232	58
Kenya	7.1	7.3	Q114	59
Korea, Rep.	5.8	7.2	Q884	60
Kuwait	7.6	6.2	Q817	61
Kyrgyz Republic	3.0	7.3	Q813	62
Lebanon	10.8	14.2	Q822	63
Luxembourg	7.7	16.9	Q32	64
North Macedonia	9.1	11.4	Q221	65
Malaysia	8.5	8.0	Q833	66
Malta	9.2	20.1	Q233	67
Mauritius	12.7	17.3	Q1027	68
Mexico	10.2	12.5	Q96	69
Mongolia	3.2	6.0	Q711	70
Morocco	12.5	12.6	Q1028	71
Mozambique	1.0	2.7	Q1029	72
Myanmar	2.4	10.9	Q836	73
Namibia	13.1	12.9	Q1030	74
Nepal	4.6	6.5	Q837	75
Netherlands	8.3	12.6	Q55	76
New Zealand	7.2	9.1	Q664	77
Nicaragua	7.1	9.1	Q811	78
Nigeria	4.7	7.2	Q1033	79
Norway	8.3	10.6	Q20	80
Oman	11.6	5.1	Q842	81
Pakistan	7.3	9.1	Q843	82
Panama	17.8	25.3	Q804	83
Paraguay	11.6	14.8	Q733	84
Peru	11.9	15.0	Q419	85
Philippines	9.1	14.7	Q928	86
Poland	4.2	11.2	Q36	87
Portugal	14.0	14.6	Q45	88
Romania	4.9	14.4	Q218	89
Russian Federation	3.6	5.4	Q159	90
Saudi Arabia	11.6	7.0	Q851	91
Senegal	10.2	10.3	Q1041	92
Singapore	9.9	17.1	Q334	93
Slovak Republic	3.5	9.8	Q214	94
Slovenia	7.7	10.7	Q215	95
South Africa	4.2	4.8	Q258	96
Spain	11.9	14.6	Q29	97
Sri Lanka	12.2	22.2	Q854	98
Sudan	4.2	10.4	Q1049	99
Sweden	6.3	10.1	Q34	100
Switzerland	15.3	22.4	Q39	101
Tajikistan	3.9	8.0	Q863	102
Tanzania	3.5	4.5	Q924	103
Thailand	9.6	8.1	Q869	104
Togo	4.0	3.0	Q945	105
Trinidad and Tobago	2.1	2.0	Q754	106
Tunisia	9.1	11.1	Q948	107
Turkey	13.0	15.8	Q43	108
Turkmenistan	1.5	2.5	Q874	109
Ukraine	3.2	5.0	Q212	110
United Arab Emirates	10.0	8.2	Q878	111
United Kingdom	8.5	16.2	Q145	112
United States	5.3	8.6	Q30	113
Uruguay	14.0	14.8	Q77	114
Uzbekistan	1.5	3.9	Q265	115
Vietnam	6.4	8.8	Q881	116
Zambia	3.2	5.3	Q953	117
Zimbabwe	3.7	3.5	Q954	118
