Country	O	A	B	AB	O	A	B	AB	ID	id_row
Albania	34.1	31.2	14.5	5.2	6.0	5.5	2.6	0.9	Q222	0
Argentina	45.4	34.26	8.59	2.64	8.4	0.44	0.21	0.06	Q414	1
Armenia	29.0	46.3	12.0	5.6	2.0	3.7	1.0	0.4	Q399	2
Australia	40.0	31.0	8.0	2.0	9.0	7.0	2.0	1.0	Q408	3
Austria	30.0	37.0	12.0	5.0	6.0	7.0	2.0	1.0	Q40	4
Azerbaijan	29.8	30.0	21.1	9.0	3.3	3.4	2.4	1.0	Q227	5
Bahrain	48.48	19.35	22.61	3.67	3.27	1.33	1.04	0.25	Q398	6
Bangladesh	31.8	21.44	34.58	8.85	1.39	0.96	0.96	0.64	Q902	7
Belgium	36.0	37.0	9.0	3.0	6.0	7.0	1.0	1.0	Q31	8
Bolivia	51.53	29.45	10.11	1.15	4.39	2.73	0.54	0.1	Q750	9
Bosnia and Herzegovina	31.0	36.0	12.0	6.0	5.0	7.0	2.0	1.0	Q225	10
Brazil	36.0	34.0	8.0	2.5	9.0	8.0	2.0	0.5	Q155	11
Bulgaria	28.0	37.4	12.8	6.8	5.0	6.6	2.2	1.2	Q219	12
Cambodia	46.7	27.2	18.5	4.9	1.3	0.8	0.5	0.1	Q424	13
Cameroon	42.8	38.8	12.0	3.3	1.4	1.2	0.4	0.1	Q1009	14
Canada	39.0	36.0	7.6	2.5	7.0	6.0	1.4	0.5	Q16	15
Chile	56.62	27.16	8.78	1.9	3.29	1.63	0.49	0.13	Q298	16
China	47.7	27.8	18.9	5.0	0.28	0.19	0.1	0.03	Q148	17
Colombia	56.3	26.11	7.28	1.47	5.13	2.7	0.7	0.31	Q739	18
Costa Rica	49.7	28.5	12.4	3.0	3.4	1.9	0.9	0.2	Q800	19
Croatia	29.0	36.0	15.0	5.0	5.0	6.0	3.0	1.0	Q224	20
Cuba	45.8	33.5	10.2	2.9	3.6	2.8	1.0	0.2	Q241	21
Cyprus	35.22	40.35	11.11	4.72	3.85	3.48	0.87	0.4	Q229	22
Czech Republic	27.0	36.0	15.0	7.0	5.0	6.0	3.0	1.0	Q213	23
Democratic Republic of the Congo	59.5	21.3	15.2	2.4	1.0	0.3	0.2	0.1	Q974	24
Denmark	35.0	37.0	8.0	4.0	6.0	7.0	2.0	1.0	Q35	25
Dominican Republic	46.2	26.4	16.9	3.1	3.7	2.1	1.4	0.2	Q786	26
Ecuador	75.0	14.0	7.1	0.5	2.38	0.7	0.3	0.02	Q736	27
Egypt	52.0	24.0	12.4	3.8	5.0	2.0	0.6	0.2	Q79	28
El Salvador	62.0	23.0	11.0	1.0	1.0	1.0	0.7	0.3	Q792	29
Estonia	29.5	30.8	20.7	6.3	4.3	4.5	3.0	0.9	Q191	30
Ethiopia	39.0	28.0	21.0	5.0	3.0	2.0	1.0	1.0	Q115	31
Fiji	43.0	33.3	16.5	4.8	1.0	0.7	0.5	0.2	Q712	32
Finland	28.0	35.0	16.0	7.0	5.0	6.0	2.0	1.0	Q33	33
France	36.0	37.0	9.0	3.0	6.0	7.0	1.0	1.0	Q142	34
