Country	Mostrecentyear	Tariff	ID	id_row
Albania	2017	1.3	Q222	0
Angola	2016	17.6	Q916	1
Antigua and Barbuda	2017	13.4	Q781	2
Argentina	2017	1.6	Q414	3
Armenia	2017	1.7	Q399	4
Australia	2017	0.6	Q408	5
Austria	2017	1.7	Q40	6
Bahrain	2017	21.7	Q398	7
Bangladesh	2016	7.9	Q902	8
Barbados	2013	16.2	Q244	9
Belgium	2017	1.7	Q31	10
Belize	2017	8.0	Q242	11
Benin	2017	19.9	Q962	12
Bolivia	2017	6.0	Q750	13
Botswana	2017	0.8	Q963	14
Brazil	2017	2.9	Q155	15
Brunei Darussalam	2017	0.0	Q921	16
Bulgaria	2017	1.7	Q219	17
Burkina Faso	2017	15.2	Q965	18
Burundi	2016	6.7	Q967	19
Cabo Verde	2015	11.5	Q1011	20
Cambodia	2016	11.0	Q424	21
Cameroon	2014	11.1	Q1009	22
Canada	2017	4.3	Q16	23
Central African Republic	2017	17.2	Q929	24
Chad	2016	17.5	Q657	25
Chile	2017	0.6	Q298	26
China	2017	2.7	Q148	27
Hong Kong SAR, China	2017	0.0	Q8646	28
Macao SAR, China	2017	0.0	Q14773	29
Colombia	2017	4.1	Q739	30
Congo, Dem. Rep.	2014	11.0	Q974	31
Congo, Rep.	2015	17.0	Q971	32
Costa Rica	2016	2.6	Q800	33
Cote d'Ivoire	2017	13.5	Q1008	34
Croatia	2017	1.7	Q224	35
Cuba	2017	4.8	Q241	36
Czech Republic	2017	1.7	Q213	37
Denmark	2017	1.7	Q35	38
Djibouti	2014	14.1	Q977	39
Dominica	2017	7.3	Q784	40
Dominican Republic	2017	3.5	Q786	41
Ecuador	2017	2.5	Q736	42
Egypt, Arab Rep.	2017	8.5	Q79	43
El Salvador	2017	1.7	Q792	44
Estonia	2017	1.7	Q191	45
Fiji	2017	25.7	Q712	46
Finland	2017	1.7	Q33	47
France	2017	1.7	Q142	48
Gabon	2016	17.3	Q1000	49
Gambia, The	2013	12.2	Q1005	50
Georgia	2016	1.1	Q230	51
Germany	2017	1.7	Q183	52
Ghana	2017	13.4	Q117	53
Greece	2017	1.7	Q41	54
Grenada	2016	14.7	Q769	55
Guatemala	2015	1.2	Q774	56
Guinea	2017	15.9	Q1006	57
Guinea-Bissau	2017	17.8	Q1007	58
Guyana	2017	5.6	Q734	59
Haiti	2016	7.0	Q790	60
Honduras	2015	2.7	Q783	61
Hungary	2017	1.7	Q28	62
Iceland	2017	6.3	Q189	63
India	2017	4.6	Q668	64
Indonesia	2017	2.3	Q252	65
Ireland	2017	1.7	Q27	66
Israel	2017	5.2	Q801	67
Italy	2017	1.7	Q38	68
Jamaica	2016	11.4	Q766	69
Japan	2017	4.5	Q17	70
Jordan	2017	6.1	Q810	71
Kazakhstan	2017	1.8	Q232	72
Kenya	2016	13.7	Q114	73
Korea, Rep.	2017	10.0	Q884	74
Kuwait	2017	9.5	Q817	75
Kyrgyz Republic	2017	0.6	Q813	76
Lao PDR	2017	2.8	Q819	77
Latvia	2017	1.7	Q211	78
Lesotho	2017	0.3	Q1013	79
Lithuania	2017	1.7	Q37	80
