Country	averageannual	ID	id_row
Afghanistan	1.1	Q889	0
Albania	5.3	Q222	1
Algeria	0.0	Q262	2
American Samoa	0.0	Q16641	3
Angola	1.0	Q916	4
Argentina	0.2	Q414	5
Armenia	0.5	Q399	6
Australia	3.0	Q408	7
Austria	0.0	Q40	8
Azerbaijan	1.1	Q227	9
Bangladesh	4.6	Q902	10
Belarus	0.0	Q184	11
Belgium	0.0	Q31	12
Belize	0.8	Q242	13
Benin	0.9	Q962	14
Bhutan	0.0	Q917	15
Bolivia	1.3	Q750	16
Bosnia and Herzegovina	0.5	Q225	17
Botswana	0.7	Q963	18
Brazil	0.5	Q155	19
Bulgaria	0.0	Q219	20
Burkina Faso	1.3	Q965	21
Burundi	2.4	Q967	22
Cambodia	6.6	Q424	23
Cameroon	0.1	Q1009	24
Canada	0.0	Q16	25
Cabo Verde	0.0	Q1011	26
Central African Republic	0.2	Q929	27
Chad	2.7	Q657	28
Chile	0.3	Q298	29
China	8.0	Q148	30
Hong Kong SAR, China	0.0	Q8646	31
Colombia	0.7	Q739	32
Comoros	0.0	Q970	33
Congo, Dem. Rep.	0.0	Q974	34
Congo, Rep.	0.3	Q971	35
Costa Rica	0.7	Q800	36
Cote d'Ivoire	0.0	Q1008	37
Croatia	0.0	Q224	38
Cuba	0.7	Q241	39
Cyprus	0.0	Q229	40
Czech Republic	0.2	Q213	41
Denmark	0.0	Q35	42
Djibouti	6.8	Q977	43
Dominican Republic	0.1	Q786	44
Ecuador	0.3	Q736	45
Egypt, Arab Rep.	0.0	Q79	46
El Salvador	0.4	Q792	47
Eritrea	7.3	Q986	48
Estonia	0.0	Q191	49
Eswatini	9.2	Q1050	50
Ethiopia	3.3	Q115	51
Fiji	1.7	Q712	52
Finland	0.0	Q33	53
France	0.0	Q142	54
Gambia, The	0.2	Q1005	55
Georgia	0.8	Q230	56
Germany	0.0	Q183	57
Ghana	1.0	Q117	58
Greece	0.0	Q41	59
Guatemala	1.3	Q774	60
Guinea	0.2	Q1006	61
Guinea-Bissau	0.5	Q1007	62
Guyana	7.2	Q734	63
Haiti	0.8	Q790	64
Honduras	1.3	Q783	65
Hungary	0.1	Q28	66
India	4.4	Q668	67
Indonesia	0.2	Q252	68
Iran, Islamic Rep.	3.1	Q794	69
Iraq	0.0	Q796	70
Ireland	0.0	Q27	71
Israel	0.0	Q801	72
Italy	0.0	Q38	73
Jamaica	1.1	Q766	74
Japan	0.0	Q17	75
Jordan	0.4	Q810	76
Kazakhstan	0.2	Q232	77
Kenya	6.5	Q114	78
Kiribati	5.0	Q710	79
Korea, Dem. Peopleâ€™s Rep.	2.5	Q423	80
Korea, Rep.	0.1	Q884	81
Kuwait	0.0	Q817	82
Kyrgyz Republic	2.1	Q813	83
Lao PDR	2.7	Q819	84
Latvia	0.0	Q211	85
Lebanon	0.0	Q822	86
Lesotho	3.4	Q1013	87
Liberia	1.9	Q1014	88
Libya	0.0	Q1016	89
Lithuania	0.0	Q37	90
Luxembourg	0.0	Q32	91
North Macedonia	0.3	Q221	92
Madagascar	0.9	Q1019	93
Malawi	8.8	Q1020	94
Malaysia	0.1	Q833	95
Maldives	0.0	Q826	96
Mali	0.7	Q912	97
Marshall Islands	0.1	Q709	98
Mauritania	3.1	Q1025	99
Mauritius	0.0	Q1027	100
Mexico	0.1	Q96	101
Micronesia, Fed. Sts.	1.3	Q702	102
Moldova	0.3	Q217	103
Mongolia	2.6	Q711	104
Montenegro	0.0	Q236	105
Morocco	0.1	Q1028	106
Mozambique	3.7	Q1029	107
Myanmar	0.1	Q836	108
Namibia	3.4	Q1030	109
Nepal	0.7	Q837	110
Netherlands	0.0	Q55	111
New Zealand	0.0	Q664	112
Nicaragua	0.8	Q811	113
Niger	7.5	Q1032	114
Nigeria	0.1	Q1033	115
Norway	0.0	Q20	116
Pakistan	1.1	Q843	117
Panama	0.2	Q804	118
Papua New Guinea	0.7	Q691	119
Paraguay	0.7	Q733	120
Peru	2.0	Q419	121
Philippines	0.8	Q928	122
Poland	0.0	Q36	123
Portugal	0.0	Q45	124
Puerto Rico	0.0	Q1183	125
Romania	0.1	Q218	126
Russian Federation	0.1	Q159	127
Rwanda	1.3	Q1037	128
Samoa	0.0	Q683	129
Saudi Arabia	0.0	Q851	130
Senegal	0.6	Q1041	131
Serbia	0.0	Q403	132
Seychelles	0.1	Q1042	133
Sierra Leone	0.2	Q1044	134
Slovak Republic	0.0	Q214	135
Slovenia	0.0	Q215	136
Solomon Islands	0.1	Q685	137
Somalia	4.6	Q1045	138
South Africa	1.8	Q258	139
Spain	0.7	Q29	140
Sri Lanka	2.2	Q854	141
St. Vincent and the Grenadines	0.0	Q757	142
Sudan	2.8	Q1049	143
Suriname	0.3	Q730	144
Sweden	0.0	Q34	145
Switzerland	0.0	Q39	146
Syrian Arab Republic	0.5	Q858	147
Tajikistan	5.4	Q863	148
Tanzania	1.5	Q924	149
Thailand	3.8	Q869	150
Timor-Leste	0.0	Q574	151
Togo	0.5	Q945	152
Trinidad and Tobago	0.0	Q754	153
Tunisia	0.1	Q948	154
Turkey	0.1	Q43	155
Turkmenistan	0.0	Q874	156
Uganda	0.9	Q1036	157
Ukraine	0.3	Q212	158
United Kingdom	0.0	Q145	159
United States	0.2	Q30	160
Uruguay	0.3	Q77	161
Uzbekistan	0.1	Q265	162
Vanuatu	0.1	Q686	163
Venezuela, RB	0.2	Q717	164
Vietnam	1.6	Q881	165
Yemen, Rep.	0.1	Q805	166
Zambia	4.2	Q953	167
