Country	Datayear	Homelesspopulationpernight	Homelessper10000	ID	id_row
Australia	2016	116.0	47.0	Q408	0
Austria	2014	15.0	17.0	Q40	1
Bosnia and Herzegovina	2015	7.0	20.0	Q225	2
Brazil	2016	102.0	4.0	Q155	3
Canada	2016	129.0	36.0	Q16	4
Chile	2011	12.0	7.0	Q298	5
China	2011	2579000.0	18.0	Q148	6
Congo DR	2017	1500000.0	56.0	Q974	7
Croatia	2018	3.0	7.0	Q224	8
Czech Republic	2019	24.0	22.0	Q213	9
Denmark	2017	7.0	11.0	Q35	10
Egypt	2013	12000000.0	1.2	Q79	11
Estonia	2011	864.0	6.0	Q191	12
Finland	2018	5.0	9.0	Q33	13
France	2012	142.0	21.0	Q142	14
Germany	2017	650.0	79.0	Q183	15
Greece	2013	20.0	18.0	Q41	16
Grenada	2004	60.0	5.644	Q769	17
Guatemala	2012	475.0	315.0	Q774	18
Haiti	2009	2300000.0	2.324	Q790	19
Honduras	2013	1000000.0	1.235	Q783	20
Hong Kong	2013	1.0	2.0	Q8646	21
Hungary	2014	10.0	10.0	Q28	22
India	2011	1770000.0	15.0	Q668	23
Indonesia	2004	3000000.0	136.0	Q252	24
Ireland	2019	10.0	21.0	Q27	25
Israel	2019	25.0	29.0	Q801	26
Italy	2014	48.0	8.0	Q38	27
Japan	2019	5.0	0.3	Q17	28
Jordan	2017	0.0	0.0	Q810	29
Latvia	2011	2.0	11.0	Q211	30
Liechtenstein	2004	0.0	0.0	Q347	31
Luxembourg	2013	2.0	28.0	Q32	32
Mexico	2009	41.0	4.0	Q96	33
Netherlands	2018	39.0	23.0	Q55	34
New Zealand	2015	41.0	94.0	Q664	35
Nigeria	2005	24400000.0	1.6580000000000001	Q1033	36
Norway	2016	4.0	7.0	Q20	37
Poland	2017	33400.0	8.0	Q36	38
Portugal	2012	3.0	3.0	Q45	39
Romania	2004	15.0	7.0	Q218	40
Russia	2009	64.0	4.0	Q159	41
Slovenia	2015	3.0	13.0	Q215	42
South Africa	2015	200.0	36.0	Q258	43
South Korea	2016	11.0	2.0	Q884	44
Spain	2012	40.0	9.0	Q29	45
Sweden	2011	34.0	36.0	Q34	46
Switzerland	2016	5000.0	6.0	Q39	47
Togo	1999	100.0	211.0	Q945	48
Uganda	2014	500.0	143.0	Q1036	49
Ukraine	2016	30.0	75.0	Q212	50
United Kingdom	2016	307.0	46.0	Q145	51
United States	2019	568.0	17.0	Q30	52
Wales	2011	15.0	48.0	Q25	53
Zimbabwe	2013	1200000.0	848.0	Q954	54
