Country	Oldestyear	Numberofparks	Totalareakm²	Percentageofcountryarea	ID	id_row
Algeria	1929.0	10.0	122.352	5.1	Q262	0
Botswana	1968.0	4.0	56.258	9.67	Q963	1
Burundi	1934.0	3.0	1.014	3.6	Q967	2
Chad	1963.0	4.0	14.54	1.13	Q657	3
Egypt	1983.0	5.0	4.353	4.3	Q79	4
Ethiopia	1959.0	13.0	45.417	1.8	Q115	5
Gabon	2002.0	13.0	26.766	10.0	Q1000	6
Gambia	1978.0	5.0	169.9	1.5	Q1005	7
Madagascar	1958.0	26.0	14.327	2.4	Q1019	8
Mauritius	1994.0	3.0	7.16	3.5	Q1027	9
Mozambique	1960.0	7.0	40.97	5.1	Q1029	10
Namibia	1907.0	20.0	10.878	13.2	Q1030	11
Nigeria	1979.0	8.0	20.156	3.0	Q1033	12
South Africa	1926.0	21.0	37.0	3.0	Q258	13
Tanzania	1951.0	18.0	42.0	4.44	Q924	14
Zambia	1924.0	28.0	240836.48	32.0	Q953	15
Cambodia	1993.0	8.0	7422.5	4.1	Q424	16
India	1936.0	116.0	38.136	1.16	Q668	17
Indonesia	1980.0	54.0	160.52	8.43	Q252	18
Iran	1974.0	9.0	19.757	1.2	Q794	19
Israel	1964.0	69.0	6.4	30.0	Q801	20
Japan	1934.0	33.0	20.482	5.4	Q17	21
Kyrgyzstan	1976.0	13.0	7246.7	3625.0	Q813	22
Myanmar	1982.0	9.0	10.351	1.5	Q836	23
Nepal	1973.0	12.0	34.426	23.39	Q837	24
Pakistan	1972.0	26.0	132919.71	6.63	Q843	25
South Korea	1967.0	22.0	6.726	6.7	Q884	26
Republic of China (Taiwan)	1984.0	9.0	3.104	8.6	Q865	27
Thailand	1961.0	147.0	61.413	11.96	Q869	28
Turkey	1958.0	43.0	8.481	1.0	Q43	29
Albania	1966.0	14.0	1.177	4.1	Q222	30
Austria	1981.0	7.0	2.521	3.0	Q40	31
Belarus	1939.0	4.0	2.222	1.0	Q184	32
Belgium	2001.0	2.0	75.0	0.2	Q31	33
Bosnia and Herzegovina	1965.0	4.0	404.0	0.8	Q225	34
Bulgaria	1963.0	3.0	1.93	1.8	Q219	35
Croatia	1949.0	8.0	994.0	1.8	Q224	36
Czech Republic	1963.0	4.0	1.19	1.5	Q213	37
Denmark	2008.0	5.0	2.322	5.4	Q35	38
Estonia	1971.0	5.0	1.927	4.3	Q191	39
Finland	1956.0	40.0	9.892	2.9	Q33	40
France	1963.0	10.0	60.728	9.5	Q142	41
Georgia	1946.0	11.0	5.111	7.0	Q230	42
Germany	1970.0	16.0	10.395	2.7	Q183	43
Greece	1938.0	15.0	6.96	3.6	Q41	44
Hungary	1972.0	10.0	4.819	5.2	Q28	45
Iceland	1928.0	3.0	12.407	12.1	Q189	46
Ireland	1932.0	6.0	650.0	0.9	Q27	47
Italy	1922.0	25.0	15.0	5.0	Q38	48
Kazakhstan	1985.0	13.0	18.876	0.7	Q232	49
Kosovo	1986.0	2.0	1014.88	9.3	Q1246	50
Latvia	1973.0	4.0	2.065	3.2	Q211	51
Lithuania	1974.0	5.0	1.554	2.4	Q37	52
Malta	2007.0	1.0	2.5	0.69	Q233	53
Montenegro	1952.0	5.0	1.096	7.9	Q236	54
Netherlands	1930.0	21.0	1.251	3.0	Q55	55
North Macedonia	1948.0	3.0	974.0	3.8	Q221	56
Norway	1962.0	47.0	24.06	6.3	Q20	57
Poland	1932.0	23.0	3.149	1.0	Q36	58
Portugal	1971.0	1.0	702.0	0.8	Q45	59
Romania	1935.0	14.0	3.158	1.3	Q218	60
Russia	1983.0	48.0	141.2	0.82	Q159	61
Serbia	1960.0	5.0	1.775	2.3	Q403	62
Slovakia	1949.0	9.0	3.69	7.5	Q214	63
Slovenia	1961.0	1.0	838.0	4.1	Q215	64
Spain	1918.0	16.0	3.845	0.8	Q29	65
Sweden	1909.0	30.0	7.199	1.6	Q34	66
Switzerland	1914.0	1.0	170.0	0.4	Q39	67
Turkey	1958.0	43.0	8.481	1.0	Q43	68
Ukraine	1980.0	17.0	7.02	1.2	Q212	69
United Kingdom	1951.0	15.0	19.989	8.2	Q145	70
Belize	1986.0	18.0	1.701	7.4	Q242	71
Canada	1885.0	47.0	377.0	3.78	Q16	72
Costa Rica	1955.0	29.0	12.913	25.1	Q800	73
Dominica	1975.0	3.0	107.0	7.01	Q784	74
Haiti	1983.0	16.0	88.0	0.31	Q790	75
Mexico	1917.0	67.0	14.32	0.73	Q96	76
Nicaragua	1979.0	3.0	25.327	0.2	Q811	77
United States	1872.0	62.0	210.0	2.19	Q30	78
Argentina	1922.0	37.0	38.452	1.38	Q414	79
Bolivia	1939.0	13.0	65.91	6.0	Q750	80
Brazil	1937.0	72.0	250.0	2968.0	Q155	81
Chile	1926.0	41.0	146.046	19.3	Q298	82
Colombia	1960.0	60.0	169.545	12.5	Q739	83
Ecuador	1959.0	12.0	34.733	12.2	Q736	84
Paraguay	1948.0	15.0	60.662	14.9	Q733	85
Peru	1961.0	15.0	79.665	6.2	Q419	86
Venezuela	1937.0	46.0	199.418	21.76	Q717	87
Australia	1879.0	685.0	335.062	4.36	Q408	88
New Zealand	1887.0	13.0	28.873	10.8	Q664	89
