Country	Total	Womensshareofpopulationages15livingwithHIV	YouthMale	YouthFemale	ID	id_row
Afghanistan	0.1	29.0	0.1	0.1	Q889	0
Albania	0.1	23.0	0.1	0.1	Q222	1
Algeria	0.1	46.0	0.1	0.1	Q262	2
Angola	1.9	70.0	0.4	1.2	Q916	3
Argentina	0.4	32.0	0.1	0.1	Q414	4
Armenia	0.2	35.0	0.1	0.1	Q399	5
Australia	0.1	12.0	0.1	0.1	Q408	6
Azerbaijan	0.1	34.0	0.1	0.1	Q227	7
Barbados	0.8	43.0	0.1	0.1	Q244	8
Belarus	0.5	45.0	0.1	0.1	Q184	9
Benin	1.0	61.0	0.2	0.4	Q962	10
Bolivia	0.2	31.0	0.1	0.1	Q750	11
Botswana	20.7	57.0	5.0	9.3	Q963	12
Bulgaria	0.1	20.0	0.1	0.1	Q219	13
Burkina Faso	0.7	61.0	0.3	0.4	Q965	14
Burundi	1.0	60.0	0.4	0.6	Q967	15
Cabo Verde	0.6	54.0	0.1	0.2	Q1011	16
Cambodia	0.5	52.0	0.1	0.1	Q424	17
Cameroon	3.1	67.0	0.6	1.4	Q1009	18
Central African Republic	3.5	60.0	0.9	1.4	Q929	19
Chad	1.2	61.0	0.4	0.6	Q657	20
Chile	0.5	18.0	0.2	0.1	Q298	21
Colombia	0.5	25.0	0.1	0.1	Q739	22
Comoros	0.1	43.0	0.1	0.1	Q970	23
Congo, Dem. Rep.	0.8	73.0	0.2	0.5	Q974	24
Congo, Rep.	3.1	68.0	0.6	2.2	Q971	25
Costa Rica	0.4	28.0	0.1	0.1	Q800	26
Cote d'Ivoire	2.4	66.0	0.6	1.1	Q1008	27
Cuba	0.4	18.0	0.1	0.1	Q241	28
Djibouti	0.8	56.0	0.4	0.4	Q977	29
Dominican Republic	0.9	48.0	0.3	0.3	Q786	30
Ecuador	0.4	31.0	0.1	0.1	Q736	31
Egypt, Arab Rep.	0.1	30.0	0.1	0.1	Q79	32
El Salvador	0.5	37.0	0.1	0.1	Q792	33
Equatorial Guinea	7.2	52.0	1.6	3.1	Q983	34
Eritrea	0.6	59.0	0.2	0.3	Q986	35
Eswatini	27.0	63.0	4.1	12.3	Q1050	36
Ethiopia	0.9	63.0	0.3	0.4	Q115	37
Fiji	0.2	32.0	0.1	0.1	Q712	38
Gabon	3.05	68.0	0.5	1.05	Q1000	39
Gambia, The	1.9	61.0	0.2	0.6	Q1005	40
Georgia	0.4	32.0	0.1	0.1	Q230	41
Ghana	1.7	66.0	0.3	1.0	Q117	42
Guatemala	0.3	41.0	0.1	0.1	Q774	43
Guinea	1.4	67.0	0.4	0.8	Q1006	44
Guinea-Bissau	3.4	63.0	0.7	1.2	Q1007	45
Guyana	1.4	49.0	0.2	0.3	Q734	46
Haiti	1.9	58.0	0.4	0.9	Q790	47
Honduras	0.3	39.0	0.1	0.1	Q783	48
Iran, Islamic Rep.	0.1	27.0	0.1	0.1	Q794	49
Ireland	0.2	29.0	0.1	0.1	Q27	50
Italy	0.2	29.0	0.1	0.1	Q38	51
Jamaica	1.4	36.0	0.4	0.3	Q766	52
Kazakhstan	0.3	33.0	0.1	0.1	Q232	53
Kenya	4.5	63.0	1.3	2.4	Q114	54
Kyrgyz Republic	0.2	34.0	0.1	0.1	Q813	55
Lao PDR	0.3	44.0	0.1	0.1	Q819	56
Latvia	0.5	31.0	0.1	0.1	Q211	57
Lebanon	0.1	15.0	0.1	0.1	Q822	58
Lesotho	22.8	59.0	4.5	10.1	Q1013	59
Liberia	1.5	59.0	0.6	1.0	Q1014	60
Libya	0.2	30.0	0.1	0.1	Q1016	61
Lithuania	0.2	25.0	0.1	0.1	Q37	62
Madagascar	0.3	47.0	0.1	0.1	Q1019	63
Malawi	8.9	60.0	2.1	4.2	Q1020	64
Malaysia	0.4	17.0	0.3	0.1	Q833	65
