Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Albania	2018	99.0	100.0	Q222	0
Armenia	2016	100.0	100.0	Q399	1
Benin	2018	72.0	93.0	Q962	2
Bolivia	2008	90.0	100.0	Q750	3
Burkina Faso	2018	96.0	100.0	Q965	4
Burundi	2017	99.0	100.0	Q967	5
Cambodia	2014	99.0	100.0	Q424	6
Cameroon	2014	81.0	100.0	Q1009	7
Colombia	2015	100.0	100.0	Q739	8
Comoros	2012	97.0	100.0	Q970	9
Congo, Dem. Rep.	2014	88.0	100.0	Q974	10
Cote d'Ivoire	2016	90.0	99.0	Q1008	11
Dominican Republic	2014	100.0	100.0	Q786	12
Egypt, Arab Rep.	2014	100.0	100.0	Q79	13
Ethiopia	2016	95.0	100.0	Q115	14
Gabon	2012	96.0	100.0	Q1000	15
Ghana	2016	93.0	100.0	Q117	16
Guinea	2018	87.0	98.0	Q1006	17
Guyana	2014	95.0	100.0	Q734	18
Haiti	2017	100.0	100.0	Q790	19
Honduras	2012	100.0	100.0	Q783	20
Indonesia	2017	96.0	100.0	Q252	21
Jordan	2018	100.0	100.0	Q810	22
Kenya	2015	86.0	99.0	Q114	23
Kyrgyz Republic	2018	100.0	100.0	Q813	24
Liberia	2016	97.0	99.0	Q1014	25
Madagascar	2016	87.0	100.0	Q1019	26
Malawi	2017	99.0	100.0	Q1020	27
Maldives	2017	99.0	100.0	Q826	28
Mali	2018	76.0	97.0	Q912	29
Mozambique	2018	96.0	100.0	Q1029	30
Nepal	2016	100.0	100.0	Q837	31
Niger	2012	83.0	97.0	Q1032	32
Nigeria	2018	67.0	99.0	Q1033	33
Pakistan	2018	97.0	100.0	Q843	34
Peru	2012	99.0	100.0	Q419	35
Philippines	2017	99.0	100.0	Q928	36
Rwanda	2017	100.0	100.0	Q1037	37
Sao Tome and Principe	2014	99.0	100.0	Q1039	38
Senegal	2017	85.0	99.0	Q1041	39
Sierra Leone	2017	93.0	99.0	Q1044	40
Tajikistan	2017	95.0	97.0	Q863	41
Tanzania	2017	97.0	100.0	Q924	42
Timor-Leste	2016	66.0	93.0	Q574	43
Uganda	2016	95.0	100.0	Q1036	44
Zimbabwe	2015	99.0	100.0	Q954	45
