Country	averageannual19902000	averageannual20002019	ID	id_row
Algeria	21.2	-1.7	Q262	0
Argentina	8.7	-0.7	Q414	1
Armenia	-3.1	10.5	Q399	2
Australia	7.7	5.4	Q408	3
Austria	5.6	3.2	Q40	4
Bahamas	2.5	0.7	Q778	5
Bangladesh	12.8	4.3	Q902	6
Belarus	-4.8	3.1	Q184	7
Belgium	5.4	3.3	Q31	8
Belize	6.8	0.9	Q242	9
Benin	6.4	7.9	Q962	10
Bolivia	4.5	1.4	Q750	11
Botswana	5.2	3.8	Q963	12
Brazil	6.1	2.3	Q155	13
Brunei Darussalam	2.4	-2.0	Q921	14
Bulgaria	1.8	5.8	Q219	15
Burkina Faso	4.6	7.3	Q965	16
Cambodia	21.7	9.7	Q424	17
Cameroon	4.3	3.0	Q1009	18
Canada	8.9	3.0	Q16	19
Chile	9.4	0.7	Q298	20
Hong Kong	7.8	2.3	Q8646	21
Macao	2.5	0.9	Q14773	22
Colombia	5.4	2.4	Q739	23
Comoros	1.6	7.5	Q970	24
Congo, Dem. Rep.	-0.5	9.5	Q974	25
Congo, Rep.	5.4	2.3	Q971	26
Costa Rica	8.7	4.9	Q800	27
Croatia	6.0	5.4	Q224	28
Cuba	2.5	-3.2	Q241	29
Cyprus	6.3	5.5	Q229	30
Czech Republic	8.6	5.1	Q213	31
Denmark	5.0	3.2	Q35	32
Dominican Republic	7.5	6.3	Q786	33
Ecuador	5.6	2.6	Q736	34
Egypt	3.7	5.3	Q79	35
El Salvador	12.4	3.2	Q792	36
Estonia	7.8	4.1	Q191	37
Eswatini	6.4	3.2	Q1050	38
Finland	10.3	2.1	Q33	39
France	7.2	3.4	Q142	40
Gabon	2.1	2.3	Q1000	41
Germany	5.9	3.6	Q183	42
Greece	8.7	3.5	Q41	43
Guatemala	6.1	3.1	Q774	44
Haiti	7.3	3.2	Q790	45
Honduras	1.5	3.2	Q783	46
Hungary	14.6	5.3	Q28	47
Iceland	3.3	5.3	Q189	48
India	12.3	4.1	Q668	49
Indonesia	6.1	2.7	Q252	50
Iran	0.4	3.7	Q794	51
Ireland	15.7	11.3	Q27	52
Israel	9.9	1.8	Q801	53
Italy	5.9	2.8	Q38	54
Japan	4.3	3.4	Q17	55
Jordan	1.3	0.2	Q810	56
Kazakhstan	-2.6	1.1	Q232	57
Kenya	1.0	1.8	Q114	58
South Korea	15.1	3.3	Q884	59
Kyrgyz Republic	-4.5	-0.7	Q813	60
Latvia	7.0	5.0	Q211	61
Lebanon	24.1	-0.9	Q822	62
Lesotho	21.7	2.4	Q1013	63
Lithuania	6.5	6.3	Q37	64
Luxembourg	8.7	4.7	Q32	65
Madagascar	3.8	11.8	Q1019	66
Malaysia	12.0	2.3	Q833	67
Mali	8.9	4.3	Q912	68
Mauritania	-2.3	2.2	Q1025	69
Mauritius	5.6	0.6	Q1027	70
Mexico	9.6	5.2	Q96	71
Moldova	-6.5	7.3	Q217	72
Morocco	3.4	5.7	Q1028	73
Mozambique	15.7	6.6	Q1029	74
Namibia	3.9	1.3	Q1030	75
Netherlands	7.1	4.2	Q55	76
New Zealand	5.5	3.2	Q664	77
Nicaragua	11.3	5.0	Q811	78
Niger	4.5	1.4	Q1032	79
Nigeria	2.1	3.6	Q1033	80
North Macedonia	4.2	9.8	Q221	81
Norway	5.5	1.5	Q20	82
Pakistan	1.7	0.5	Q843	83
Panama	2.1	0.9	Q804	84
Paraguay	5.1	3.0	Q733	85
Peru	8.6	3.7	Q419	86
Philippines	8.2	8.6	Q928	87
Poland	10.6	7.2	Q36	88
Portugal	5.4	5.5	Q45	89
Romania	8.5	9.2	Q218	90
Russian Federation	0.7	2.8	Q159	91
Rwanda	-2.9	15.5	Q1037	92
Senegal	4.1	5.4	Q1041	93
Serbia	19.0	8.9	Q403	94
Sierra Leone	-6.6	13.8	Q1044	95
Singapore	11.2	4.1	Q334	96
Slovak Republic	5.5	5.6	Q214	97
Slovenia	1.8	5.5	Q215	98
South Africa	5.8	1.8	Q258	99
Spain	10.4	4.2	Q29	100
Sri Lanka	7.5	3.9	Q854	101
Sudan	15.4	-0.9	Q1049	102
Sweden	8.6	3.3	Q34	103
Switzerland	4.1	2.8	Q39	104
Tanzania	11.4	3.7	Q924	105
Thailand	10.0	2.6	Q869	106
Togo	1.2	2.9	Q945	107
Turkey	11.2	6.4	Q43	108
Uganda	13.8	8.3	Q1036	109
Ukraine	-3.6	-5.3	Q212	110
United Kingdom	6.2	2.9	Q145	111
United States	7.4	2.8	Q30	112
Uruguay	6.5	1.5	Q77	113
Uzbekistan	-3.7	4.4	Q265	114
Vietnam	19.2	13.8	Q881	115
West Bank and Gaza	12.7	6.3	Q407199	116
Zimbabwe	3.9	6.6	Q954	117
