Country	Lowbirthweightbabies	ID	id_row
Albania	5.0	Q222	0
Algeria	7.0	Q262	1
Andorra	7.0	Q228	2
Angola	15.0	Q916	3
Antigua and Barbuda	9.0	Q781	4
Argentina	7.0	Q414	5
Armenia	9.0	Q399	6
Australia	7.0	Q408	7
Austria	7.0	Q40	8
Azerbaijan	7.0	Q227	9
Bahamas, The	13.0	Q778	10
Bahrain	12.0	Q398	11
Bangladesh	28.0	Q902	12
Belarus	5.0	Q184	13
Belgium	7.0	Q31	14
Belize	9.0	Q242	15
Benin	17.0	Q962	16
Bhutan	12.0	Q917	17
Bolivia	7.0	Q750	18
Bosnia and Herzegovina	3.0	Q225	19
Botswana	16.0	Q963	20
Brazil	8.0	Q155	21
Brunei Darussalam	11.0	Q921	22
Bulgaria	10.0	Q219	23
Burkina Faso	13.0	Q965	24
Burundi	15.0	Q967	25
Cambodia	12.0	Q424	26
Cameroon	12.0	Q1009	27
Canada	6.0	Q16	28
Central African Republic	15.0	Q929	29
Chile	6.0	Q298	30
China	5.0	Q148	31
Colombia	10.0	Q739	32
Comoros	24.0	Q970	33
Congo, Dem. Rep.	11.0	Q974	34
Congo, Rep.	12.0	Q971	35
Costa Rica	7.0	Q800	36
Cote d'Ivoire	15.0	Q1008	37
Croatia	5.0	Q224	38
Cuba	5.0	Q241	39
Czech Republic	8.0	Q213	40
Denmark	5.0	Q35	41
Dominican Republic	11.0	Q786	42
Ecuador	11.0	Q736	43
El Salvador	10.0	Q792	44
Estonia	4.0	Q191	45
Eswatini	10.0	Q1050	46
Finland	4.0	Q33	47
France	7.0	Q142	48
Gabon	14.0	Q1000	49
Gambia, The	17.0	Q1005	50
Georgia	6.0	Q230	51
Germany	7.0	Q183	52
Ghana	14.0	Q117	53
Greece	9.0	Q41	54
Guatemala	11.0	Q774	55
Guinea-Bissau	21.0	Q1007	56
Guyana	16.0	Q734	57
Honduras	11.0	Q783	58
Hungary	9.0	Q28	59
Iceland	4.0	Q189	60
Indonesia	10.0	Q252	61
Ireland	6.0	Q27	62
Israel	8.0	Q801	63
Italy	7.0	Q38	64
Jamaica	15.0	Q766	65
Japan	9.0	Q17	66
Jordan	14.0	Q810	67
Kazakhstan	5.0	Q232	68
Kenya	11.0	Q114	69
Korea, Rep.	6.0	Q884	70
Kuwait	10.0	Q817	71
Kyrgyz Republic	6.0	Q813	72
Lao PDR	17.0	Q819	73
Latvia	5.0	Q211	74
Lebanon	9.0	Q822	75
Lesotho	15.0	Q1013	76
Lithuania	5.0	Q37	77
Luxembourg	7.0	Q32	78
Madagascar	17.0	Q1019	79
Malawi	14.0	Q1020	80
Malaysia	11.0	Q833	81
Maldives	12.0	Q826	82
Malta	6.0	Q233	83
Mauritius	17.0	Q1027	84
Mexico	8.0	Q96	85
Moldova	5.0	Q217	86
Monaco	5.0	Q235	87
Mongolia	5.0	Q711	88
Montenegro	5.0	Q236	89
Morocco	17.0	Q1028	90
Mozambique	14.0	Q1029	91
Myanmar	12.0	Q836	92
Namibia	16.0	Q1030	93
Nepal	22.0	Q837	94
Netherlands	6.0	Q55	95
New Zealand	6.0	Q664	96
Nicaragua	11.0	Q811	97
North Macedonia	9.0	Q221	98
Norway	4.0	Q20	99
Oman	11.0	Q842	100
Panama	10.0	Q804	101
Paraguay	8.0	Q733	102
Peru	9.0	Q419	103
Philippines	20.0	Q928	104
Poland	6.0	Q36	105
Portugal	9.0	Q45	106
Qatar	7.0	Q846	107
Romania	8.0	Q218	108
Russian Federation	6.0	Q159	109
Rwanda	8.0	Q1037	110
San Marino	3.0	Q238	111
Sao Tome and Principe	7.0	Q1039	112
Senegal	18.0	Q1041	113
Serbia	5.0	Q403	114
Seychelles	12.0	Q1042	115
Sierra Leone	14.0	Q1044	116
Singapore	10.0	Q334	117
Slovak Republic	8.0	Q214	118
Slovenia	6.0	Q215	119
South Africa	14.0	Q258	120
Spain	8.0	Q29	121
Sri Lanka	16.0	Q854	122
Suriname	15.0	Q730	123
Sweden	2.0	Q34	124
Switzerland	6.0	Q39	125
Tajikistan	6.0	Q863	126
Tanzania	10.0	Q924	127
Thailand	11.0	Q869	128
Togo	16.0	Q945	129
Trinidad and Tobago	12.0	Q754	130
Tunisia	7.0	Q948	131
Turkey	11.0	Q43	132
Turkmenistan	5.0	Q874	133
Ukraine	6.0	Q212	134
United Arab Emirates	13.0	Q878	135
United Kingdom	7.0	Q145	136
United States	8.0	Q30	137
Uruguay	8.0	Q77	138
Uzbekistan	5.0	Q265	139
Vanuatu	11.0	Q686	140
Venezuela, RB	9.0	Q717	141
Vietnam	8.0	Q881	142
West Bank and Gaza	8.0	Q407199	143
Zambia	12.0	Q953	144
Zimbabwe	13.0	Q954	145
