Country	ReferenceYear	Lowest10	Lowest20	Second20	Third20	Fourth20	Highest20	Highest10	ID	id_row
Albania	2017	3.1	7.5	12.0	16.5	23.3	40.7	24.8	Q222	0
Algeria	2011	4.0	9.4	13.7	17.5	22.3	37.2	22.9	Q262	1
Angola	2018	1.3	3.8	7.7	12.6	20.4	55.6	39.6	Q916	2
Argentina	2018	1.8	5.0	9.9	15.4	23.2	46.5	29.9	Q414	3
Armenia	2018	3.3	8.1	12.2	15.9	20.8	43.0	29.2	Q399	4
Australia	2014	2.8	7.4	12.2	16.1	22.1	42.1	27.0	Q408	5
Austria	2017	3.0	8.0	13.3	17.8	23.1	37.8	23.0	Q40	6
Azerbaijan	2005	4.8	10.8	13.9	16.6	20.9	37.8	24.2	Q227	7
Bangladesh	2016	3.7	8.6	12.4	16.1	21.4	41.4	26.8	Q902	8
Belarus	2018	4.3	10.1	14.4	17.8	22.3	35.5	21.4	Q184	9
Belgium	2017	3.3	8.7	14.2	18.1	22.7	36.3	21.9	Q31	10
Belize	1999	0.9	3.2	7.7	12.0	19.4	57.7	42.4	Q242	11
Benin	2015	1.0	3.2	9.6	14.2	20.8	52.1	37.6	Q962	12
Bhutan	2017	2.7	6.7	10.8	15.5	22.7	44.4	27.9	Q917	13
Bolivia	2018	1.5	4.6	10.1	15.3	22.9	47.2	30.4	Q750	14
Bosnia and Herzegovina	2011	2.9	7.5	12.3	16.7	22.9	40.7	25.1	Q225	15
Botswana	2015	1.5	3.9	7.0	11.1	19.5	58.5	41.5	Q963	16
Brazil	2018	1.0	3.1	7.3	12.0	19.2	58.4	42.5	Q155	17
Bulgaria	2017	1.9	5.7	11.0	15.4	21.3	46.6	31.9	Q219	18
Burkina Faso	2014	3.6	8.3	11.7	15.0	20.6	44.3	29.6	Q965	19
Burundi	2013	2.8	6.9	11.0	15.0	20.8	46.3	31.0	Q967	20
Cameroon	2014	1.7	4.5	8.5	13.7	21.6	51.7	35.0	Q1009	21
Canada	2013	2.4	6.7	12.4	17.0	23.3	40.6	25.1	Q16	22
Cabo Verde	2015	2.2	5.7	9.7	14.3	21.6	48.7	32.3	Q1011	23
Central African Republic	2008	1.2	3.3	7.0	11.1	17.7	60.9	46.2	Q929	24
Chad	2011	1.8	4.9	9.7	14.8	21.8	48.8	32.4	Q657	25
Chile	2017	2.3	5.8	9.7	13.6	19.7	51.3	36.3	Q298	26
China	2016	2.7	6.5	10.7	15.3	22.2	45.3	29.3	Q148	27
Colombia	2018	1.4	4.0	8.1	12.6	19.9	55.4	39.7	Q739	28
Comoros	2014	1.6	4.5	9.1	13.9	22.2	50.4	33.7	Q970	29
Congo, Dem. Rep.	2012	2.1	5.5	10.0	14.5	21.6	48.4	32.0	Q974	30
Congo, Rep.	2011	1.6	4.2	8.2	13.2	20.7	53.7	37.9	Q971	31
Costa Rica	2018	1.5	4.3	8.5	13.0	20.9	53.3	36.3	Q800	32
Cote d'Ivoire	2015	2.1	5.7	10.2	14.6	21.6	47.8	31.9	Q1008	33
Croatia	2017	2.7	7.4	13.3	18.0	23.3	37.9	22.9	Q224	34
Cyprus	2017	3.4	8.4	12.9	16.7	21.9	40.2	25.5	Q229	35
Czech Republic	2017	4.2	10.2	14.7	17.7	22.0	35.4	21.5	Q213	36
Denmark	2017	3.7	9.1	13.7	17.2	21.9	38.1	24.0	Q35	37
Djibouti	2017	1.9	5.4	10.4	15.1	21.5	47.6	32.3	Q977	38
Dominican Republic	2018	2.3	5.8	9.8	13.9	20.4	50.1	35.2	Q786	39
Ecuador	2018	1.6	4.6	9.2	14.0	21.2	51.0	34.4	Q736	40
Egypt, Arab Rep.	2017	3.8	9.0	12.8	16.2	21.0	41.0	26.9	Q79	41
El Salvador	2018	2.4	6.2	10.9	15.5	22.1	45.3	29.4	Q792	42
Estonia	2017	3.0	8.1	12.8	17.0	23.7	38.4	22.5	Q191	43
Ethiopia	2015	2.9	7.3	12.1	16.3	21.2	43.0	28.5	Q115	44
Fiji	2013	3.1	7.5	11.3	15.2	21.3	44.7	29.7	Q712	45
Finland	2017	3.8	9.4	14.0	17.4	22.3	36.9	22.6	Q33	46
France	2017	3.2	8.1	13.0	16.9	21.9	40.0	25.8	Q142	47
