Country	GDPperpersonemployed_200002	GDPperpersonemployed_201518	ID	id_row
Afghanistan	90.6	77.1	Q889	0
Albania	59.7	53.8	Q222	1
Algeria	30.3	27.7	Q262	2
Angola	46.2	52.6	Q916	3
Argentina	24.4	22.8	Q414	4
Armenia	42.6	39.4	Q399	5
Australia	14.9	12.8	Q408	6
Austria	7.8	7.9	Q40	7
Azerbaijan	47.8	48.2	Q227	8
Bahamas, The	19.2	19.4	Q778	9
Bahrain	2.0	1.1	Q398	10
Bangladesh	62.0	50.6	Q902	11
Barbados	16.6	20.3	Q244	12
Belarus	4.9	4.4	Q184	13
Belgium	11.5	11.8	Q31	14
Belize	26.4	29.5	Q242	15
Benin	84.7	81.8	Q962	16
Bhutan	70.5	63.4	Q917	17
Bolivia	60.7	58.8	Q750	18
Bosnia and Herzegovina	25.0	15.7	Q225	19
Botswana	27.9	23.2	Q963	20
Brazil	33.9	31.0	Q155	21
Brunei Darussalam	4.5	5.8	Q921	22
Bulgaria	16.1	9.2	Q219	23
Burkina Faso	90.8	83.9	Q965	24
Burundi	92.3	92.1	Q967	25
Cabo Verde	39.4	27.0	Q1011	26
Cambodia	80.7	43.2	Q424	27
Cameroon	67.8	65.1	Q1009	28
Canada	11.9	11.9	Q16	29
Central African Republic	88.5	87.9	Q929	30
Chad	90.6	88.2	Q657	31
Channel Islands	11.9	11.7	Q42314	32
Chile	29.9	22.7	Q298	33
China	55.2	42.8	Q148	34
Hong Kong SAR, China	7.3	7.4	Q8646	35
Macao SAR, China	9.5	4.2	Q14773	36
Colombia	47.0	47.8	Q739	37
Comoros	56.5	53.8	Q970	38
Congo, Dem. Rep.	81.1	69.8	Q974	39
Congo, Rep.	64.1	62.2	Q971	40
Costa Rica	24.9	21.1	Q800	41
Cote d'Ivoire	71.2	63.9	Q1008	42
Croatia	18.7	8.0	Q224	43
Cuba	13.2	30.4	Q241	44
Cyprus	20.2	12.7	Q229	45
Czech Republic	13.2	16.2	Q213	46
Denmark	5.5	6.1	Q35	47
Djibouti	42.3	39.1	Q977	48
Dominican Republic	45.6	48.0	Q786	49
Ecuador	34.5	40.1	Q736	50
Egypt, Arab Rep.	19.5	17.8	Q79	51
El Salvador	31.7	27.9	Q792	52
Equatorial Guinea	73.9	71.3	Q983	53
Eritrea	82.6	81.0	Q986	54
Estonia	5.8	7.5	Q191	55
Eswatini	15.8	26.6	Q1050	56
Ethiopia	87.7	83.6	Q115	57
Fiji	38.2	41.2	Q712	58
Finland	11.5	11.7	Q33	59
France	7.8	8.6	Q142	60
French Polynesia	17.6	14.2	Q30971	61
Gabon	33.2	27.1	Q1000	62
Gambia, The	67.5	64.2	Q1005	63
Georgia	58.5	49.0	Q230	64
Germany	6.3	6.2	Q183	65
Ghana	69.7	60.8	Q117	66
Greece	33.3	27.4	Q41	67
Guam	10.9	10.6	Q16635	68
Guatemala	41.9	32.7	Q774	69
Guinea	85.0	82.1	Q1006	70
Guinea-Bissau	70.3	67.9	Q1007	71
Guyana	28.6	23.9	Q734	72
Haiti	70.1	64.5	Q790	73
Honduras	35.9	34.5	Q783	74
Hungary	12.3	6.6	Q28	75
Iceland	13.8	10.0	Q189	76
India	81.4	74.1	Q668	77
Indonesia	61.4	42.6	Q252	78
Iran, Islamic Rep.	41.2	41.3	Q794	79
Iraq	28.5	21.1	Q796	80
Ireland	17.8	14.9	Q27	81
Israel	8.7	8.9	Q801	82
Italy	22.4	19.4	Q38	83
Jamaica	41.3	39.9	Q766	84
Japan	11.5	8.7	Q17	85
Jordan	10.8	10.6	Q810	86
Kazakhstan	35.8	23.5	Q232	87
Kenya	47.0	43.5	Q114	88
Korea, Dem. Peopleâ€™s Rep.	82.9	82.5	Q423	89
Korea, Rep.	26.1	19.3	Q884	90
Kuwait	2.8	1.4	Q817	91
Kyrgyz Republic	52.1	37.7	Q813	92
Lao PDR	83.7	73.7	Q819	93
Latvia	10.4	7.4	Q211	94
Lebanon	37.8	30.9	Q822	95
Lesotho	16.1	14.1	Q1013	96
Liberia	70.7	65.4	Q1014	97
Libya	6.4	6.4	Q1016	98
Lithuania	20.4	10.8	Q37	99
Luxembourg	6.5	5.7	Q32	100
Madagascar	80.9	81.0	Q1019	101
Malawi	56.5	53.7	Q1020	102
Malaysia	22.8	20.3	Q833	103
Maldives	22.8	15.6	Q826	104
Mali	77.1	75.9	Q912	105
Malta	10.2	12.7	Q233	106
Mauritania	50.8	46.0	Q1025	107
Mauritius	20.6	18.2	Q1027	108
Mexico	30.9	25.4	Q96	109
Moldova	35.0	41.0	Q217	110
Mongolia	58.1	51.7	Q711	111
Montenegro	15.8	16.8	Q236	112
Morocco	52.6	44.0	Q1028	113
Mozambique	78.5	72.9	Q1029	114
Myanmar	72.4	58.6	Q836	115
Namibia	20.3	24.3	Q1030	116
Nepal	74.1	65.5	Q837	117
Netherlands	8.2	14.2	Q55	118
New Caledonia	13.6	13.1	Q33788	119
New Zealand	16.5	13.6	Q664	120
Nicaragua	46.0	36.0	Q811	121
Niger	88.5	91.0	Q1032	122
Nigeria	74.7	71.9	Q1033	123
North Macedonia	20.7	21.1	Q221	124
Norway	7.5	6.2	Q20	125
Oman	9.8	2.4	Q842	126
Pakistan	63.1	51.7	Q843	127
Panama	36.5	34.7	Q804	128
Papua New Guinea	73.0	69.4	Q691	129
Paraguay	52.1	35.4	Q733	130
Peru	48.4	44.9	Q419	131
Philippines	43.2	30.1	Q928	132
Poland	24.4	18.6	Q36	133
Portugal	18.9	14.2	Q45	134
Puerto Rico	14.0	17.0	Q1183	135
Qatar	0.7	0.2	Q846	136
Romania	42.4	24.9	Q218	137
Russian Federation	10.3	5.9	Q159	138
Rwanda	86.4	58.2	Q1037	139
Samoa	32.0	33.0	Q683	140
Sao Tome and Principe	47.0	44.5	Q1039	141
Saudi Arabia	6.0	3.3	Q851	142
Senegal	75.0	59.8	Q1041	143
Serbia	32.6	27.2	Q403	144
Sierra Leone	83.1	80.5	Q1044	145
Singapore	11.5	11.9	Q334	146
Slovak Republic	7.6	14.9	Q214	147
Slovenia	13.4	12.8	Q215	148
Solomon Islands	60.9	57.2	Q685	149
Somalia	86.4	85.2	Q1045	150
South Africa	7.4	10.4	Q258	151
South Sudan	76.2	79.5	Q958	152
Spain	15.1	13.2	Q29	153
Sri Lanka	40.3	37.0	Q854	154
