Country	AnnualGrowth2010	AnnualGrowth2019	ID	id_row
Afghanistan	9.0	0.3	Q889	0
Albania	4.9	3.0	Q222	1
Algeria	2.2	5.5	Q262	2
Angola	13.1	10.6	Q916	3
Antigua and Barbuda	0.1	0.6	Q781	4
Armenia	26.4	22.2	Q399	5
Australia	7.4	6.3	Q408	6
Azerbaijan	12.9	6.8	Q227	7
Bahamas, The	-5.3	-1.0	Q778	8
Bangladesh	19.7	9.8	Q902	9
Barbados	2.1	-1.2	Q244	10
Belarus	79.2	11.3	Q184	11
Belize	-2.2	4.6	Q242	12
Benin	4.6	9.9	Q962	13
Bhutan	24.0	14.0	Q917	14
Bolivia	9.1	5.8	Q750	15
Bosnia and Herzegovina	3.4	5.1	Q225	16
Botswana	6.3	6.1	Q963	17
Brazil	21.1	6.6	Q155	18
Brunei Darussalam	-0.3	-0.9	Q921	19
Bulgaria	1.5	6.2	Q219	20
Burkina Faso	12.1	6.8	Q965	21
Burundi	24.7	9.8	Q967	22
Cabo Verde	7.3	2.4	Q1011	23
Cambodia	14.8	28.1	Q424	24
Cameroon	12.5	9.8	Q1009	25
Central African Republic	13.3	5.6	Q929	26
Chad	9.3	-2.6	Q657	27
Chile	8.5	11.7	Q298	28
Macao SAR, China	13.9	4.0	Q14773	29
Colombia	16.2	9.7	Q739	30
Comoros	14.0	1.4	Q970	31
Congo, Dem. Rep.	-1.9	8.8	Q974	32
Congo, Rep.	17.1	-5.2	Q971	33
Costa Rica	4.4	1.6	Q800	34
Cote d'Ivoire	8.6	4.4	Q1008	35
Croatia	10.7	2.4	Q224	36
Czech Republic	1.5	3.7	Q213	37
Denmark	13.2	42.0	Q35	38
Djibouti	7.0	3.7	Q977	39
Dominica	5.7	-2.6	Q784	40
Dominican Republic	13.0	8.3	Q786	41
Ecuador	16.4	9.9	Q736	42
Egypt, Arab Rep.	3.9	1.9	Q79	43
El Salvador	-0.4	5.5	Q792	44
Equatorial Guinea	19.1	1.1	Q983	45
Eswatini	5.0	-0.3	Q1050	46
Fiji	2.0	4.1	Q712	47
Gabon	1.9	23.5	Q1000	48
Gambia, The	6.9	3.2	Q1005	49
Georgia	22.2	25.7	Q230	50
Ghana	13.0	10.1	Q117	51
Grenada	4.6	0.3	Q769	52
Guatemala	2.6	3.4	Q774	53
Guinea-Bissau	7.8	4.6	Q1007	54
Guyana	7.2	4.3	Q734	55
Haiti	-0.3	7.5	Q790	56
Honduras	4.3	9.8	Q783	57
Hungary	4.0	9.4	Q28	58
Iceland	-29.2	5.4	Q189	59
Indonesia	17.1	5.5	Q252	60
Iraq	8.1	-2.8	Q796	61
Israel	9.0	5.3	Q801	62
Jamaica	-0.8	13.7	Q766	63
Japan	-1.3	3.3	Q17	64
Kazakhstan	7.1	9.9	Q232	65
Kenya	14.3	5.5	Q114	66
Korea, Rep.	5.9	10.4	Q884	67
Kosovo	10.9	9.1	Q1246	68
Kuwait	2.0	4.2	Q817	69
Kyrgyz Republic	5.4	9.9	Q813	70
Lesotho	6.4	4.3	Q1013	71
Liberia	14.6	1.9	Q1014	72
Madagascar	8.9	11.1	Q1019	73
Malaysia	8.1	5.1	Q833	74
Maldives	-2.3	3.2	Q826	75
Mali	13.9	3.9	Q912	76
Mauritania	10.4	10.2	Q1025	77
Mauritius	9.9	6.4	Q1027	78
Mexico	8.7	7.6	Q96	79
Moldova	9.7	5.5	Q217	80
Mongolia	23.8	1.1	Q711	81
Morocco	8.3	4.3	Q1028	82
Mozambique	19.5	2.7	Q1029	83
Myanmar	10.9	6.7	Q836	84
Namibia	11.2	6.4	Q1030	85
Nepal	8.9	13.2	Q837	86
Nicaragua	4.8	-20.6	Q811	87
Niger	10.6	9.8	Q1032	88
Nigeria	-12.7	9.6	Q1033	89
North Macedonia	6.4	5.6	Q221	90
Norway	14.1	11.2	Q20	91
Oman	16.1	9.4	Q842	92
Pakistan	1.8	2.8	Q843	93
Papua New Guinea	9.3	3.6	Q691	94
Paraguay	27.2	9.0	Q733	95
Peru	12.3	8.8	Q419	96
Philippines	7.5	10.3	Q928	97
Poland	8.3	4.4	Q36	98
Qatar	21.6	22.1	Q846	99
Romania	5.8	4.6	Q218	100
Russian Federation	12.4	8.8	Q159	101
Rwanda	9.8	15.5	Q1037	102
Samoa	4.2	4.7	Q683	103
Sao Tome and Principe	33.1	2.2	Q1039	104
Senegal	14.5	6.1	Q1041	105
Serbia	29.1	7.9	Q403	106
Seychelles	8.1	9.9	Q1042	107
Sierra Leone	8.2	3.4	Q1044	108
Solomon Islands	-3.2	2.4	Q685	109
South Africa	6.8	6.4	Q258	110
South Sudan	3.5	7.3	Q958	111
Sri Lanka	21.7	13.8	Q854	112
St. Kitts and Nevis	4.5	2.0	Q763	113
St. Lucia	3.2	-1.8	Q760	114
St. Vincent and the Grenadines	-2.3	-0.2	Q757	115
Sudan	10.8	12.8	Q1049	116
Suriname	7.0	-0.4	Q730	117
Sweden	13.5	14.0	Q34	118
Tajikistan	-15.0	5.7	Q863	119
Tanzania	11.4	1.3	Q924	120
Thailand	10.7	2.5	Q869	121
Timor-Leste	2.3	1.6	Q574	122
Togo	5.9	4.4	Q945	123
Tonga	-6.5	2.9	Q678	124
Trinidad and Tobago	-0.8	4.2	Q754	125
Tunisia	18.7	4.1	Q948	126
Turkey	27.6	16.5	Q43	127
Uganda	20.8	8.4	Q1036	128
Ukraine	2.1	-8.0	Q212	129
United Arab Emirates	2.1	1.2	Q878	130
United States	-2.6	4.4	Q30	131
Uruguay	11.3	6.1	Q77	132
Vanuatu	4.8	0.3	Q686	133
West Bank and Gaza	9.0	5.7	Q407199	134
Zambia	8.2	8.7	Q953	135
Zimbabwe	70.8	97.2	Q954	136
