Country	Exports2007	Exports2017	ID	id_row
American Samoa	32.3	35.3	Q16641	0
Cambodia	1.1	2.6	Q424	1
China	15.3	19.3	Q148	2
Fiji	1.2	2.5	Q712	3
Indonesia	12.2	17.9	Q252	4
Korea, Dem. Peopleâ€™s Rep.	72.3	12.4	Q423	5
Lao PDR	0.5	5.3	Q819	6
Malaysia	9.4	11.3	Q833	7
Marshall Islands	2.0	5.0	Q709	8
Micronesia, Fed. Sts.	9.7	4.0	Q702	9
Mongolia	3.8	1.4	Q711	10
Myanmar	17.8	8.9	Q836	11
Palau	12.2	9.2	Q695	12
Papua New Guinea	0.7	4.4	Q691	13
Philippines	2.1	3.1	Q928	14
Samoa	0.3	1.8	Q683	15
Solomon Islands	2.9	4.4	Q685	16
Thailand	10.3	11.5	Q869	17
Timor-Leste	23.2	1.7	Q574	18
Tonga	1.4	0.3	Q678	19
Tuvalu	74.9	50.5	Q672	20
Vanuatu	10.1	26.3	Q686	21
Vietnam	5.3	9.0	Q881	22
Albania	3.9	4.1	Q222	23
Armenia	4.9	17.2	Q399	24
Azerbaijan	19.4	11.7	Q227	25
Belarus	6.6	8.1	Q184	26
Bosnia and Herzegovina	1.2	1.9	Q225	27
Bulgaria	5.5	9.3	Q219	28
Georgia	5.0	13.7	Q230	29
Kazakhstan	18.5	16.9	Q232	30
Kosovo	10.0	16.1	Q1246	31
Kyrgyz Republic	18.9	7.0	Q813	32
Lithuania	27.7	29.8	Q37	33
North Macedonia	0.4	1.8	Q221	34
Moldova	1.2	3.3	Q217	35
Montenegro	0.3	3.0	Q236	36
Romania	5.5	8.3	Q218	37
Russian Federation	10.4	21.5	Q159	38
Serbia	1.7	2.5	Q403	39
Tajikistan	8.0	39.4	Q863	40
Turkey	14.1	22.5	Q43	41
Turkmenistan	5.1	83.9	Q874	42
Ukraine	16.0	27.5	Q212	43
Uzbekistan	54.9	24.6	Q265	44
Antigua and Barbuda	17.0	28.2	Q781	45
Argentina	25.8	33.2	Q414	46
Belize	0.2	3.8	Q242	47
Bolivia	1.8	13.6	Q750	48
Brazil	20.1	37.7	Q155	49
Chile	40.1	50.7	Q298	50
Colombia	4.5	10.6	Q739	51
Costa Rica	11.6	3.0	Q800	52
Cuba	15.9	26.0	Q241	53
Dominica	14.0	2.7	Q784	54
Dominican Republic	3.5	8.1	Q786	55
Ecuador	4.6	20.2	Q736	56
El Salvador	1.4	2.6	Q792	57
Grenada	1.8	5.5	Q769	58
Guatemala	2.7	6.1	Q774	59
Guyana	5.9	5.5	Q734	60
Haiti	3.1	2.4	Q790	61
Honduras	1.0	2.3	Q783	62
Jamaica	10.7	9.9	Q766	63
Mexico	1.6	3.3	Q96	64
Nicaragua	1.2	1.2	Q811	65
Panama	21.4	38.7	Q804	66
Paraguay	8.8	14.7	Q733	67
Peru	14.2	34.2	Q419	68
St. Kitts and Nevis	13.0	15.6	Q763	69
St. Lucia	1.2	4.8	Q760	70
St. Vincent and the Grenadines	9.8	48.0	Q757	71
Suriname	1.9	2.9	Q730	72
Uruguay	54.3	59.9	Q77	73
Venezuela, RB	6.6	33.6	Q717	74
Algeria	12.4	17.6	Q262	75
Djibouti	67.9	63.1	Q977	76
Egypt, Arab Rep.	19.9	14.1	Q79	77
Iran, Islamic Rep.	44.8	60.6	Q794	78
Iraq	22.5	46.6	Q796	79
Jordan	15.3	18.8	Q810	80
Lebanon	19.2	33.4	Q822	81
Libya	11.5	12.4	Q1016	82
Morocco	16.1	22.9	Q1028	83
