Country	PoliticalRights2015	CivilLiberties2015	PoliticalRights2016	CivilLiberties2016	PoliticalRights2017	CivilLiberties2017	PoliticalRights2018	CivilLiberties2018	PoliticalRights2019	CivilLiberties2019	PoliticalRights2020	CivilLiberties2020	ID	id_row
Afghanistan	6.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	Q889	0
Albania	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q222	1
Algeria	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	Q262	2
Andorra	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q228	3
Angola	6.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0	5.0	Q916	4
Antigua and Barbuda	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q781	5
Argentina	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	Q414	6
Armenia	5.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	Q399	7
Australia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q408	8
Austria	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q40	9
Azerbaijan	6.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q227	10
Bahamas	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q778	11
Bahrain	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q398	12
Bangladesh	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	Q902	13
Barbados	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q244	14
Belarus	7.0	6.0	7.0	6.0	7.0	6.0	6.0	6.0	7.0	6.0	7.0	6.0	Q184	15
Belgium	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q31	16
Belize	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	Q242	17
Benin	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	Q962	18
Bhutan	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	Q917	19
Bolivia	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q750	20
Bosnia and Herzegovina	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	Q225	21
Botswana	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	Q963	22
Brazil	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q155	23
Brunei	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	Q921	24
Bulgaria	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q219	25
Burkina Faso	6.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	Q965	26
Burundi	6.0	5.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q967	27
Cambodia	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	Q424	28
Cameroon	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	Q1009	29
Canada	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q16	30
Cape Verde	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q1011	31
Central African Republic	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	Q929	32
Chad	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q657	33
Chile	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q298	34
China	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q148	35
Colombia	3.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q739	36
Comoros	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	5.0	Q970	37
Congo, Democratic Republic of	6.0	6.0	6.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	5.0	Q974	38
Congo, Republic of	6.0	5.0	6.0	5.0	7.0	5.0	7.0	5.0	7.0	5.0	7.0	5.0	Q971	39
Costa Rica	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q800	40
Croatia	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	Q224	41
Cuba	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q241	42
CyPolitical Rightsus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q229	43
Czech Republic	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q213	44
Denmark	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q35	45
Djibouti	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	7.0	5.0	Q977	46
Dominica	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q784	47
Dominican Republic	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q786	48
East Timor	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	Q574	49
Ecuador	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	Q736	50
Egypt	6.0	5.0	6.0	5.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	Q79	51
El Salvador	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	Q792	52
Equatorial Guinea	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	Q983	53
Eritrea	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	Q986	54
Estonia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q191	55
Ethiopia	6.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	6.0	6.0	6.0	6.0	Q115	56
Eswatini	7.0	5.0	7.0	5.0	7.0	5.0	7.0	6.0	7.0	6.0	7.0	5.0	Q1050	57
Fiji	3.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	Q712	58
Finland	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q33	59
France	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	Q142	60
Gabon	6.0	5.0	6.0	5.0	6.0	5.0	7.0	5.0	7.0	5.0	7.0	5.0	Q1000	61
Gambia	6.0	6.0	7.0	6.0	6.0	6.0	4.0	5.0	4.0	5.0	4.0	4.0	Q1005	62
Georgia	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q230	63
Germany	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q183	64
Ghana	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	Q117	65
Greece	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	Q41	66
