Country	Expenditure2010	Expenditure2018	ID	id_row
Afghanistan	2.0	10.0	Q889	0
Albania	45.0	53.0	Q222	1
Angola	30.0	11.0	Q916	2
Armenia	39.0	40.0	Q399	3
Australia	69.0	67.0	Q408	4
Austria	71.0	74.0	Q40	5
Azerbaijan	35.0	36.0	Q227	6
Bahamas, The	21.0	22.0	Q778	7
Bangladesh	36.0	34.0	Q902	8
Barbados	40.0	38.0	Q244	9
Belarus	69.0	62.0	Q184	10
Belgium	81.0	84.0	Q31	11
Bhutan	4.0	10.0	Q917	12
Bosnia and Herzegovina	42.0	46.0	Q225	13
Brazil	58.0	59.0	Q155	14
Bulgaria	46.0	46.0	Q219	15
Burkina Faso	12.0	18.0	Q965	16
Cabo Verde	31.0	33.0	Q1011	17
Cambodia	24.0	22.0	Q424	18
Cameroon	25.0	19.0	Q1009	19
Canada	67.0	71.0	Q16	20
Chile	46.0	34.0	Q298	21
Macao SAR, China	22.0	32.0	Q14773	22
Colombia	42.0	55.0	Q739	23
Congo, Rep.	14.0	35.0	Q971	24
Costa Rica	21.0	22.0	Q800	25
Cote d'Ivoire	11.0	39.0	Q1008	26
Croatia	41.0	42.0	Q224	27
Cyprus	34.0	33.0	Q229	28
Czech Republic	46.0	49.0	Q213	29
Denmark	16.0	14.0	Q35	30
Dominican Republic	26.0	15.0	Q786	31
Egypt, Arab Rep.	42.0	37.0	Q79	32
El Salvador	22.0	18.0	Q792	33
Equatorial Guinea	37.0	10.0	Q983	34
Estonia	62.0	63.0	Q191	35
Ethiopia	60.0	53.0	Q115	36
Fiji	25.0	35.0	Q712	37
Finland	50.0	54.0	Q33	38
France	51.0	56.0	Q142	39
Gabon	32.0	15.0	Q1000	40
Georgia	51.0	55.0	Q230	41
Germany	78.0	83.0	Q183	42
Ghana	34.0	20.0	Q117	43
Greece	41.0	45.0	Q41	44
Guatemala	32.0	36.0	Q774	45
Honduras	7.0	2.0	Q783	46
Hungary	60.0	46.0	Q28	47
Iceland	35.0	41.0	Q189	48
India	37.0	42.0	Q668	49
Indonesia	63.0	49.0	Q252	50
Ireland	28.0	40.0	Q27	51
Israel	37.0	41.0	Q801	52
Italy	45.0	48.0	Q38	53
Japan	68.0	69.0	Q17	54
Jordan	29.0	29.0	Q810	55
Kazakhstan	67.0	67.0	Q232	56
Kiribati	14.0	26.0	Q710	57
Korea, Rep.	58.0	67.0	Q884	58
Kuwait	28.0	17.0	Q817	59
Latvia	52.0	56.0	Q211	60
Lebanon	34.0	38.0	Q822	61
Lesotho	24.0	23.0	Q1013	62
Lithuania	39.0	42.0	Q37	63
Luxembourg	55.0	54.0	Q32	64
Madagascar	17.0	30.0	Q1019	65
Malawi	32.0	19.0	Q1020	66
Malaysia	42.0	36.0	Q833	67
Mali	16.0	22.0	Q912	68
Malta	33.0	31.0	Q233	69
Marshall Islands	16.0	20.0	Q709	70
Mauritius	31.0	34.0	Q1027	71
Mexico	61.0	64.0	Q96	72
Micronesia, Fed. Sts.	6.0	1.0	Q702	73
Moldova	59.0	64.0	Q217	74
Mongolia	42.0	55.0	Q711	75
Morocco	26.0	27.0	Q1028	76
Mozambique	19.0	14.0	Q1029	77
Myanmar	15.0	20.0	Q836	78
Namibia	32.0	30.0	Q1030	79
Nepal	56.0	64.0	Q837	80
Netherlands	78.0	78.0	Q55	81
New Zealand	47.0	47.0	Q664	82
Nicaragua	37.0	32.0	Q811	83
North Macedonia	65.0	73.0	Q221	84
Norway	65.0	65.0	Q20	85
Palau	10.0	16.0	Q695	86
Paraguay	22.0	25.0	Q733	87
Peru	47.0	46.0	Q419	88
Philippines	23.0	27.0	Q928	89
Poland	44.0	44.0	Q36	90
Portugal	43.0	45.0	Q45	91
Romania	39.0	33.0	Q218	92
Russian Federation	61.0	69.0	Q159	93
Samoa	8.0	4.0	Q683	94
San Marino	34.0	45.0	Q238	95
Saudi Arabia	7.0	8.0	Q851	96
Seychelles	16.0	23.0	Q1042	97
Singapore	0.0	22.0	Q334	98
Slovak Republic	51.0	49.0	Q214	99
Slovenia	49.0	47.0	Q215	100
Solomon Islands	6.0	8.0	Q685	101
South Africa	62.0	60.0	Q258	102
Spain	69.0	67.0	Q29	103
Sri Lanka	20.0	29.0	Q854	104
St. Kitts and Nevis	11.0	26.0	Q763	105
St. Lucia	20.0	24.0	Q760	106
St. Vincent and the Grenadines	28.0	23.0	Q757	107
Sudan	48.0	25.0	Q1049	108
Sweden	71.0	73.0	Q34	109
Switzerland	75.0	75.0	Q39	110
Tanzania	58.0	54.0	Q924	111
Thailand	18.0	31.0	Q869	112
Timor-Leste	15.0	19.0	Q574	113
Togo	31.0	12.0	Q945	114
Tonga	8.0	9.0	Q678	115
Trinidad and Tobago	42.0	38.0	Q754	116
Turkey	48.0	46.0	Q43	117
Ukraine	69.0	60.0	Q212	118
United Arab Emirates	21.0	21.0	Q878	119
United Kingdom	57.0	55.0	Q145	120
United States	63.0	65.0	Q30	121
Uruguay	46.0	46.0	Q77	122
Vanuatu	13.0	14.0	Q686	123
West Bank and Gaza	17.0	22.0	Q407199	124
Zambia	19.0	12.0	Q953	125
Zimbabwe	6.0	44.0	Q954	126
