Country	Savings	ID	id_row
Afghanistan	2.5	Q889	0
Albania	-2.6	Q222	1
Algeria	21.1	Q262	2
Angola	-23.2	Q916	3
Argentina	5.0	Q414	4
Armenia	-3.8	Q399	5
Australia	4.4	Q408	6
Austria	14.3	Q40	7
Azerbaijan	8.4	Q227	8
Bahamas, The	-3.9	Q778	9
Bahrain	14.0	Q398	10
Bangladesh	22.5	Q902	11
Barbados	-8.2	Q244	12
Belarus	16.0	Q184	13
Belgium	11.1	Q31	14
Belize	-3.7	Q242	15
Benin	2.8	Q962	16
Bhutan	16.9	Q917	17
Bolivia	-1.0	Q750	18
Botswana	23.7	Q963	19
Brazil	3.2	Q155	20
Brunei Darussalam	30.1	Q921	21
Bulgaria	14.5	Q219	22
Burkina Faso	-2.4	Q965	23
Burundi	-16.8	Q967	24
Cabo Verde	19.6	Q1011	25
Cambodia	10.5	Q424	26
Cameroon	-0.4	Q1009	27
Canada	6.1	Q16	28
Chile	1.5	Q298	29
China	22.4	Q148	30
Colombia	-3.3	Q739	31
Comoros	4.4	Q970	32
Congo, Dem. Rep.	-4.1	Q974	33
Congo, Rep.	-40.0	Q971	34
Costa Rica	16.4	Q800	35
Cote d'Ivoire	16.4	Q1008	36
Croatia	14.5	Q224	37
Cyprus	14.9	Q229	38
Czech Republic	10.6	Q213	39
Denmark	18.3	Q35	40
Djibouti	19.2	Q977	41
Dominican Republic	19.5	Q786	42
Ecuador	3.7	Q736	43
Egypt, Arab Rep.	4.0	Q79	44
El Salvador	5.3	Q792	45
Estonia	15.2	Q191	46
Eswatini	13.5	Q1050	47
Ethiopia	8.5	Q115	48
Finland	11.2	Q33	49
France	9.1	Q142	50
Gambia, The	-8.0	Q1005	51
Georgia	9.4	Q230	52
Germany	14.5	Q183	53
Ghana	-8.2	Q117	54
Greece	-1.0	Q41	55
Guatemala	0.6	Q774	56
Guinea	-20.3	Q1006	57
Guinea-Bissau	-2.2	Q1007	58
Guyana	20.1	Q734	59
Haiti	15.5	Q790	60
Honduras	19.3	Q783	61
Hungary	14.3	Q28	62
Iceland	11.2	Q189	63
India	17.1	Q668	64
Indonesia	12.8	Q252	65
Iraq	-3.4	Q796	66
Ireland	18.3	Q27	67
Israel	15.6	Q801	68
Italy	6.3	Q38	69
Jamaica	17.8	Q766	70
Japan	7.4	Q17	71
Jordan	3.2	Q810	72
Kazakhstan	5.7	Q232	73
Kenya	-2.9	Q114	74
Korea, Rep.	18.1	Q884	75
Kuwait	18.7	Q817	76
Kyrgyz Republic	7.8	Q813	77
Lao PDR	-2.7	Q819	78
Latvia	4.8	Q211	79
Lebanon	-14.1	Q822	80
Lesotho	1.0	Q1013	81
Liberia	-98.5	Q1014	82
Lithuania	11.2	Q37	83
Luxembourg	13.0	Q32	84
Madagascar	5.1	Q1019	85
Malawi	-6.2	Q1020	86
Malaysia	2.6	Q833	87
Mali	2.9	Q912	88
Mauritania	2.6	Q1025	89
Mauritius	3.2	Q1027	90
Mexico	6.6	Q96	91
Moldova	4.5	Q217	92
Mongolia	-2.7	Q711	93
Morocco	19.6	Q1028	94
Mozambique	4.4	Q1029	95
Myanmar	23.3	Q836	96
Namibia	2.6	Q1030	97
Nepal	37.9	Q837	98
Netherlands	19.2	Q55	99
New Zealand	11.0	Q664	100
Nicaragua	15.1	Q811	101
Niger	10.7	Q1032	102
Nigeria	0.5	Q1033	103
North Macedonia	15.4	Q221	104
Norway	18.1	Q20	105
Oman	-10.1	Q842	106
Pakistan	11.1	Q843	107
Panama	26.7	Q804	108
Paraguay	8.0	Q733	109
Peru	6.4	Q419	110
Philippines	26.6	Q928	111
Poland	10.6	Q36	112
Portugal	4.7	Q45	113
Qatar	29.4	Q846	114
Romania	0.9	Q218	115
Russian Federation	8.7	Q159	116
Rwanda	-4.2	Q1037	117
Saudi Arabia	16.8	Q851	118
Senegal	9.4	Q1041	119
Sierra Leone	-20.4	Q1044	120
Singapore	35.7	Q334	121
Slovak Republic	4.3	Q214	122
Slovenia	11.4	Q215	123
South Africa	-0.7	Q258	124
Spain	10.2	Q29	125
Sri Lanka	19.3	Q854	126
St. Lucia	0.0	Q760	127
St. Vincent and the Grenadines	-4.7	Q757	128
Sudan	-0.3	Q1049	129
Sweden	18.6	Q34	130
Switzerland	16.9	Q39	131
Tajikistan	13.0	Q863	132
Tanzania	16.6	Q924	133
Thailand	15.1	Q869	134
Timor-Leste	-11.6	Q574	135
Togo	0.7	Q945	136
Tunisia	-8.0	Q948	137
Turkey	12.1	Q43	138
Uganda	-10.8	Q1036	139
Ukraine	-2.9	Q212	140
United Kingdom	3.1	Q145	141
United States	5.6	Q30	142
Uruguay	5.2	Q77	143
Uzbekistan	26.8	Q265	144
Vietnam	13.6	Q881	145
Zambia	10.2	Q953	146
Zimbabwe	-16.9	Q954	147
