Country	AnnualGrowth2010	AnnualGrowth2019	ID	id_row
Afghanistan	15.6	14.8	Q889	0
Albania	12.8	6.3	Q222	1
Algeria	8.0	8.0	Q262	2
Angola	22.5	19.3	Q916	3
Antigua and Barbuda	11.0	8.6	Q781	4
Argentina	10.6	67.3	Q414	5
Armenia	19.2	12.1	Q399	6
Aruba	10.3	5.7	Q21203	7
Australia	7.3	5.1	Q408	8
Azerbaijan	20.7	17.3	Q227	9
Bahamas, The	5.5	4.3	Q778	10
Bangladesh	12.2	9.6	Q902	11
Barbados	8.7	8.1	Q244	12
Belarus	9.2	9.0	Q184	13
Belize	13.9	9.1	Q242	14
Benin	5.1	5.1	Q962	15
Bhutan	13.9	14.0	Q917	16
Bolivia	9.9	8.4	Q750	17
Bosnia and Herzegovina	7.9	3.3	Q225	18
Botswana	11.5	6.4	Q963	19
Brazil	40.0	37.5	Q155	20
Brunei Darussalam	5.5	5.5	Q921	21
Bulgaria	11.1	4.5	Q219	22
Burkina Faso	5.1	5.1	Q965	23
Burundi	12.4	14.5	Q967	24
Cabo Verde	11.0	9.1	Q1011	25
Canada	2.6	2.7	Q16	26
Chile	4.8	4.2	Q298	27
China	5.8	4.4	Q148	28
Hong Kong SAR, China	5.0	5.0	Q8646	29
Macao SAR, China	5.3	5.4	Q14773	30
Colombia	9.4	11.8	Q739	31
Comoros	10.5	10.5	Q970	32
Congo, Dem. Rep.	56.5	26.7	Q974	33
Costa Rica	17.1	8.7	Q800	34
Cote d'Ivoire	5.1	5.1	Q1008	35
Czech Republic	5.9	3.7	Q213	36
Dominica	9.5	7.5	Q784	37
Dominican Republic	12.1	15.4	Q786	38
Egypt, Arab Rep.	11.0	16.1	Q79	39
Eswatini	9.8	10.1	Q1050	40
Fiji	7.5	5.7	Q712	41
Gambia, The	27.0	28.0	Q1005	42
Georgia	15.8	10.8	Q230	43
Grenada	10.6	7.6	Q769	44
Guatemala	13.3	12.7	Q774	45
Guinea-Bissau	5.1	5.1	Q1007	46
Guyana	14.5	10.5	Q734	47
Haiti	17.5	13.8	Q790	48
Honduras	18.9	17.3	Q783	49
Hungary	7.6	1.8	Q28	50
Iceland	10.3	7.0	Q189	51
India	8.3	9.5	Q668	52
Indonesia	13.3	10.4	Q252	53
Iran, Islamic Rep.	12.0	18.0	Q794	54
Iraq	14.3	12.4	Q796	55
Israel	5.0	3.5	Q801	56
Italy	4.0	2.6	Q38	57
Jamaica	20.5	13.0	Q766	58
Japan	1.6	1.0	Q17	59
Jordan	9.0	8.7	Q810	60
Kenya	14.4	13.1	Q114	61
Korea, Rep.	5.5	3.4	Q884	62
Kosovo	14.4	6.7	Q1246	63
Kuwait	5.4	4.8	Q817	64
Kyrgyz Republic	23.7	19.0	Q813	65
Lebanon	8.3	10.5	Q822	66
Lesotho	11.2	11.3	Q1013	67
Liberia	14.2	13.3	Q1014	68
Madagascar	46.0	49.0	Q1019	69
Malawi	24.6	32.3	Q1020	70
Malaysia	5.0	4.9	Q833	71
Maldives	10.4	11.5	Q826	72
Mali	5.1	5.1	Q912	73
Mauritania	17.0	17.0	Q1025	74
Mauritius	8.9	8.5	Q1027	75
Mexico	5.3	8.5	Q96	76
Micronesia, Fed. Sts.	15.1	15.7	Q702	77
Moldova	16.4	8.3	Q217	78
Mongolia	20.1	16.9	Q711	79
Mozambique	16.3	19.0	Q1029	80
Myanmar	17.0	15.8	Q836	81
Namibia	9.7	9.9	Q1030	82
New Zealand	6.3	4.8	Q664	83
Nicaragua	13.3	12.5	Q811	84
Niger	5.1	5.1	Q1032	85
Nigeria	17.6	15.4	Q1033	86
North Macedonia	10.7	5.6	Q221	87
Oman	7.1	5.2	Q842	88
Pakistan	14.0	12.2	Q843	89
Panama	7.7	7.5	Q804	90
Papua New Guinea	10.4	8.7	Q691	91
Paraguay	26.0	18.1	Q733	92
Peru	19.0	17.0	Q419	93
Philippines	7.7	7.1	Q928	94
Qatar	7.3	5.0	Q846	95
Romania	14.1	7.2	Q218	96
Russian Federation	10.8	8.8	Q159	97
Rwanda	17.0	16.5	Q1037	98
Samoa	10.7	8.9	Q683	99
San Marino	5.4	2.0	Q238	100
Sao Tome and Principe	28.9	19.9	Q1039	101
Senegal	5.1	5.1	Q1041	102
Seychelles	12.7	12.6	Q1042	103
Sierra Leone	21.3	17.9	Q1044	104
Singapore	5.4	5.3	Q334	105
Solomon Islands	14.4	10.7	Q685	106
South Africa	9.8	10.1	Q258	107
South Sudan	12.0	15.7	Q958	108
Sri Lanka	10.2	11.2	Q854	109
St. Kitts and Nevis	8.6	8.5	Q763	110
St. Lucia	10.6	7.7	Q760	111
St. Vincent and the Grenadines	9.2	8.4	Q757	112
Suriname	11.6	15.0	Q730	113
Switzerland	2.7	2.6	Q39	114
Tajikistan	23.4	27.2	Q863	115
Tanzania	14.5	17.0	Q924	116
Thailand	4.3	4.1	Q869	117
Timor-Leste	11.0	15.4	Q574	118
Togo	5.1	5.1	Q945	119
Tonga	11.5	8.1	Q678	120
Trinidad and Tobago	9.3	9.3	Q754	121
Uganda	20.2	19.8	Q1036	122
Ukraine	15.9	19.8	Q212	123
United States	3.3	5.3	Q30	124
Uruguay	10.3	11.6	Q77	125
Uzbekistan	16.2	23.6	Q265	126
Vanuatu	5.5	2.0	Q686	127
Venezuela, RB	18.3	21.1	Q717	128
Vietnam	13.1	7.7	Q881	129
West Bank and Gaza	6.3	5.8	Q407199	130
Zambia	20.9	10.3	Q953	131
Zimbabwe	11.6	16.2	Q954	132
