Country	Communicablediseasesandmaternalprenatalandnutritionconditions	Noncommunicablediseases	Injuries	ID	id_row
Afghanistan	36.0	44.0	20.0	Q889	0
Albania	3.0	93.0	4.0	Q222	1
Algeria	15.0	76.0	10.0	Q262	2
Angola	63.0	27.0	9.0	Q916	3
Antigua and Barbuda	12.0	82.0	6.0	Q781	4
Argentina	16.0	78.0	7.0	Q414	5
Armenia	3.0	93.0	4.0	Q399	6
Australia	5.0	90.0	6.0	Q408	7
Austria	3.0	92.0	5.0	Q40	8
Azerbaijan	9.0	87.0	5.0	Q227	9
Bahamas, The	17.0	74.0	9.0	Q778	10
Bahrain	7.0	83.0	10.0	Q398	11
Bangladesh	26.0	67.0	8.0	Q902	12
Barbados	13.0	83.0	4.0	Q244	13
Belarus	3.0	91.0	7.0	Q184	14
Belgium	8.0	86.0	6.0	Q31	15
Belize	19.0	67.0	13.0	Q242	16
Benin	54.0	36.0	10.0	Q962	17
Bhutan	21.0	69.0	11.0	Q917	18
Bolivia	22.0	65.0	13.0	Q750	19
Bosnia and Herzegovina	2.0	95.0	4.0	Q225	20
Botswana	46.0	46.0	8.0	Q963	21
Brazil	14.0	74.0	12.0	Q155	22
Brunei Darussalam	8.0	85.0	7.0	Q921	23
Bulgaria	2.0	95.0	3.0	Q219	24
Burkina Faso	56.0	33.0	11.0	Q965	25
Burundi	56.0	32.0	12.0	Q967	26
Cabo Verde	20.0	70.0	10.0	Q1011	27
Cambodia	26.0	64.0	10.0	Q424	28
Cameroon	54.0	35.0	11.0	Q1009	29
Canada	6.0	88.0	6.0	Q16	30
Central African Republic	64.0	26.0	10.0	Q929	31
Chad	63.0	27.0	9.0	Q657	32
Chile	8.0	85.0	7.0	Q298	33
China	4.0	89.0	7.0	Q148	34
Colombia	10.0	75.0	15.0	Q739	35
Comoros	47.0	42.0	11.0	Q970	36
Congo, Dem. Rep.	62.0	28.0	10.0	Q974	37
Congo, Rep.	56.0	35.0	10.0	Q971	38
Costa Rica	6.0	83.0	10.0	Q800	39
Cote d'Ivoire	52.0	37.0	10.0	Q1008	40
Croatia	2.0	92.0	5.0	Q224	41
Cuba	8.0	84.0	8.0	Q241	42
Cyprus	4.0	91.0	5.0	Q229	43
Czech Republic	5.0	90.0	5.0	Q213	44
Denmark	7.0	90.0	4.0	Q35	45
Djibouti	45.0	44.0	10.0	Q977	46
