Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Afghanistan	2015	5.3	4.6	Q889	0
Albania	2009	2.0	1.5	Q222	1
Algeria	2013	3.1	2.3	Q262	2
Angola	2016	8.5	4.0	Q916	3
Armenia	2016	2.0	1.9	Q399	4
Bangladesh	2014	2.8	2.0	Q902	5
Belize	2016	3.6	1.9	Q242	6
Benin	2018	7.0	4.2	Q962	7
Bhutan	2010	3.1	2.0	Q917	8
Bolivia	2008	6.2	1.9	Q750	9
Burkina Faso	2010	5.5	3.9	Q965	10
Burundi	2017	6.0	4.4	Q967	11
Cambodia	2014	3.8	2.2	Q424	12
Cameroon	2014	6.8	3.0	Q1009	13
Central African Republic	2010	7.0	4.6	Q929	14
Chad	2015	7.0	5.3	Q657	15
Colombia	2015	2.8	1.3	Q739	16
Comoros	2012	6.7	3.4	Q970	17
Congo, Dem. Rep.	2014	7.6	4.9	Q974	18
Congo, Rep.	2016	7.1	2.9	Q971	19
Cote d'Ivoire	2016	6.7	2.7	Q1008	20
Dominican Republic	2014	3.7	1.9	Q786	21
Egypt, Arab Rep.	2014	3.6	2.8	Q79	22
El Salvador	2014	3.1	1.8	Q792	23
Eswatini	2014	4.6	2.4	Q1050	24
Ethiopia	2016	6.4	2.6	Q115	25
Gabon	2012	6.6	2.9	Q1000	26
Gambia, The	2018	6.0	2.7	Q1005	27
Ghana	2014	6.1	2.9	Q117	28
Guatemala	2015	4.9	1.9	Q774	29
Guinea	2018	5.9	3.4	Q1006	30
Guinea-Bissau	2014	6.4	2.7	Q1007	31
Guyana	2009	4.7	1.8	Q734	32
Haiti	2017	5.4	1.6	Q790	33
Honduras	2012	4.6	2.0	Q783	34
India	2016	3.2	1.5	Q668	35
Indonesia	2017	2.9	2.1	Q252	36
Iraq	2018	4.4	3.0	Q796	37
Jordan	2018	3.9	1.4	Q810	38
Kazakhstan	2011	3.5	2.0	Q232	39
Kenya	2014	6.1	2.4	Q114	40
Kyrgyz Republic	2018	4.5	2.7	Q813	41
Lao PDR	2017	4.1	2.0	Q819	42
Lesotho	2018	4.2	1.8	Q1013	43
Liberia	2013	6.2	2.8	Q1014	44
Madagascar	2009	5.5	3.0	Q1019	45
Malawi	2016	5.1	2.8	Q1020	46
Maldives	2017	2.5	1.7	Q826	47
Mali	2018	7.5	4.6	Q912	48
Mauritania	2015	7.3	3.7	Q1025	49
Mongolia	2018	4.0	3.3	Q711	50
Mozambique	2011	7.2	2.7	Q1029	51
Myanmar	2016	3.5	1.6	Q836	52
Namibia	2013	5.5	2.3	Q1030	53
Nepal	2016	3.2	1.6	Q837	54
Niger	2012	8.2	6.1	Q1032	55
Nigeria	2018	6.7	3.8	Q1033	56
Pakistan	2018	4.9	2.8	Q843	57
Papua New Guinea	2018	5.0	3.2	Q691	58
Paraguay	2016	4.1	1.6	Q733	59
Peru	2012	4.0	1.7	Q419	60
Philippines	2017	4.3	1.7	Q928	61
Rwanda	2015	4.5	3.4	Q1037	62
Sao Tome and Principe	2009	5.3	3.7	Q1039	63
Senegal	2017	6.7	3.0	Q1041	64
Sierra Leone	2017	5.6	2.5	Q1044	65
South Africa	2016	3.1	2.1	Q258	66
Suriname	2018	4.5	1.6	Q730	67
Tajikistan	2017	4.0	3.0	Q863	68
Tanzania	2016	7.2	3.3	Q924	69
Timor-Leste	2016	5.2	3.4	Q574	70
Togo	2014	6.1	3.0	Q945	71
Turkey	2013	3.3	1.7	Q43	72
Turkmenistan	2016	3.7	2.5	Q874	73
Uganda	2016	7.1	3.8	Q1036	74
West Bank and Gaza	2014	5.0	3.3	Q407199	75
Yemen, Rep.	2013	6.1	2.9	Q805	76
Zambia	2014	7.1	3.0	Q953	77
Zimbabwe	2015	5.6	2.4	Q954	78
