Country	ReferenceYear	Bottom40	Totalpopulation	ID	id_row
Albania	2017	2.5	0.8	Q222	0
Argentina	2018	-1.6	-1.6	Q414	1
Armenia	2018	1.3	2.4	Q399	2
Austria	2017	1.4	1.2	Q40	3
Bangladesh	2016	1.4	1.5	Q902	4
Belarus	2018	0.7	0.0	Q184	5
Belgium	2017	0.4	0.4	Q31	6
Benin	2015	-5.2	0.1	Q962	7
Bhutan	2017	1.6	1.7	Q917	8
Bolivia	2018	1.8	-1.7	Q750	9
Botswana	2015	0.4	-3.3	Q963	10
Brazil	2018	-0.4	0.7	Q155	11
Chile	2017	4.9	3.8	Q298	12
China	2016	8.4	7.1	Q148	13
Colombia	2018	2.3	0.4	Q739	14
Costa Rica	2018	1.4	0.6	Q800	15
Croatia	2017	5.5	4.3	Q224	16
Cyprus	2017	0.3	-0.8	Q229	17
Czech Republic	2017	3.5	2.8	Q213	18
Denmark	2017	1.3	1.7	Q35	19
Dominican Republic	2016	5.2	4.3	Q786	20
Ecuador	2018	1.3	0.5	Q736	21
Egypt, Arab Rep.	2017	-2.5	-1.1	Q79	22
El Salvador	2018	4.0	1.8	Q792	23
Estonia	2017	8.0	7.2	Q191	24
Ethiopia	2015	0.4	1.6	Q115	25
Finland	2017	0.6	0.7	Q33	26
France	2017	0.6	0.2	Q142	27
Georgia	2018	2.7	1.4	Q230	28
Germany	2016	-0.2	0.8	Q183	29
Ghana	2016	-0.2	1.3	Q117	30
Greece	2017	1.8	0.1	Q41	31
Honduras	2018	1.3	1.7	Q783	32
Hungary	2017	4.8	4.6	Q28	33
Iceland	2015	3.2	3.3	Q189	34
Indonesia	2018	5.1	4.9	Q252	35
Iran, Islamic Rep.	2017	-0.1	1.9	Q794	36
Ireland	2016	3.4	3.1	Q27	37
Israel	2016	4.2	2.6	Q801	38
Italy	2017	0.5	1.0	Q38	39
Kazakhstan	2017	0.0	-0.6	Q232	40
Kosovo	2017	2.4	1.9	Q1246	41
Kyrgyz Republic	2018	3.2	2.4	Q813	42
Latvia	2017	7.9	8.2	Q211	43
Lithuania	2017	6.3	7.4	Q37	44
Luxembourg	2017	3.0	3.7	Q32	45
North Macedonia	2017	7.1	4.3	Q221	46
Malawi	2016	3.1	1.6	Q1020	47
Malaysia	2016	8.3	6.0	Q833	48
Malta	2017	3.8	3.7	Q233	49
Mauritius	2017	2.7	2.0	Q1027	50
Moldova	2018	1.9	0.3	Q217	51
Mongolia	2018	1.0	0.7	Q711	52
Montenegro	2015	4.7	1.4	Q236	53
Namibia	2015	5.7	6.6	Q1030	54
Netherlands	2017	1.5	1.9	Q55	55
Norway	2017	0.4	1.0	Q20	56
Pakistan	2015	2.7	4.3	Q843	57
Panama	2018	5.3	3.9	Q804	58
Paraguay	2018	1.6	0.3	Q733	59
Peru	2018	2.5	1.5	Q419	60
Philippines	2015	5.1	2.6	Q928	61
Poland	2017	6.0	4.0	Q36	62
Portugal	2017	3.3	2.0	Q45	63
Romania	2017	10.0	10.0	Q218	64
Russian Federation	2018	-0.4	-2.3	Q159	65
Rwanda	2016	0.3	-0.2	Q1037	66
Serbia	2017	3.9	1.5	Q403	67
Sierra Leone	2018	2.7	2.9	Q1044	68
Slovak Republic	2016	-0.6	-1.1	Q214	69
Slovenia	2017	2.2	1.5	Q215	70
Spain	2017	1.8	1.1	Q29	71
Sri Lanka	2016	4.2	4.7	Q854	72
Eswatini	2016	4.7	6.1	Q1050	73
Sweden	2017	1.4	2.0	Q34	74
Switzerland	2017	-0.3	0.3	Q39	75
Tanzania	2018	-0.2	0.9	Q924	76
Thailand	2018	1.5	1.2	Q869	77
Togo	2015	2.6	0.6	Q945	78
Tunisia	2015	5.4	3.4	Q948	79
Turkey	2018	2.1	2.7	Q43	80
Uganda	2016	-2.2	-1.0	Q1036	81
Ukraine	2018	-0.6	0.1	Q212	82
United Kingdom	2016	1.8	2.4	Q145	83
United States	2016	1.3	1.7	Q30	84
Uruguay	2018	2.0	1.4	Q77	85
Vietnam	2018	4.9	5.0	Q881	86
West Bank and Gaza	2016	-0.9	-0.6	Q407199	87
Zambia	2015	-0.6	2.9	Q953	88
Zimbabwe	2017	-3.8	-3.5	Q954	89
