Country	Mostrecentyear	Tariff	ID	id_row
Albania	2017	0.9	Q222	0
Angola	2016	9.4	Q916	1
Antigua and Barbuda	2017	12.7	Q781	2
Argentina	2017	7.9	Q414	3
Armenia	2017	2.2	Q399	4
Australia	2017	0.9	Q408	5
Austria	2017	1.8	Q40	6
Bahrain	2017	7.8	Q398	7
Bangladesh	2016	10.7	Q902	8
Barbados	2013	14.2	Q244	9
Belgium	2017	1.8	Q31	10
Belize	2017	10.4	Q242	11
Benin	2017	17.8	Q962	12
Bolivia	2017	6.1	Q750	13
Botswana	2017	1.1	Q963	14
Brazil	2017	8.6	Q155	15
Brunei Darussalam	2017	0.0	Q921	16
Bulgaria	2017	1.8	Q219	17
Burkina Faso	2017	9.1	Q965	18
Burundi	2016	5.9	Q967	19
Cabo Verde	2015	10.9	Q1011	20
Cambodia	2016	9.8	Q424	21
Cameroon	2014	12.7	Q1009	22
Canada	2017	1.5	Q16	23
Central African Republic	2017	16.4	Q929	24
Chad	2016	16.4	Q657	25
Chile	2017	0.5	Q298	26
China	2017	3.8	Q148	27
Hong Kong SAR, China	2017	0.0	Q8646	28
Macao SAR, China	2017	0.0	Q14773	29
Colombia	2017	4.4	Q739	30
Congo, Dem. Rep.	2014	10.2	Q974	31
Congo, Rep.	2015	11.6	Q971	32
Costa Rica	2016	1.8	Q800	33
Cote d'Ivoire	2017	10.3	Q1008	34
Croatia	2017	1.8	Q224	35
Cuba	2017	7.2	Q241	36
Czech Republic	2017	1.8	Q213	37
Denmark	2017	1.8	Q35	38
Djibouti	2014	17.6	Q977	39
Dominica	2017	8.3	Q784	40
Dominican Republic	2017	4.2	Q786	41
Ecuador	2017	7.0	Q736	42
Egypt, Arab Rep.	2017	7.4	Q79	43
El Salvador	2017	2.1	Q792	44
Estonia	2017	1.8	Q191	45
Fiji	2017	16.1	Q712	46
Finland	2017	1.8	Q33	47
France	2017	1.8	Q142	48
Gabon	2016	16.9	Q1000	49
Gambia, The	2013	12.7	Q1005	50
Georgia	2016	0.7	Q230	51
Germany	2017	1.8	Q183	52
Ghana	2017	10.6	Q117	53
Greece	2017	1.8	Q41	54
Grenada	2016	12.4	Q769	55
Guatemala	2015	1.4	Q774	56
Guinea	2017	12.3	Q1006	57
Guinea-Bissau	2017	15.5	Q1007	58
Guyana	2017	6.6	Q734	59
Haiti	2016	6.5	Q790	60
Honduras	2015	2.8	Q783	61
Hungary	2017	1.8	Q28	62
Iceland	2017	1.6	Q189	63
India	2017	5.8	Q668	64
Indonesia	2017	2.1	Q252	65
Ireland	2017	1.8	Q27	66
Israel	2017	1.9	Q801	67
Italy	2017	1.8	Q38	68
Jamaica	2016	10.8	Q766	69
Japan	2017	2.5	Q17	70
Jordan	2017	4.4	Q810	71
Kazakhstan	2017	2.4	Q232	72
Kenya	2016	12.3	Q114	73
Korea, Rep.	2017	5.1	Q884	74
Kuwait	2017	4.3	Q817	75
Kyrgyz Republic	2017	2.9	Q813	76
Lao PDR	2017	1.5	Q819	77
Latvia	2017	1.8	Q211	78
Lesotho	2017	1.4	Q1013	79
Lithuania	2017	1.8	Q37	80
Luxembourg	2017	1.8	Q32	81
North Macedonia	2017	1.9	Q221	82
Madagascar	2017	6.8	Q1019	83
Malawi	2016	4.8	Q1020	84
Malaysia	2016	4.0	Q833	85
Maldives	2017	12.0	Q826	86
Mali	2017	10.0	Q912	87
Malta	2017	1.8	Q233	88
Mauritania	2015	8.7	Q1025	89
Mauritius	2017	0.9	Q1027	90
Mexico	2017	1.2	Q96	91
Moldova	2016	3.5	Q217	92
Mongolia	2017	5.5	Q711	93
Montenegro	2017	3.1	Q236	94
Morocco	2017	3.9	Q1028	95
Mozambique	2016	3.6	Q1029	96
Myanmar	2015	1.7	Q836	97
Namibia	2017	0.9	Q1030	98
Nepal	2016	12.4	Q837	99
Netherlands	2017	1.8	Q55	100
New Zealand	2017	1.4	Q664	101
Nicaragua	2017	2.3	Q811	102
Niger	2017	11.9	Q1032	103
Nigeria	2016	8.5	Q1033	104
Norway	2017	3.1	Q20	105
Oman	2017	1.7	Q842	106
Pakistan	2016	10.1	Q843	107
Panama	2015	5.4	Q804	108
Papua New Guinea	2013	2.6	Q691	109
Paraguay	2017	4.8	Q733	110
Peru	2017	0.8	Q419	111
Philippines	2017	1.7	Q928	112
Poland	2017	1.8	Q36	113
Portugal	2017	1.8	Q45	114
Qatar	2017	4.2	Q846	115
Romania	2017	1.8	Q218	116
Russian Federation	2017	3.6	Q159	117
Rwanda	2016	7.3	Q1037	118
Samoa	2017	10.2	Q683	119
Saudi Arabia	2017	4.9	Q851	120
Senegal	2017	12.3	Q1041	121
Seychelles	2017	3.7	Q1042	122
Sierra Leone	2012	10.3	Q1044	123
Singapore	2017	0.1	Q334	124
Slovak Republic	2017	1.8	Q214	125
Slovenia	2017	1.8	Q215	126
Solomon Islands	2017	18.5	Q685	127
South Africa	2017	4.6	Q258	128
Spain	2017	1.8	Q29	129
Sri Lanka	2017	8.7	Q854	130
St. Kitts and Nevis	2017	21.1	Q763	131
St. Lucia	2016	9.3	Q760	132
St. Vincent and the Grenadines	2017	8.9	Q757	133
Suriname	2013	7.6	Q730	134
Eswatini	2017	0.7	Q1050	135
Sweden	2017	1.8	Q34	136
Switzerland	2017	1.7	Q39	137
Tajikistan	2017	5.0	Q863	138
Tanzania	2016	8.6	Q924	139
Thailand	2015	3.5	Q869	140
Togo	2017	13.4	Q945	141
Tonga	2017	5.5	Q678	142
Trinidad and Tobago	2013	8.6	Q754	143
Tunisia	2016	9.4	Q948	144
Turkey	2017	3.5	Q43	145
