Country	NumberofNobellaureates	ID	id_row
United States	385.0	Q30	0
United Kingdom	133.0	Q145	1
Germany	108.0	Q183	2
France	70.0	Q142	3
Sweden	32.0	Q34	4
Russia/ Soviet Union	31.0	Q159	5
Switzerland	28.0	Q39	6
Japan	28.0	Q17	7
Canada	27.0	Q16	8
Austria	22.0	Q40	9
Netherlands	21.0	Q55	10
Italy	20.0	Q38	11
Poland	19.0	Q36	12
Denmark	13.0	Q35	13
Hungary	13.0	Q28	14
Norway	13.0	Q20	15
India	12.0	Q668	16
Australia	14.0	Q408	17
Israel	12.0	Q801	18
Belgium	11.0	Q31	19
Ireland	11.0	Q27	20
South Africa	11.0	Q258	21
China	8.0	Q148	22
Spain	8.0	Q29	23
Czech Republic	6.0	Q213	24
Ukraine	6.0	Q212	25
Argentina	5.0	Q414	26
Finland	5.0	Q33	27
Egypt	4.0	Q79	28
Romania	4.0	Q218	29
Lithuania	3.0	Q37	30
Mexico	3.0	Q96	31
New Zealand	3.0	Q664	32
Algeria	2.0	Q262	33
Bangladesh	2.0	Q902	34
Belarus	2.0	Q184	35
Bosnia and Herzegovina	2.0	Q225	36
Chile	2.0	Q298	37
Colombia	2.0	Q739	38
Croatia	2.0	Q224	39
East Timor	2.0	Q574	40
Greece	2.0	Q41	41
Guatemala	2.0	Q774	42
Liberia	2.0	Q1014	43
Luxembourg	2.0	Q32	44
Pakistan	2.0	Q843	45
Portugal	2.0	Q45	46
Saint Lucia	2.0	Q760	47
Taiwan	2.0	Q865	48
Turkey	2.0	Q43	49
Azerbaijan	1.0	Q227	50
Brazil	1.0	Q155	51
Bulgaria	1.0	Q219	52
Democratic Republic of the Congo	1.0	Q974	53
Costa Rica	1.0	Q800	54
Cyprus	1.0	Q229	55
Ethiopia	1.0	Q115	56
Faroe Islands	1.0	Q4628	57
Ghana	1.0	Q117	58
Hong Kong	1.0	Q8646	59
Iceland	1.0	Q189	60
Iraq	1.0	Q796	61
Iran	1.0	Q794	62
Kenya	1.0	Q114	63
Latvia	1.0	Q211	64
North Macedonia	1.0	Q221	65
Morocco	1.0	Q1028	66
Myanmar	1.0	Q836	67
Nigeria	1.0	Q1033	68
Palestine	1.0	Q219060	69
Peru	1.0	Q419	70
Slovenia	1.0	Q215	71
Korea, South	1.0	Q884	72
Tibet	1.0	Q17252	73
Trinidad and Tobago	1.0	Q754	74
Tunisia	1.0	Q948	75
Venezuela	1.0	Q717	76
Vietnam	1.0	Q881	77
Yemen	1.0	Q805	78
