Country	employment200002	employment201416	ID	id_row
Afghanistan	64.3	45.8	Q889	0
Albania	49.4	39.8	Q222	1
Algeria	2020.7	2020.3	Q262	2
Angola	36.3	50.6	Q916	3
Argentina	1.0	0.1	Q414	4
Armenia	41.2	33.6	Q399	5
Australia	4.4	2.6	Q408	6
Austria	5.8	4.3	Q40	7
Azerbaijan	40.2	36.3	Q227	8
Bahamas, The	3.7	2.3	Q778	9
Bahrain	1.5	1.0	Q398	10
Bangladesh	59.7	42.7	Q902	11
Barbados	4.0	2.9	Q244	12
Belarus	14.0	2020.7	Q184	13
Belgium	1.8	1.3	Q31	14
Belize	23.3	18.6	Q242	15
Benin	47.0	40.8	Q962	16
Bhutan	62.7	57.1	Q917	17
Bolivia	42.4	2020.7	Q750	18
Bosnia and Herzegovina	23.2	18.0	Q225	19
Botswana	20.8	21.8	Q963	20
Brazil	16.5	10.1	Q155	21
Brunei Darussalam	1.1	1.0	Q921	22
Bulgaria	2020.7	2020.8	Q219	23
Burkina Faso	76.1	28.0	Q965	24
Burundi	92.2	92.0	Q967	25
Cabo Verde	21.7	14.1	Q1011	26
Cambodia	67.2	37.5	Q424	27
Cameroon	65.0	45.6	Q1009	28
Canada	2.1	1.6	Q16	29
Central African Republic	80.0	78.2	Q929	30
Chad	81.5	77.0	Q657	31
Channel Islands	5.8	3.9	Q42314	32
Chile	13.5	9.5	Q298	33
China	50.0	27.7	Q148	34
Hong Kong SAR, China	0.3	0.2	Q8646	35
Macao SAR, China	0.4	0.4	Q14773	36
Colombia	2020.9	16.0	Q739	37
Comoros	56.2	51.4	Q970	38
Congo, Dem. Rep.	73.1	66.7	Q974	39
Congo, Rep.	41.1	35.0	Q971	40
Costa Rica	15.9	12.2	Q800	41
Cote d'Ivoire	50.0	42.7	Q1008	42
Croatia	15.6	7.6	Q224	43
Cuba	24.7	18.3	Q241	44
Cyprus	5.3	3.6	Q229	45
Czech Republic	2020.9	2020.9	Q213	46
Denmark	2020.2	2020.5	Q35	47
Djibouti	44.5	35.5	Q977	48
Dominican Republic	15.2	9.3	Q786	49
Ecuador	29.7	26.9	Q736	50
Egypt, Arab Rep.	2020.5	2020.6	Q79	51
El Salvador	19.7	18.7	Q792	52
Equatorial Guinea	48.7	42.3	Q983	53
Eritrea	64.9	62.3	Q986	54
Estonia	6.6	3.9	Q191	55
Eswatini	18.3	13.2	Q1050	56
Ethiopia	77.3	68.2	Q115	57
Fiji	48.0	38.9	Q712	58
Finland	2020.5	3.9	Q33	59
France	4.1	2020.9	Q142	60
French Polynesia	9.4	7.5	Q30971	61
Gabon	40.2	34.4	Q1000	62
Gambia, The	35.0	29.1	Q1005	63
Georgia	53.8	43.8	Q230	64
Germany	2.5	2020.3	Q183	65
Ghana	55.2	33.7	Q117	66
Greece	2020.2	12.4	Q41	67
Guam	0.5	0.3	Q16635	68
Guatemala	35.6	29.4	Q774	69
Guinea	70.4	64.1	Q1006	70
Guinea-Bissau	72.6	69.3	Q1007	71
Guyana	22.2	18.1	Q734	72
Haiti	36.3	29.9	Q790	73
Honduras	38.8	27.4	Q783	74
Hungary	6.1	5.0	Q28	75
Iceland	7.4	3.9	Q189	76
India	58.7	45.1	Q668	77
Indonesia	44.3	31.8	Q252	78
Iran, Islamic Rep.	2020.7	18.0	Q794	79
Iraq	2020.2	2020.5	Q796	80
Ireland	7.0	5.3	Q27	81
Israel	2.0	1.0	Q801	82
Italy	2020.9	3.9	Q38	83
Jamaica	20.1	16.6	Q766	84
Japan	2020.7	2020.5	Q17	85
Jordan	3.9	3.3	Q810	86
Kazakhstan	35.5	17.5	Q232	87
Kenya	54.3	56.6	Q114	88
Korea, Dem. Peopleâ€™s Rep.	55.6	51.4	Q423	89
Korea, Rep.	2020.3	4.8	Q884	90
Kuwait	2.6	2.2	Q817	91
Kyrgyz Republic	49.1	26.8	Q813	92
Lao PDR	80.2	65.0	Q819	93
Latvia	16.2	7.7	Q211	94
Lebanon	18.3	14.2	Q822	95
Lesotho	15.4	9.1	Q1013	96
Liberia	50.5	44.2	Q1014	97
Libya	23.9	20.2	Q1016	98
Lithuania	18.6	8.0	Q37	99
Luxembourg	2.0	1.0	Q32	100
