Country	Avg20002018	vg20172018	ID	id_row
Angola	13.2	-14.0	Q916	0
Argentina	3.9	-5.3	Q414	1
Armenia	5.1	2.3	Q399	2
Australia	3.4	0.7	Q408	3
Austria	1.1	2.9	Q40	4
Bahamas, The	-1.0	-4.5	Q778	5
Bahrain	6.4	1.2	Q398	6
Bangladesh	6.0	8.0	Q902	7
Belarus	7.0	6.8	Q184	8
Belgium	1.1	0.0	Q31	9
Belize	2.3	-3.2	Q242	10
Benin	4.1	6.4	Q962	11
Bhutan	6.7	2.7	Q917	12
Bolivia	4.3	3.5	Q750	13
Bosnia and Herzegovina	0.8	5.2	Q225	14
Botswana	5.2	1.0	Q963	15
Brazil	3.1	-0.3	Q155	16
Brunei Darussalam	4.0	-2.5	Q921	17
Bulgaria	4.0	3.9	Q219	18
Burkina Faso	5.1	12.5	Q965	19
Burundi	5.9	8.3	Q967	20
Cabo Verde	1.9	7.0	Q1011	21
Cambodia	7.6	6.3	Q424	22
Cameroon	4.3	3.7	Q1009	23
Canada	2.1	1.6	Q16	24
Chad	3.9	1.7	Q657	25
Chile	5.0	1.3	Q298	26
China	9.8	9.0	Q148	27
Colombia	4.7	-2.0	Q739	28
Comoros	3.2	5.4	Q970	29
Congo, Dem. Rep.	5.3	1.2	Q974	30
Congo, Rep.	9.5	-32.8	Q971	31
Costa Rica	4.2	1.8	Q800	32
Croatia	1.8	3.3	Q224	33
Cyprus	2.0	12.7	Q229	34
Czech Republic	2.2	4.0	Q213	35
Denmark	1.6	0.7	Q35	36
Dominican Republic	5.0	5.5	Q786	37
Ecuador	4.3	-1.9	Q736	38
Egypt, Arab Rep.	4.2	3.8	Q79	39
El Salvador	0.8	0.0	Q792	40
Equatorial Guinea	3.7	-6.3	Q983	41
Estonia	3.7	5.2	Q191	42
Eswatini	2.8	9.2	Q1050	43
Finland	0.7	3.0	Q33	44
France	1.0	1.0	Q142	45
Gabon	6.0	-1.2	Q1000	46
Gambia, The	3.3	11.9	Q1005	47
Germany	1.4	1.2	Q183	48
Ghana	4.9	5.6	Q117	49
Greece	-1.1	2.2	Q41	50
Guatemala	3.2	4.3	Q774	51
Guinea	5.0	-4.7	Q1006	52
Guinea-Bissau	3.9	4.3	Q1007	53
Haiti	0.9	0.6	Q790	54
Honduras	3.2	-1.0	Q783	55
Hungary	1.7	4.4	Q28	56
India	7.2	5.9	Q668	57
Indonesia	10.5	3.8	Q252	58
Ireland	2.1	9.3	Q27	59
Israel	4.1	3.7	Q801	60
Italy	-0.4	1.4	Q38	61
Jamaica	0.3	0.3	Q766	62
Japan	0.6	0.4	Q17	63
Jordan	4.8	3.5	Q810	64
Kazakhstan	9.5	-1.5	Q232	65
Kenya	5.7	7.0	Q114	66
Kiribati	8.8	-0.1	Q710	67
Korea, Rep.	3.2	0.6	Q884	68
Kyrgyz Republic	3.2	6.7	Q813	69
Latvia	3.4	5.6	Q211	70
Lebanon	4.8	-0.1	Q822	71
Lesotho	2.1	2.2	Q1013	72
Liberia	6.0	3.5	Q1014	73
Lithuania	3.7	4.3	Q37	74
Luxembourg	0.7	2.4	Q32	75
Madagascar	3.7	-2.0	Q1019	76
Malawi	6.4	8.7	Q1020	77
Malaysia	5.7	1.0	Q833	78
Mali	4.6	5.7	Q912	79
Mauritania	3.9	10.1	Q1025	80
Mauritius	2.9	4.8	Q1027	81
Mexico	1.7	1.1	Q96	82
Moldova	5.3	2.0	Q217	83
Montenegro	2.6	5.8	Q236	84
Morocco	4.2	3.0	Q1028	85
Mozambique	10.0	3.4	Q1029	86
Namibia	5.1	2.9	Q1030	87
Nepal	4.5	5.7	Q837	88
Netherlands	1.0	2.8	Q55	89
New Zealand	3.2	0.8	Q664	90
Nicaragua	3.8	-5.8	Q811	91
Niger	4.1	11.3	Q1032	92
Nigeria	5.7	1.9	Q1033	93
Norway	2.5	3.0	Q20	94
Oman	7.1	6.3	Q842	95
Pakistan	5.2	5.1	Q843	96
Paraguay	4.1	3.3	Q733	97
Peru	6.0	2.7	Q419	98
Philippines	5.3	4.1	Q928	99
Poland	4.0	4.4	Q36	100
Portugal	0.2	2.5	Q45	101
Romania	5.1	3.4	Q218	102
Russian Federation	4.1	2.5	Q159	103
Rwanda	7.3	10.2	Q1037	104
Saudi Arabia	5.8	6.7	Q851	105
Senegal	4.5	8.1	Q1041	106
Serbia	0.8	6.4	Q403	107
Sierra Leone	5.6	5.5	Q1044	108
Singapore	5.1	3.5	Q334	109
Slovak Republic	3.4	2.0	Q214	110
Slovenia	1.4	4.9	Q215	111
South Africa	3.2	-0.1	Q258	112
Spain	1.0	2.2	Q29	113
Sri Lanka	6.1	2.9	Q854	114
Sweden	2.0	1.3	Q34	115
Switzerland	1.4	1.2	Q39	116
Thailand	3.6	4.1	Q869	117
Togo	2.0	12.3	Q945	118
Turkey	5.2	1.0	Q43	119
Uganda	4.3	12.5	Q1036	120
Ukraine	3.0	4.1	Q212	121
United Arab Emirates	3.9	-1.3	Q878	122
United Kingdom	1.3	0.6	Q145	123
United States	1.9	2.4	Q30	124
Uruguay	3.4	4.5	Q77	125
Vietnam	6.8	8.8	Q881	126
Zimbabwe	10.0	36.1	Q954	127
